transcription,reference,wer,rtf,cpu
 månads ytterligare utgörs av stenar och stoft månads ytterligare lager kallas skorpan ,månens yta utgörs av stenar och stoft månens yttre lager kallas skorpan,0.3333333333333333,0.4031570421324836,130.1
 många tyska bakverk har också mandlar haselnötter och andra nötter populära kakor passar ofta särskilt bra med en koppstarkt kaffe ,många tyska bakverk har också mandlar hasselnötter och andra nötter populära kakor passar ofta särskilt bra med en kopp starkt kaffe,0.14285714285714285,0.017171249329950514,406.0
 enligt guvernörs tabeln var 19 av de skadade poliser ,enligt guvernörsstaben var nitton av de skadade poliser,0.375,0.014360716953369731,674.0
 bussar avgår från den distriktiemensamma bostationen över floden hela dagen med de flesta särskilt de som är på väg mot öster och jakkar bombtang går mellan halv sju och halv åtal ,bussar avgår från den distriktsgemensamma busstationen över floden hela dagen men de flesta särskilt de som är på väg mot öster och jakar bumthang går mellan 6 30 och 7 30,0.2903225806451613,0.012742703553860781,390.6
 australiens mitchell golley slutade som 11 i herrarnas dagande super g den tjeckiska konkurrentern aldrig gäll i neck slutade som nummer 16 i herrarnas super g ,australiens mitchell gourley slutade som elva i herrarnas stående super g den tjeckiska konkurrenten oldrich jelinek slutade som nummer sexton i herrarnas super g,0.375,0.013771471896020744,402.3
 vandaliserar inte platsen genom att måla eller skapa grafit i poststrukturer ,vandalisera inte platsen genom att måla eller skrapa graffiti på strukturer,0.45454545454545453,0.014396720462375216,626.2
 det andra nomineringarna inkluderar bästa film med recherkör filmkonst kostymdesign filmredagering originalmusik produktionsdesign ljudredagering ljudmixning original manus ,de andra nomineringarna inkluderar bästa film regissör filmkonst kostymdesign filmredigering originalmusik produktionsdesign ljudredigering ljudmixning och originalmanus,0.4375,0.01750847078719229,395.6
 i norr besök också fantastiska sanctuary of our lady of fatima helgedom en plats världsberömd för uppenbarelser av maria ,i norr besök också fantastiska sanctuary of our lady of fatima helgedom en plats världsberömd för uppenbarelser av maria,0.0,0.014066024008477307,513.6
 därför blir er spännande en trogen följeslagare för många människor när den kommer ut ,därför var blyertspennan en trogen följeslagare för många människor när den kom ut,0.3076923076923077,0.01862213636438052,581.3
 giancarlo fischella förlorade kontrollen över sin bil och avslutade loppet strax efter starten ,giancarlo fisichella förlorade kontrollen över sin bil och avslutade loppet strax efter starten,0.07692307692307693,0.017497990582440347,483.4
 resonärer rekommenderades starkt att vara medvetna om risken för hårt värde som påverkade deras område eftersom det kan påverka resplanen ,resenärer rekommenderas starkt att vara medvetna om risken för hårt väder som påverkar deras område eftersom det kan påverka resplanerna,0.25,0.017565155764305982,466.8
 han sa att nedskärningarna skulle baseras på chinas ekonomiska styrka och gav inte några siffror för dem ,han sa att nedskärningarna skulle baseras på kinas ekonomiska styrka och gav inte några siffror för dem,0.058823529411764705,0.01643264395558936,540.3
 enligt guvernörs tabeln var 19 av dem skadade poliser ,enligt guvernörsstaben var nitton av de skadade poliser,0.5,0.015799981960351917,635.8
 men med sin placering i höga tropikerna bara några få grader norr om i kvartum måste du hantera både hetta alltid och stark sol när himlen är klar mer sällan , men med sin placering i höga tropikerna bara några få grader norr om ekvatorn måste du hantera både hetta alltid och stark sol när himlen är klar mer sällan ,0.06896551724137931,0.013754785817112203,394.5
 den amerikanska ingenjörskåren bedömde att sexthumsräng skulle kunna få det tidigare skadade fördämningen att brista ,den amerikanska ingenjörskåren bedömde att 6 tums regn skulle kunna få de tidigare skadade fördämningarna att brista,0.29411764705882354,0.019962074112718123,512.8
 detta sediment var nödvändigt för att skapas andra evoständor som fungerade som naturliga miljöer för djur i liv ,detta sediment var nödvändigt för att skapa sandrev och stränder som fungerade som naturliga miljöer för djurliv,0.4117647058823529,0.020277655373016994,534.0
 fissionsbomben grundar sig på principen att krävs energi för att åstadkomma en kärn med många protoner och nektroner ,fissionsbomben grundar sig på principen att det krävs energi för att åstadkomma en kärna med många protoner och neutroner,0.15789473684210525,0.02267834853057434,513.4
 brancoren släcktes och småning och melden vid 23 35 på kvällen ,brandkåren släckte så småningom elden vid 23 35 på kvällen,0.6,0.022252191577041357,647.9
 usa gymnastik och usoc har samma mål att göra gymnastiken och andra sporter så säkra som möjligt så att idrottare ska kunna följa sina drömmar i en trygg positiv och stärkande miljö ,usa gymnastics och usoc har samma mål att göra gymnastiken och andra sporter så säkra som möjligt så att idrottare ska kunna följa sina drömmar i en trygg positiv och stärkande miljö,0.03125,0.014171368784184079,385.4
 alla deltar i samhället och använder transportsystem i princip alla klagar över transportsystem ,alla deltar i samhället och använder transportsystem i princip alla klagar över transportsystem,0.0,0.022123919592963323,632.7
 en bomb exploderade utanför generalgrunnarens kontor ,en bomb exploderade utanför generalguvernörens kontor,0.16666666666666666,0.023727929382993465,740.9
 även om aal är starkt förknippad med science fiction är det en mycket viktig grej inom datavetenskapen som inbegriper maskiners beteende inlärning och intelligens ,även om ai är starkt förknippat med science fiction är det en mycket viktig gren inom datavetenskapen som inbegriper maskiners beteende inlärning och intelligens,0.125,0.01461052261622606,439.6
 hamnen var skådeplats för ökent lägre år 1889 när sju skepp från tyskland usa storbritannien vägade lämna hamnen ,hamnen var skådeplats för ett ökänt dödläge år 1889 när sju skepp från tyskland usa och storbritannien vägrade lämna hamnen,0.25,0.019719044855035887,446.4
 den första av dessa 78 rekommendationer i ett nytt diplomatiskt initiativ bör ta sina slutet av det här året för att säkra iraks gränser mot fientliga interventioner och att återrättabla diplomatiska relationer med dessa grannar ,den första av dess 78 rekommendationer är att ett nytt diplomatiskt initiativ bör tas innan slutet av det här året för att säkra iraks gränser mot fientliga interventioner och att återetablera diplomatiska relationer med dess grannar,0.19444444444444445,0.01768478448840155,346.7
 populära sporter inkluderar fotboll basket vollyboll vattenpolo fäktning rugby cykel ishockey rullskridsko hockey och formell ett ,populära sporter inkluderar fotboll basket volleyboll vattenpolo fäktning rugby cykel ishockey rullskridskohockey och formel 1,0.3333333333333333,0.015728533822068496,376.2
 med kundalini joga växer kundalini energin upplysningsenergi genom yoga ställningar anningsövningar mantran och visualiseringar ,med kundaliniyoga väcks kundalini energin upplysningsenergi genom yogaställningar andningsövningar mantran och visualiseringar,0.5,0.013951869822708152,456.9
 professor pamela ferguson vid dundee s universitet konstaterar att journalister väljer ett farligt linje om det publicerar bilder och misstänkta , professor pamela ferguson vid dundees universitet konstaterar att journalister väljer en farlig linje om de publicerar bilder etc av misstänkta ,0.35,0.021198789278666176,367.4
 fler av stora tv skärmar installerades på olika platser i rum för att folket skulle kunna ses harmonin ,flera stora tv skärmar installerades på olika platser i rom för att folket skulle kunna se ceremonin,0.29411764705882354,0.02218758294341761,573.1
 till exempel så är det vanligaste formatet för stillbilder i världen 35 mm vilket var den dominerande filmstoleken vid slutet av den analoga filmens era ,till exempel så är det vanligaste formatet för stillbilder i världen 35 mm vilket var den dominerande filmstorleken vid slutet av den analoga filmens era,0.04,0.01647290976151176,405.3
 mot slutet av medeltiden började väst europa utveckla sin egen stil en av tidens största utvecklingar till följd av korstågen var att folk började använda knappar för att fästa kläder ,mot slutet av medeltiden började västeuropa utveckla sin egen stil en av tidens största utvecklingar till följd av korstågen var att folk började använda knappar för att fästa kläder,0.06896551724137931,0.018115820863698548,381.5
 det flesta byggnaderna vid komplexet utkanta byggs om för att ge turister en bättre idé om hur det såg ut i original ,de flesta byggnaderna vid komplexets utkant har byggts om för att ge turister en bättre idé om hur de såg ut i original,0.2608695652173913,0.019002309790602672,510.7
 senare visas på pyramiderna och de olika pyramiderna blir upplysta ,scenerna visas på pyramiderna och de olika pyramiderna blir upplysta,0.1,0.014824291755413188,637.6
 utöver onsdagens evenemang tävlade carpaneo i två individuella loppvidmästerskapet ,utöver onsdagens evenemang tävlade carpanedo i två individuella lopp vid mästerskapet,0.36363636363636365,0.019257663461572067,452.1
 gissa platon eller gissa necropolis i den egyptiska dödanstal innehåller flera piramider varav den stora piramider när det största flera mindre gravmonument flera tempel och den stora svinxant , gizaplatån eller giza necropolis i den egyptiska dödens dal innehåller flera pyramider varav den stora pyramiden är den största flera mindre gravmonument flera tempel och den stora sfinxen ,0.35714285714285715,0.020482187313883828,347.2
 när alla kommer i kring börjar vi inte bli förvånade av att våra egna förfäder löste sitt proteinproblem på ungefär samma sätt som sin panser på savannen gör idag , när allt kommer omkring bör vi inte bli förvånade om våra egna förfäder löste sitt proteinproblem på ungefär samma sätt som chimpanser på savannen gör i dag ,0.37037037037037035,0.022599647442499798,406.2
 pyramidernas ljus och ljus show är en av de mest intressanta sakerna för barn på områdes ,pyramidernas ljud och ljusshow är en av de mest intressanta sakerna för barn på området,0.26666666666666666,0.015631581211949255,490.9
 lämplig användning av bloggar kan ge eleverna möjlighet att bli mer analytiska och kritiska genom att aktivt svara på internetsmaterial kan eleverna definiera sina positioner i relation till vad andra har skrivit samtredo gör det för sitt egna perspektiv på specifika frågor år av veck 2002 , lämplig användning av bloggar kan ge eleverna möjlighet att bli mer analytiska och kritiska genom att aktivt svara på internetmaterial kan eleverna definiera sina positioner i relation till vad andra har skrivit samt redogöra för sina egna perspektiv på specifika frågor oravec 2002 ,0.18604651162790697,0.01628769299742512,311.1
 fru kirschner tillkänna gav sin intention att kandidera till president på den argentinska teatern samma pläster hon startade sin kampanj till senaten år 2005 som medlem i provittsdelegationen från buenos aires ,fru kirchner tillkännagav sin intention att kandidera till president på den argentinska teatern samma plats där hon startade sin kampanj till senaten år 2005 som medlem i provinsdelegationen från buenos aires,0.1935483870967742,0.014201133218530107,370.2
 enligt forskare vid universitetet bildar det två föreningar i axelstall som kan blockera njurfunktionen när det reagerar med varandra ,enligt forskare vid universitetet bildar de två föreningarna kristaller som kan blockera njurfunktionen när de reagerar med varandra,0.2777777777777778,0.022037852176819566,462.0
 endas mutationer i fort plantingsceller kan nedärvas till barn medan mutationen på andra ställen kan orsaka celldöd eller cancer ,endast mutationer i fortplantningsceller kan nedärvas till barn medan mutationer på andra ställen kan orsaka cell död eller cancer,0.3157894736842105,0.02203819079276843,489.3
 han tillade att de dock inte börjar förväntas att ta på sig skyldigheter som går bortom deras utvecklingsnivå ansvar och förmågor , han tillade att de dock inte borde förväntas att ta på sig skyldigheter som går bortom deras utvecklingsnivå ansvar och förmågor ,0.047619047619047616,0.01416301058831616,479.1
 sundarbans har antagits på gineskovs världsarvslista den deras skogen som ligger på indisk territorium kallas sundarbans national park ,sundarbans har antagits på unescos världsarvslista den del av skogen som ligger på indiskt territorium kallas sundarbans national park,0.21052631578947367,0.014659985393083014,499.5
 den attackerade också allting som kom ner i vattnet även en gigantisk dinosaur som t rex var ingen match för den ,den attackerade också allting som kom ner i vattnet även en gigantisk dinosaurie som t rex var ingen match för den,0.047619047619047616,0.01869871668571973,553.9
 ändå tar myndigheterna strått ljuda alla skiltar och vara mycket uppmärksam på säkerhetssvarningen ,ändå ta myndigheternas råd lyd alla skyltar och var mycket uppmärksam på säkerhetsvarningar,0.5384615384615384,0.028406802118789033,473.5
 trafikflöde studiet av individuell affärer och forum rör sig mellan två punkter hur det inte reagerar med varandra ,trafikflöde är studiet av hur individuella förare och fordon rör sig mellan två punkter och hur de interagerar med varandra,0.45,0.020958029705545177,490.6
 även om detta ofta bara är en felaktig stereotyp är det bästa sätt att klara sig i paris fortfarande att uppföra sig på bästa sätt och bete sig som någon som är bjön elev väl uppfostrad det kommer att göra det betydligt enklare att ta sig runt , även om detta ofta bara är en felaktig stereotyp är det bästa sättet att klara sig i paris fortfarande att uppföra sig på bästa sätt och bete sig som någon som är bien élevé väluppfostrad det kommer göra det betydligt enklare att ta sig runt ,0.13333333333333333,0.014580132030859226,334.8
 han sa att nedskärningarna skulle passeras på kinas ekonomiska styrka och gav mig inte några siffror för den ,han sa att nedskärningarna skulle baseras på kinas ekonomiska styrka och gav inte några siffror för dem,0.17647058823529413,0.01906065964231304,541.0
 vissa människor trodde att han hade rätt men många trodde motsatsen att solsystemet rör sig runt jorden inklusive solen och också de andra skärnorna ,vissa människor trodde att han hade rätt men många trodde motsatsen att solsystemet rörde sig runt jorden inklusive solen och också de andra stjärnorna,0.08333333333333333,0.018556526729038784,447.1
 barcelona s officiella språk är katalanska och spanska ungefär hälften föredrar att tala katalanska en överväljande majoritet förstår det och så gott som alla kan spanska ,barcelonas officiella språk är katalanska och spanska ungefär hälften föredrar att tala katalanska en överväldigande majoritet förstår det och så gott som alla kan spanska,0.12,0.013022724239305518,369.4
 analysera interplatsen genom att måla eller skrapa grafittor på strukturer ,vandalisera inte platsen genom att måla eller skrapa graffiti på strukturer,0.36363636363636365,0.027028570572535198,633.3
 trafikflöde är studiet av hur individuella förare och fordon rör sig mellan två punkter och hur de inte reagerar med varandra ,trafikflöde är studiet av hur individuella förare och fordon rör sig mellan två punkter och hur de interagerar med varandra,0.1,0.01989826874390936,461.8
 den officiella falklansvalutande falklanspundet fkp vars värde motsvar är värdigt för en brittisk pund gbp ,den officiella falklands valutan är falklandspundet fkp vars värde motsvarar värdet för ett brittiskt pund gbp,0.5625,0.02180785640304637,463.5
 jätterverkare hadomistiserats först för omkring 10 000 år sedan i zagrosbergen i iran ,getter verkar ha domesticerats först för omkring 10 000 år sedan i zagrosbergen i iran,0.26666666666666666,0.014353382821176567,574.6
 romantiken innehåller stort element av determinism med ursprung hos författare som göte fischte och schlägel ,romantiken innehöll ett stort element av determinism med ursprung hos författare som goethe fichte och schlegel,0.3125,0.01979657662393917,508.3
 som ett resultat har två fiskarter utrotats och två andra utrotningshotade inklusive atenhumpbackchubb gila syrfa ,som ett resultat har två fiskarter utrotats och två andra är utrotningshotade inklusive arten humpback chub gila cypha,0.2777777777777778,0.020540722363060954,445.0
 αριστατέλ σιν από άλλα βέτελσκα πληγαφρόγου inclusive ψηκολογή αξεπτήραδες ,aristoteles syn på alla vetenskapliga frågor inklusive psykologi accepterades,1.0,0.024058732316066887,424.6
 du kan också ha önskemål om att konsultera andra regeringar än din egen men deras råd är utformade för sina egna invånare ,du kan också ha önskemål om att konsultera andra regeringar än din egen men deras råd är utformade för sina egna invånare,0.0,0.01592864956947313,477.2
 mer traditionella kyrkor har höll ofta en påsknadsmässa på lördagskvällen under påskhäljen vid midnads bryter sedan församlingen upp för att fira kristi och ståndelse ,mer traditionella kyrkor håller ofta en påsknattsmässa på lördagskvällen under påskhelgen vid midnatt bryter sedan församlingen upp för att fira kristi uppståndelse,0.3181818181818182,0.016687209146064624,376.4
 man kan bara undra vad det blir av tangentbordet när något nyare kommer ,man kan bara undra vad det blir av tangentbordet när något nyare kommer,0.0,0.01541896241144113,660.5
 flera stora tv skärmar installerades på olika platser i rom för att folk skulle kunna se ceremonien ,flera stora tv skärmar installerades på olika platser i rom för att folket skulle kunna se ceremonin,0.11764705882352941,0.019521612516591246,493.6
 flottornas jobb har traditionellt varit att säkerställa ditt land upprätthåller förmågan att förflytta ett folk och gods och samtidigt störa fiendens förmåga att förflytta folk och gods ,flottornas jobb har traditionellt varit att säkerställa att ditt land upprätthåller förmågan att förflytta ert folk och gods och samtidigt störa fiendens förmåga att förflytta folk och gods,0.07142857142857142,0.017080507330986424,383.4
 plitvajs sjönlands nationalpark är bevuxen med tätskog huvudsakligen med bok gran och ädelgran och har en blandning av alp och medelhavs vegetation ,plitvicesjöarnas nationalpark är bevuxen med tät skog huvudsaklingen med bok gran och ädelgran och har en blandning av alp och medelhavsvegetation,0.3333333333333333,0.014514138555934288,437.2
 termensafari är populärt bruk avse resor över landet för att se det fantastiska afrikaniska vilda djuren särskilt på savannen ,termen safari i populärt bruk avser resor över landet för att se de fantastiska afrikanska vilda djuren särskilt på savannen,0.3,0.017823121412013605,496.7
 sedan var sunchon grundades 1537 och har paraguay lyckas behålla mycket av sin inhemska karaktär och identitet ,sedan asunción grundades 1537 har paraguay lyckats behålla mycket av sin inhemska karaktär och identitet,0.26666666666666666,0.0170626152055196,543.5
 i norge besök också fantastiska sanctuary of our lady of fatima helgedom en plats världsbrund för uppenbargelser av maria ,i norr besök också fantastiska sanctuary of our lady of fatima helgedom en plats världsberömd för uppenbarelser av maria,0.15789473684210525,0.02097046350283193,425.4
 senarna visas på pyramiderna och de olika pyramiderna blir upplysta ,scenerna visas på pyramiderna och de olika pyramiderna blir upplysta,0.1,0.01748546498830245,658.0
 sammavars huvudstad heter aspia appia staden ligger på en uppolo och har en folkmängd strax under 40 000 ,samoas huvudstad heter apia staden ligger på ön upolu och har en folkmängd strax under 40 000,0.29411764705882354,0.013640300295818811,458.8
 de andra nomineringarna inkluderar bästa filmregissör filmkonst kostymdesign filmredagering originalmusik produktionsdesign ljudredagering ljudmixning och originalmanus ,de andra nomineringarna inkluderar bästa film regissör filmkonst kostymdesign filmredigering originalmusik produktionsdesign ljudredigering ljudmixning och originalmanus,0.25,0.013269421495037315,423.8
 generellt sett kan två beteendeframtrödan när chefer börjar leda sina tidigare i elikar i den ena änden av spektrumen försöker cheferna förbi en i gänget , generellt sett kan två beteenden framträda när chefer börjar leda sina tidigare gelikar i den ena änden av spektrumet försöker chefen att förbli en i gänget ,0.3076923076923077,0.01965915264726496,402.7
 goma är tämligen säkert men ska man avlägga visit utanför goma bör man undersöka hur det ser ut med stridighetarna i norra kiverprovinsen ,goma är tämligen säkert men ska man avlägga visit utanför goma bör man undersöka hur det ser ut med stridigheterna i norra kivu provinsen,0.125,0.016903750439907644,462.1
 det finns självklart kristen att geologiska förklaring till denna tradition men det kan mycket väl handla med för kristen vår och fertilitets ritual ,det finns självklart kristna teologiska förklaringar till denna tradition men det kan mycket väl handla om en förkristen vår och fertilitetsritual,0.42857142857142855,0.02081723589646189,458.8
 när alla tillgängliga resurser används effektivt i en organisation som funktionella avdelningar kan kreativitet och uppfyggningsriket omfrodas ,när alla tillgängliga resurser används effektivt i en organisations funktionella avdelningar kan kreativitet och uppfinningsrikedom frodas,0.25,0.01578591267267863,465.3
 tigerns rytande är inte som blev ju en lätt ljudlig rytande utan mer som en mening av morrande skrikande ord ,tigerns rytande är inte som lejonets ljudliga rytande utan mer som en mening av morrande skrikande ord,0.29411764705882354,0.02504577155874557,470.4
 hela 20 av vattnet som innehåller ut i haven från jordens flodig kommer från amazonas ,hela 20 procent av vattnet som rinner ut i haven från jordens floder kommer från amazonas,0.1875,0.023420235467335536,563.4
 daniel landtagen fn expert på sjukdomen sa att utbrottet sannolikt ortsersakades av det fredsbevarande styrkorna ,danielle lantagne fn expert på sjukdomen sade att utbrottet sannolikt orsakades av de fredsbevarande styrkorna,0.3333333333333333,0.02667696048051883,418.6
 det finns ingen universell definition av vilka tillverkade förmål som är antikviteter vissa skattebyråer definierar var och äldre än 100 år som antikviteter ,det finns ingen universell definition av vilka tillverkade föremål som är antikviteter vissa skattebyråer definierar varor äldre än 100 år som antikviteter,0.13636363636363635,0.021237955577131633,388.5
 rör ihop de två tåra polbren forma dem sedan till en boll med rena blöta händer ,rör ihop de två torra pulvren forma dem sedan till en boll med rena blöta händer,0.125,0.01804191205236647,533.4
 det kan finnas fler maria på nära läggande sidan eftersom skorpan är tunnare där det gjorde det lättare för lav att stiga upp till ytan ,det kan finnas fler maria på närliggande sidan eftersom skorpan är tunnare där det gjorde det lättare för lava att stiga upp till ytan,0.125,0.02442538466083405,421.1
 om du vill vara nära där det händer saker måste du komma tidigt för att få en campingplats nära musiken ,om du vill vara nära där det händer saker måste du komma tidigt för att få en campingplats nära musiken,0.0,0.014229679966832066,532.6
 även om all är starkt förknippad med science fiction är det en mycket viktig grej inom data vetenskapen som inbegriper maskiner beteende inlärning och intelligens ,även om ai är starkt förknippat med science fiction är det en mycket viktig gren inom datavetenskapen som inbegriper maskiners beteende inlärning och intelligens,0.25,0.013590435827932049,445.6
 en av de vanliggaste metoderna som används för att illustrera vikten av socialisering är att titta på de få olyckliga fallen av barn som genom försummelse olycka eller avsiktig mishandle inte socialiserats av vuxna under sin uppväxt ,en av de vanligaste metoderna som används för att illustrera vikten av socialisering är att titta på de få olyckliga fallen av barn som genom försummelse olycka eller avsiktlig misshandel inte socialiserats av vuxna under sin uppväxt,0.08108108108108109,0.016041013443506457,315.0
 virtuala team håller samma höga standard som konventionella team men det finns subtila skillnader ,virtuella team håller samma samma höga standarder som konventionella team men det finns subtila skillnader,0.2,0.015548448184709171,600.8
 gröna av de långsamma kommunikationsvägarna kunde stilen i västermelleridsläpa efter mig 25 30 år ,på grund av de långsamma kommunikationsvägarna kunde stilarna i väst emellertid släpa efter med 25 till 30 år,0.4444444444444444,0.025799289439459267,518.8
 brottarkollegor hyllade också luna ,brottarkollegor hyllade också luna,0.0,0.024739212459988065,720.3
 som var allsidig atlet kan tiga en klättra men inte bra simma hoppa långa stäcker och dra med fem gånger så du kan nosa en stark människa ,som allsidig atlet kan tigern klättra men inte bra simma hoppa långa sträckor och dra med fem gånger styrkan hos en stark människa,0.34782608695652173,0.023671775533441915,417.4
 fru kirchner tillkännagav sin intention att kandidera till president på den argentinska teater samma plast där hon startade sin kampanj till senaten år 2005 som medlem i provinstelegationen från buenos aires ,fru kirchner tillkännagav sin intention att kandidera till president på den argentinska teatern samma plats där hon startade sin kampanj till senaten år 2005 som medlem i provinsdelegationen från buenos aires,0.0967741935483871,0.013962991876539842,359.3
 ms är en sjukdom som påverkar centrala nervsystemet vilket består av hjärnan riggmärgen och sinerven ,ms är en sjukdom som påverkar centrala nervsystemet vilket består av hjärnan ryggmärgen och synnerven,0.13333333333333333,0.014638245528471386,509.5
 barn placeras i fosterhem av många olika anledningar från varnvård till övergrepp och till med utpressning ,barn placeras i fosterhem av många olika anledningar från vanvård till övergrepp och till med utpressning,0.0625,0.018443065474789782,507.0
 även om detta ofta bara är en felaktig stereotyp är det bästa sätt att klara sig i paris och uppföra sig på bästa sätt och bete sig som någon som är en ben eleve väluppfostrad det kommer att göra det betydligt enklare att ta sig runt , även om detta ofta bara är en felaktig stereotyp är det bästa sättet att klara sig i paris fortfarande att uppföra sig på bästa sätt och bete sig som någon som är bien élevé väluppfostrad det kommer göra det betydligt enklare att ta sig runt ,0.15555555555555556,0.018865196265984534,326.6
 oliver sachs visade i sin skrift presidentens tal hur människor som inte kan förstå tal på grund av gärnskador ändå kan bedöma uppriktighet korrekt , oliver sacks visade i sin skrift presidentens tal hur människor som inte kan förstå tal på grund av hjärnskador ändå kan bedöma uppriktighet korrekt ,0.08333333333333333,0.015953915689128014,454.4
 det hävdas att den bästa placeringen för subjektet är där linerna som delar bilden i 3d delar vertikalt och korrisonellt möts se exemplet ,det hävdas att den bästa placeringen för subjektet är där linjerna som delar bilden i tredjedelar vertikalt och horisontellt möts se exemplet,0.18181818181818182,0.02203568921866992,374.5
 medan han arbetade på sjukhuset började liggins undersöka för tidiga födelsklar under sin fritid ,medan han arbetade på sjukhuset började liggins undersöka för tidiga födslar under sin fritid,0.07142857142857142,0.02489985719238971,477.1
 detta gör att den är bakåt kompatibel med 802 11a 802 11b och 802 11g förutsatt att basstationen har två radioapparater ,detta gör att den är bakåtkompatibel med 802 11a 802 11b och 802 11g förutsatt att basstationen har två radioapparater,0.1,0.009808705331754035,437.7
 stora områden längre norrut är mycket glesbefolkade och vissa är nära nog obebott vildmark ,stora områden längre norrut är mycket glest befolkade och vissa är nära nog obebodd vildmark,0.2,0.014753073684928952,559.5
 han har inte kunnat ta det medicin som behövs för att övervinna sin smärtad och det är förbjudna i tävlingen ,han har inte kunnat ta de mediciner som behövs för att övervinna sin smärta då de är förbjudna i tävlingen,0.25,0.0266955333685725,495.6
 själva får donet togs bort från olika platser när den klockan 12 00 samma dag ,själva fordonet togs bort från olycksplatsen runt klockan 12 00 samma dag,0.5,0.02025623579283018,473.2
 samma månad körde en annan trafikflygplan av en landningsbanen i marschadd och kolliderade med en vägg vilket ledde till 17 döda ,samma månad körde en annat trafikflygplan av en landningsbana i mashhad och kolliderade med en vägg vilket ledde till 17 döda,0.14285714285714285,0.015490458755896835,490.5
 legeringar är en blandning av två eller flera metaller kom ihåg att det finns många olika grundämnen i det periodiska systemet ,legeringar är en blandning av två eller flera metaller kom ihåg att det finns många olika grundämnen i det periodiska systemet,0.0,0.016525470548205905,457.8
 för springboks avslutade det en femmars så lång förlustserie ,för springboks avslutade det en fem matcher lång förlustserie,0.2222222222222222,0.023067756538533987,658.9
 det blir naturligtvis enklare för det är ett lärare deportligisisk om det redan kan ett romansk språk ,det blir naturligtvis enklare för dig att lära dig portugisiska om du redan kan ett romanskt språk,0.4117647058823529,0.019663351553457754,522.1
