transcription,reference,wer,rtf,cpu
 concord returned to its place amidst the tents ,concord returned to its place amidst the tents,0.0,5.073015700053216,786.1
 the english forwarded to the french baskets of flowers of which they had made a plentiful provision to greet the arrival of the young princess the french in return invited the english to a supper which was to be given the next day,the english forwarded to the french baskets of flowers of which they had made a plentiful provision to greet the arrival of the young princess the french in return invited the english to a supper which was to be given the next day,0.0,1.7416004221133483,786.1
 congratulations were poured in upon the princess everywhere during her journey ,congratulations were poured in upon the princess everywhere during her journey,0.0,3.7115763194525417,789.5
 from the respect paid her on all sides she seemed like a queen and from the adoration with which she was treated by two or three she appeared an object of worship the queen mother gave the french the most affectionate reception france was her native country and she had suffered too much unhappiness in england for england to have made her forget france,from the respect paid her on all sides she seemed like a queen and from the adoration with which she was treated by two or three she appeared an object of worship the queen mother gave the french the most affectionate reception france was her native country and she had suffered too much unhappiness in england for england to have made her forget france,0.0,1.1771563371056628,781.0
 she taught her daughter then by her own affection for it that love for a country where they had both been hospitably received and where a brilliant future opened for them,she taught her daughter then by her own affection for it that love for a country where they had both been hospitably received and where a brilliant future opened before them,0.03225806451612903,1.8678872013221324,789.9
 the count had thrown himself back on his seat leaning his shoulders against the partition of the tent and remained thus his face buried in his hands with heaving chest and restless limbs,the count had thrown himself back on his seat leaning his shoulders against the partition of the tent and remained thus his face buried in his hands with heaving chest and restless limbs,0.0,1.9266674764975227,771.6
 this has indeed been a harassing day continued the young man his eyes fixed upon his friend,this has indeed been a harassing day continued the young man his eyes fixed upon his friend,0.0,3.9188919719467816,776.9
 you will be frank with me i always am ,you will be frank with me i always am,0.0,5.747295109215186,789.8
 can you imagine why buckingham has been so violent i suspect ,can you imagine why buckingham has been so violent i suspect,0.0,3.891000378966456,788.8
 it is you who are mistaken raoul i have read his distress in his eyes in his every gesture and action the whole day,it is you who are mistaken raoul i have read his distress in his eyes in his every gesture and action the whole day,0.0,2.9377156561547584,787.0
 i can perceive love clearly enough ,i can perceive love clearly enough,0.0,6.145345320222405,788.4
 i am convinced of what i say said the count ,i am convinced of what i say said the count,0.0,6.370547791601907,778.5
 it is annoyance then ,it is annoyance then,0.0,11.721317669779983,755.2
 in those very terms i even added more ,in those very terms i even added more,0.0,7.257291897624529,768.6
 but continued roux not interrupted by this movement of his friend heaven be praised the french who are pronounced to be thoughtless and indiscreet reckless even are capable of bringing a calm and sound judgment to bear on matters of such high importance,but continued raoul not interrupted by this movement of his friend heaven be praised the french who are pronounced to be thoughtless and indiscreet reckless even are capable of bringing a calm and sound judgment to bear on matters of such high importance,0.023255813953488372,1.4505830768168397,785.7
 thus it is that the honor of three is saved our country our masters and our own,thus it is that the honor of three is saved our country s our master s and our own,0.15789473684210525,3.2872936194966953,785.3
 yes i need repose many things have agitated me to day both in mind and body when you return to morrow i shall no longer be the same man,yes i need repose many things have agitated me to day both in mind and body when you return to morrow i shall no longer be the same man,0.0,2.1054463093720015,787.5
 but in this friendly pressure rao could detect the nervous agitation of a great internal conflict ,but in this friendly pressure raoul could detect the nervous agitation of a great internal conflict,0.0625,3.212655055058467,790.5
 the night was clear starlit and splendid the tempest had passed away and the sweet influences of the evening had restored life peace and security everywhere,the night was clear starlit and splendid the tempest had passed away and the sweet influences of the evening had restored life peace and security everywhere,0.0,1.9914645601708396,787.0
 upon the large square in front of the hotel the shadows of the tents intersected by the golden moonbeams formed as it were a huge mosaic of jet and yellow flagstones,upon the large square in front of the hotel the shadows of the tents intersected by the golden moonbeams formed as it were a huge mosaic of jet and yellow flagstones,0.0,1.856306058452581,790.7
 bragelon watched for some time the conduct of the two lovers listened to the loud and uncivil slumbers of manikamp who snored as imperiously as though he was wearing his blue and gold instead of his violet suit,bragelonne watched for some time the conduct of the two lovers listened to the loud and uncivil slumbers of manicamp who snored as imperiously as though he was wearing his blue and gold instead of his violet suit,0.05263157894736842,1.582187513510386,786.0
 goliath makes another discovery ,goliath makes another discovery,0.0,5.956196351484819,787.9
 they were certainly no near the solution of their problem ,they were certainly no nearer the solution of their problem,0.1,5.898727476596832,790.0
 the poor little things cried cynthia think of them having been turned to the wall all these years,the poor little things cried cynthia think of them having been turned to the wall all these years,0.0,3.6659066625636263,789.3
 now what is the sense of it two innocent babies like that ,now what was the sense of it two innocent babies like that,0.08333333333333333,5.782456447313948,787.8
 but joyce had not been listening all at once she put down her candle on the table and faced her companion ,but joyce had not been listening all at once she put down her candle on the table and faced her companion,0.0,3.175025490241322,790.2
 the twin brother did something she didn t like and she turned his picture to the wall ,the twin brother did something she didn t like and she turned his picture to the wall,0.0,3.964467507961845,790.1
 hers happened to be on the same frame too but she evidently didn t care about it ,hers happened to be in the same frame too but she evidently didn t care about that,0.11764705882352941,4.4628790332010695,785.6
 now what have you to say cynthia sprague ,now what have you to say cynthia sprague,0.0,6.5598325526460695,790.4
 i thought we were stumped again when i first saw that picture but it s been of some use after all ,i thought we were stumped again when i first saw that picture but it s been of some use after all,0.0,3.9813880405407636,789.3
 do you suppose the miniature was a copy of the same thing ,do you suppose the miniature was a copy of the same thing,0.0,5.488640201249312,790.2
 what in the world is it queried joyce ,what in the world is that queried joyce,0.125,7.0115331380340695,787.9
 they worry me terribly and besides i d like to see what this lovely furniture looks like without such quantities of dust all over it good scheme sin ,they worry me terribly and besides i d like to see what this lovely furniture looks like without such quantities of dust all over it good scheme cyn,0.03571428571428571,2.3314339773995534,790.1
 we ll come in here this afternoon with old clothes on and have a regular house cleaning ,we ll come in here this afternoon with old clothes on and have a regular house cleaning,0.0,4.164235241046909,788.1
 it can t hurt anything i m sure for we won t disturb things at all ,it can t hurt anything i m sure for we won t disturb things at all,0.0,4.665923035518634,786.1
 this thought however did not enter the heads of the enthusiastic pair ,this thought however did not enter the heads of the enthusiastic pair,0.0,4.107629444639562,791.2
 smuggling the house cleaning paraphernalia into the cellar window unobserved that afternoon proved no easy task for cynthia had added a whisked broom and dustpan to the outfit,smuggling the house cleaning paraphernalia into the cellar window unobserved that afternoon proved no easy task for cynthia had added a whisk broom and dust pan to the outfit,0.10344827586206896,1.7825855069081662,789.2
 the lure proved too much for him and he came sporting after it as friskly as a young kitten much to cynthia s delight when she caught sight of him,the lure proved too much for him and he came sporting after it as friskily as a young kitten much to cynthia s delight when she caught sight of him,0.03333333333333333,2.4528405512240448,785.2
