transcription,reference,wer,rtf,cpu
 månads ytterligare utgörs av sten och röstaft månads ytterligare kallas skorpan ,månens yta utgörs av stenar och stoft månens yttre lager kallas skorpan,0.5833333333333334,0.4035923629999161,130.4
 många tyska bakverk har också mandlar haselnötter och andra nötter populära kakor passar ofta särskilt bra med en koppstarkt kaffe ,många tyska bakverk har också mandlar hasselnötter och andra nötter populära kakor passar ofta särskilt bra med en kopp starkt kaffe,0.14285714285714285,0.01734034369622411,402.1
 enligt guvernörs tabeln var 19 av de skadade poliser ,enligt guvernörsstaben var nitton av de skadade poliser,0.375,0.014217723394937562,681.2
 bussar avgår från den distriktiemensamma bostationen över floden hela dagen med de flesta särskilt de som är på väg mot öster och jakkar bombtang går mellan halv sju och halv åtal ,bussar avgår från den distriktsgemensamma busstationen över floden hela dagen men de flesta särskilt de som är på väg mot öster och jakar bumthang går mellan 6 30 och 7 30,0.2903225806451613,0.013928047563663868,357.5
 australiens mitchell golley slutade som 11 i herrarnas dagande super g den tjeckiska konkurrentern aldrig gäll i neck slutade som nummer 16 i herrarnas super g ,australiens mitchell gourley slutade som elva i herrarnas stående super g den tjeckiska konkurrenten oldrich jelinek slutade som nummer sexton i herrarnas super g,0.375,0.013243426951758761,413.8
 vandaliserar inte platsen genom att måla eller skapa grafit i poststrukturer ,vandalisera inte platsen genom att måla eller skrapa graffiti på strukturer,0.45454545454545453,0.015293704138861762,604.0
 det andra nomineringarna inkluderar bästa film med recherkör filmkonst kostymdesign filmredagering originalmusik produktionsdesign ljudredagering ljudmixning original manus ,de andra nomineringarna inkluderar bästa film regissör filmkonst kostymdesign filmredigering originalmusik produktionsdesign ljudredigering ljudmixning och originalmanus,0.4375,0.019118227298904514,370.5
 i norr besök också fantastiska sanctuary of our lady of fatima helgedom en plats världsberömd för uppenbarelser av maria ,i norr besök också fantastiska sanctuary of our lady of fatima helgedom en plats världsberömd för uppenbarelser av maria,0.0,0.015609023187488663,452.3
 därför var blyersbindan en trogen följeslagare för många människor när den kom ut ,därför var blyertspennan en trogen följeslagare för många människor när den kom ut,0.07692307692307693,0.017174022893110912,623.1
 giancarlo fischella förlorade kontrollen över sin bil och avslutade loppet strax efter starten ,giancarlo fisichella förlorade kontrollen över sin bil och avslutade loppet strax efter starten,0.07692307692307693,0.023260739472535277,412.1
