transcription,reference,wer,rtf,cpu
 concord returned to its place amidst the tents,concord returned to its place amidst the tents,0.0,0.05107885080465407,492.2
 the english forwarded to the french baskets of flowers of which they had made a plentiful provision to greet the arrival of the young princess the french in return invited the english to a supper which was to be given the next day,the english forwarded to the french baskets of flowers of which they had made a plentiful provision to greet the arrival of the young princess the french in return invited the english to a supper which was to be given the next day,0.0,0.015414226243701258,406.3
 congratulations were poured in upon the princess everywhere during her journey,congratulations were poured in upon the princess everywhere during her journey,0.0,0.0355026852432175,471.4
 from the respect paid her on all sides she seemed like a queen and from the adoration with which she was treated by two or three she appeared an object of worship the queen mother gave the french the most affectionate reception france was her native country and she had suffered too much unhappiness in england for england to have made her forget france,from the respect paid her on all sides she seemed like a queen and from the adoration with which she was treated by two or three she appeared an object of worship the queen mother gave the french the most affectionate reception france was her native country and she had suffered too much unhappiness in england for england to have made her forget france,0.0,0.012555777860408736,341.8
 she taught her daughter then by her own affection for it that love for a country where they had both been hospitably received and where a brilliant future opened for them,she taught her daughter then by her own affection for it that love for a country where they had both been hospitably received and where a brilliant future opened before them,0.03225806451612903,0.018260255960980746,445.8
 the count had thrown himself back on his seat leaning his shoulders against the partition of the tent and remained thus his face buried in his hands with heaving chest and restless limbs,the count had thrown himself back on his seat leaning his shoulders against the partition of the tent and remained thus his face buried in his hands with heaving chest and restless limbs,0.0,0.015537572124446416,435.7
 this has indeed been a harassing day continued the young man his eyes fixed upon his friend,this has indeed been a harassing day continued the young man his eyes fixed upon his friend,0.0,0.03076459607507429,456.1
 you will be frank with me i always am ,you will be frank with me i always am,0.0,0.05446480050525694,482.4
 can you imagine why buckingham has been so violent i suspect,can you imagine why buckingham has been so violent i suspect,0.0,0.03990284950631041,461.4
 it is you who are mistaken ral i have read his distress in his eyes in his every gesture and action the whole day,it is you who are mistaken raoul i have read his distress in his eyes in his every gesture and action the whole day,0.041666666666666664,0.028229054513868392,438.3
 i can perceive love clearly enough ,i can perceive love clearly enough,0.0,0.05778362959181457,479.5
 i am convinced of what i say said the count,i am convinced of what i say said the count,0.0,0.05491223880009659,496.4
 it is annoyance then ,it is annoyance then,0.0,0.08648670825761619,507.3
 in those very terms i even added more ,in those very terms i even added more,0.0,0.057247706821986606,505.5
 but continued raoul not interrupted by this movement of his friend heaven be praised the french who are pronounced to be thoughtless and indiscreet reckless even are capable of bringing a calm and sound judgment to bear on matters of such high importance,but continued raoul not interrupted by this movement of his friend heaven be praised the french who are pronounced to be thoughtless and indiscreet reckless even are capable of bringing a calm and sound judgment to bear on matters of such high importance,0.0,0.013467605776571604,406.0
 thus it is that the honor of three is saved our country our masters and our own,thus it is that the honor of three is saved our country s our master s and our own,0.15789473684210525,0.027524901781709965,484.5
 yes i need repose many things have agitated me today both in mind and body when you return to morrow i shall no longer be the same man,yes i need repose many things have agitated me to day both in mind and body when you return to morrow i shall no longer be the same man,0.06896551724137931,0.020790219128399685,418.2
 but in this friendly pressure rao could detect the nervous agitation of a great internal conflict ,but in this friendly pressure raoul could detect the nervous agitation of a great internal conflict,0.0625,0.029872609423352525,473.2
 the night was clear starlit and splendid the tempest had passed away and the sweet influences of the evening had restored life peace and security everywhere,the night was clear starlit and splendid the tempest had passed away and the sweet influences of the evening had restored life peace and security everywhere,0.0,0.017663287851790603,456.2
 upon the large square in front of the hotel the shadows of the tents intersected by the golden moon beams formed as it were a huge mosaic of jet and yellow flagstones,upon the large square in front of the hotel the shadows of the tents intersected by the golden moonbeams formed as it were a huge mosaic of jet and yellow flagstones,0.06451612903225806,0.01849313624041934,408.9
 bragelon watched for some time the conduct of the two lovers listened to the loud and uncivil slumbers of manichemp who snored as imperiously as though he was wearing his blue and gold instead of his violet suit,bragelonne watched for some time the conduct of the two lovers listened to the loud and uncivil slumbers of manicamp who snored as imperiously as though he was wearing his blue and gold instead of his violet suit,0.05263157894736842,0.01505311992433336,410.9
 goliath makes another discovery ,goliath makes another discovery,0.0,0.05430103333528377,518.0
 they were certainly no near the solution of their problem ,they were certainly no nearer the solution of their problem,0.1,0.05183592438697815,513.1
 the poor little things cried cynthia think of them having been turned to the wall all these years,the poor little things cried cynthia think of them having been turned to the wall all these years,0.0,0.04107420393031278,372.5
 now what is the sense of it two innocent babies like that ,now what was the sense of it two innocent babies like that,0.08333333333333333,0.0660613861534761,384.9
 but joyce had not been listening all at once she put down her candle on the table and faced her companion,but joyce had not been listening all at once she put down her candle on the table and faced her companion,0.0,0.03718887887349943,380.7
 the twin brother did something she didn t like and she turned his picture to the wall ,the twin brother did something she didn t like and she turned his picture to the wall,0.0,0.045678442734355604,387.3
 hers happened to be on the same frame too but she evidently didn t care about it ,hers happened to be in the same frame too but she evidently didn t care about that,0.11764705882352941,0.047759442484606264,413.9
 now what have you to say cynthia sprog ,now what have you to say cynthia sprague,0.125,0.07304849354087885,403.3
 i thought we were stumped again when i first saw that picture but it s been of some use after all ,i thought we were stumped again when i first saw that picture but it s been of some use after all,0.0,0.04674089334280075,359.2
 do you suppose the miniature was a copy of the same thing ,do you suppose the miniature was a copy of the same thing,0.0,0.06126783317756373,412.9
 what in the world is it query joyce ,what in the world is that queried joyce,0.25,0.08179831238927451,395.7
 they worry me terribly and besides i d like to see what this lovely furniture looks like without such quantities of dust all over it good scheme sin ,they worry me terribly and besides i d like to see what this lovely furniture looks like without such quantities of dust all over it good scheme cyn,0.03571428571428571,0.029203386017770477,341.2
 we ll come in here this afternoon with old clothes on and have a regular house cleaning ,we ll come in here this afternoon with old clothes on and have a regular house cleaning,0.0,0.04212910071351474,438.9
 it can t hurt anything i m sure for we won t disturb things at all ,it can t hurt anything i m sure for we won t disturb things at all,0.0,0.05068053490331918,394.5
 this thought however did not enter the heads of the enthusiastic pair ,this thought however did not enter the heads of the enthusiastic pair,0.0,0.04420240046614308,407.7
 smuggling the house cleaning paraphernalia into the cellar window unobserved that afternoon proved no easy task for cynthia had added a whisk broom and dust pan to the outfit,smuggling the house cleaning paraphernalia into the cellar window unobserved that afternoon proved no easy task for cynthia had added a whisk broom and dust pan to the outfit,0.0,0.02076365399005095,349.6
 the lure proved too much for him and he came sporting after it as friskly as a young kitten much to cynthia s delight when she caught sight of him,the lure proved too much for him and he came sporting after it as friskily as a young kitten much to cynthia s delight when she caught sight of him,0.03333333333333333,0.023304671453820952,415.3
 oh let him come along she urged i do love to see him about that old house,oh let him come along she urged i do love to see him about that old house,0.0,0.038543690595080365,417.7
 he makes it sort of cozier ,he makes it sort of cozier,0.0,0.0925147644827299,389.3
 now let s dust the furniture in pictures ,now let s dust the furniture and pictures,0.125,0.08841459033558668,369.2
 yet little as it was it had already made a vast difference in the aspect of the room ,yet little as it was it had already made a vast difference in the aspect of the room,0.0,0.036886355656059786,373.8
 surface dust at least had been removed and the fine old furniture gave a hint of its real elegance and polish,surface dust at least had been removed and the fine old furniture gave a hint of its real elegance and polish,0.0,0.031242558617400603,383.2
 then she suddenly remarked ,then she suddenly remarked,0.0,0.10457957325635925,424.2
 and my pocket money is getting low again and you have it any left as usual,and my pocket money is getting low again and you haven t any left as usual,0.125,0.046957645219625886,369.1
 they say illumination by candlelight is the prettiest in the world,they say illumination by candle light is the prettiest in the world,0.16666666666666666,0.05472836671052156,383.8
 why it s goliath as usual they both cried peering in ,why it s goliath as usual they both cried peering in,0.0,0.059978012899750646,348.3
 isn t he the greatest for getting into odd corners ,isn t he the greatest for getting into odd corners,0.0,0.06194995713195306,450.5
 forgetting all their weariness they seized their candles and scurried through the house finding on occasional paper tucked away in some odd corner,forgetting all their weariness they seized their candles and scurried through the house finding an occasional paper tucked away in some odd corner,0.043478260869565216,0.02982757688289398,353.0
 well i m convinced that the boarded up house mystery happened not earlier than april sixteenth eighteen sixty one and probably not much later,well i m convinced that the boarded up house mystery happened not earlier than april sixteenth eighteen sixty one and probably not much later,0.0,0.023360264452197885,386.1
 no words were spoken no language was uttered save that of wailing and hissing and that somehow was indistinct as if it existed in fancy and not in reality,no words were spoken no language was uttered save that of wailing and hissing and that somehow was indistinct as if it existed in fancy and not in reality,0.0,0.017308800569011427,399.2
 i heard a noise behind i turned and saw kaffir his black eyes shining while in his hand he held a gleaming knife he lifted it above his head as if to strike but i had the strength of ten men and i hurled him from me,i heard a noise behind i turned and saw kaffar his black eyes shining while in his hand he held a gleaming knife he lifted it above his head as if to strike but i had the strength of ten men and i hurled him from me,0.02127659574468085,0.014444402466169385,356.8
 onward said a distant voice,onward said a distant voice,0.0,0.05191588005031291,490.1
 no sound broke the stillness of the night ,no sound broke the stillness of the night,0.0,0.06653643884499627,388.0
 the story of its evil influence came back to me and in my bewildered condition i wondered whether there was not some truth in what had been said,the story of its evil influence came back to me and in my bewildered condition i wondered whether there was not some truth in what had been said,0.0,0.025898766816909342,355.7
 what was that ,what was that,0.0,0.10170805224373979,455.6
 what then a human hand large and shapely appeared distinctly on the surface of the pond ,what then a human hand large and shapely appeared distinctly on the surface of the pond,0.0,0.03857121748082778,335.7
 nothing more not even the wrist to which it might be attached,nothing more not even the wrist to which it might be attached,0.0,0.0468307617467157,416.2
 it did not beckon or indeed move at all it was as still as the hand of death,it did not beckon or indeed move at all it was as still as the hand of death,0.0,0.03863526808142564,376.4
 i awoke to consciousness fighting at first it seemed as if i was fighting with the phantom but gradually my opponent became more real to me it was,i awoke to consciousness fighting at first it seemed as if i was fighting with a phantom but gradually my opponent became more real to me it was kaffar,0.06896551724137931,0.018511778902521342,400.5
 a sound of voices a flash of light ,a sound of voices a flash of light,0.0,0.05308453387045332,422.9
 a feeling of freedom and i was awake where,a feeling of freedom and i was awake where,0.0,0.053104847035509474,344.8
 said another voice which i recognized as voltaire s,said another voice which i recognized as voltaire s kaffar,0.1,0.04574020075744216,419.9
 i had scarcely known what i had been saying or doing up to this time but as he spoke i looked at my hand,i had scarcely known what i had been saying or doing up to this time but as he spoke i looked at my hand,0.0,0.0329184613537056,369.4
 in the light of the moon i saw a knife red with blood and my hand too was also discolored,in the light of the moon i saw a knife red with blood and my hand too was also discoloured,0.05,0.028723518536319294,418.5
 i do not know i am dazed bewildered ,i do not know i am dazed bewildered,0.0,0.05882821837315291,392.2
 but that is kaffir s knife,but that is kaffar s knife,0.16666666666666666,0.09707587736624258,405.8
 i know he had it this very evening ,i know he had it this very evening,0.0,0.092927003518129,386.7
 i remembered saying have we been together ,i remember saying have we been together,0.14285714285714285,0.07515832425791248,381.8
 volcher picked up something from the ground and looked at it ,voltaire picked up something from the ground and looked at it,0.09090909090909091,0.0655956522247495,383.7
 i say you do know what this means and you must tell us ,i say you do know what this means and you must tell us,0.0,0.04640965461730957,370.9
 a terrible thought flashed into my mind ,a terrible thought flashed into my mind,0.0,0.06425761437231256,410.5
 i had again been acting under the influence of this man s power ,i had again been acting under the influence of this man s power,0.0,0.052957271101287985,370.2
 perchance too kaffer s death might serve him in good stead,perchance too kaffar s death might serve him in good stead,0.09090909090909091,0.04596407606267392,378.9
 my tongue refused to articulate my power of speech left me ,my tongue refused to articulate my power of speech left me,0.0,0.04545178743872312,374.9
 my position was too terrible,my position was too terrible,0.0,0.07670264941430376,433.3
 my overwrought nerves yielded at last ,my overwrought nerves yielded at last,0.0,0.07330049344194614,377.4
 for some time after that i remembered nothing distinctly,for some time after that i remembered nothing distinctly,0.0,0.05758824286522803,383.7
 notwithstanding the high resolution of hawkeye he fully comprehended all the difficulties in danger he was about to incur ,notwithstanding the high resolution of hawkeye he fully comprehended all the difficulties and danger he was about to incur,0.05263157894736842,0.0319573098713985,347.7
 in his return to the camp his acute and practised intellects were intently engaged in devising means to counteract a watchfulness and suspicion on the part of his enemies that he knew were in no degree inferior to his own,in his return to the camp his acute and practised intellects were intently engaged in devising means to counteract a watchfulness and suspicion on the part of his enemies that he knew were in no degree inferior to his own,0.0,0.017241827748670818,371.7
 in other words while he had implicit faith in the ability of balaam s ass to speak he was somewhat sceptical on the subject of a bear s singing and yet he had been assured of the latter on the testimony of his own exquisite organs,in other words while he had implicit faith in the ability of balaam s ass to speak he was somewhat skeptical on the subject of a bear s singing and yet he had been assured of the latter on the testimony of his own exquisite organs,0.021739130434782608,0.01701624199534147,398.3
