transcription,reference,wer,rtf,cpu
 månans yta utgörs av stenorostoft månans ytterligagare kallas skorpen ,månens yta utgörs av stenar och stoft månens yttre lager kallas skorpan,0.6666666666666666,0.6757309039433798,765.0
 många tiska bakverkar också mandlar hasselnötter och andra nötter populära kakorpassar ofta särskild bra med en koppsdärkt kaffe ,många tyska bakverk har också mandlar hasselnötter och andra nötter populära kakor passar ofta särskilt bra med en kopp starkt kaffe,0.38095238095238093,0.4043019620092449,770.0
 en lit güvurnörsthaben var 19 av de skadade poliser ,enligt guvernörsstaben var nitton av de skadade poliser,0.5,0.32095759387177547,768.8
 bostar avgår från den distriktsegemen samman bostationen över floden hela dagen men de flesta ser hur de som är på väg mot öster och jackar bontang går mellan halv sju och halv vata ,bussar avgår från den distriktsgemensamma busstationen över floden hela dagen men de flesta särskilt de som är på väg mot öster och jakar bumthang går mellan 6 30 och 7 30,0.3870967741935484,0.36321174530755906,707.4
 australien smittselgåle i slutet av det som elva i heradnastan i det super g den tjeckiska konkurrenten aldrig gelinäck slutet av det som nummer 16 i heradnast super g ,australiens mitchell gourley slutade som elva i herrarnas stående super g den tjeckiska konkurrenten oldrich jelinek slutade som nummer sexton i herrarnas super g,0.6666666666666666,0.3860429400655185,749.5
 vandaliserar inte platsen genom att måla eller skapa grafitti på strukturer ,vandalisera inte platsen genom att måla eller skrapa graffiti på strukturer,0.2727272727272727,0.3461461067199707,761.9
 det andra nomineringarna inkluderar bästa film reddelserar filmkons kostiumdesign film reddelsering organometik productionsdesign judredelsering judmixning organormalus ,de andra nomineringarna inkluderar bästa film regissör filmkonst kostymdesign filmredigering originalmusik produktionsdesign ljudredigering ljudmixning och originalmanus,0.6875,0.4678217869884563,760.1
 i norr besök också fantastiskt har sankt tjölj av all aid av fatima helgidon en plats världsbörjum för uppenbarrelser av maria ,i norr besök också fantastiska sanctuary of our lady of fatima helgedom en plats världsberömd för uppenbarelser av maria,0.5789473684210527,0.38554702034439414,769.1
 därför bara blir er spännande och truggenfull i slagare för många människor när den kom ut ,därför var blyertspennan en trogen följeslagare för många människor när den kom ut,0.6153846153846154,0.4462234365443389,740.8
 giancarlo fick hella förlorade kontrollande av sin bil och avslutade loppet strax efter starten ,giancarlo fisichella förlorade kontrollen över sin bil och avslutade loppet strax efter starten,0.3076923076923077,0.40106024291064285,751.2
 resenär rekommenderades starkt att vara medvetna om risken för hårt världen som påverkar deras område eftersom det kan påverka resplanen ,resenärer rekommenderas starkt att vara medvetna om risken för hårt väder som påverkar deras område eftersom det kan påverka resplanerna,0.2,0.45546619418958245,760.9
