transcription,reference,wer,rtf,cpu
 hello ,hello ,0.0,0.03718170854780409,749.1
 can you hear me ,can you hear me ,0.0,0.030832309422530527,768.0
 i need your help right now ,i need your help right now ,0.0,0.03014353738314864,795.0
 turn off the kitchen lights ,turn off the kitchen lights ,0.0,0.028500727244785855,778.5
 she went to the store yesterday ,she went to the store yesterday ,0.0,0.03583033879597982,792.5
 what time is the meeting ,what time is the meeting ,0.0,0.02880471569674832,778.5
 he doesn t know the answer ,he doesn t know the answer ,0.0,0.03110457183723163,787.2
 please speak more clearly ,please speak more clearly ,0.0,0.031203460693359376,783.7
 i m on my way home ,i m on my way home ,0.0,0.03074213310524269,796.9
 that was an amazing performance ,that was an amazing performance ,0.0,0.026983702742813417,797.6
 where are my keys ,where are my keys ,0.0,0.03274122873942058,765.3
 do you remember his name ,do you remember his name ,0.0,0.029902137927154994,788.0
 i forgot to send the email ,i forgot to send the email ,0.0,0.03244127546037947,783.3
 let s meet after lunch ,let s meet after lunch ,0.0,0.029411422672556406,737.6
 this isn t what i expected ,this isn t what i expected ,0.0,0.025114698230095628,790.6
 call me when you get there ,call me when you get there ,0.0,0.028742502813469874,788.0
 don t open the window yet ,don t open the window yet ,0.0,0.031206082171342502,796.7
 why is the sky so red ,why is the sky so red ,0.0,0.026350551181369357,795.6
 i ll be there in five minutes ,i ll be there in five minutes ,0.0,0.0352212220184074,799.8
 who left the lights on ,who left the lights on ,0.0,0.028731130264900828,801.3
 that sounds like a great idea ,that sounds like a great idea ,0.0,0.030722441496672453,773.2
 i love this kind of music ,i love this kind of music ,0.0,0.030839352896719265,800.2
 she forgot her umbrella again ,she forgot her umbrella again ,0.0,0.022075562503750763,798.9
 please bring me a glass of water ,please bring me a glass of water ,0.0,0.029151625447459036,781.3
 the power went out last night ,the power went out last night ,0.0,0.028689491827756364,751.8
 are you sure about that ,are you sure about that ,0.0,0.03367057352355032,811.9
 don t forget to lock the door ,don t forget to lock the door ,0.0,0.029745338656378132,788.5
 i need to charge my phone ,i need to charge my phone ,0.0,0.02906530887096912,807.7
 let s take a break for now ,let s take a break for now ,0.0,0.034104182025579015,786.6
 where did you put my book ,where did you put my book ,0.0,0.029339875493730818,780.8
 he s never late for work ,he s never late for work ,0.0,0.0322280949308672,807.5
 we should probably get going ,we should probably get going ,0.0,0.03432636418618447,808.5
 this box is too heavy ,this box is too heavy ,0.0,0.02752345183800007,791.1
 can you help me move this ,can you help me move this ,0.0,0.03603100776672363,769.9
 i found your missing glove ,i found your missing glove ,0.0,0.030883452049771644,793.0
 keep the change thank you ,keep the change thank you ,0.0,0.03051098549004757,784.2
 i haven t eaten all day ,i haven t eaten all day ,0.0,0.04340246183062912,773.2
 let me explain what happened ,let me explain what happened ,0.0,0.03232890226709561,806.5
 you won t believe what i saw ,you won t believe what i saw ,0.0,0.031079079983008167,800.2
 the package has not yet arrived ,the package has not yet arrived ,0.0,0.024538773756760817,773.3
 please stay calm and focused ,please stay calm and focused ,0.0,0.02451910692102769,793.4
 i ll meet you outside the cafe ,i ll meet you outside the café ,0.14285714285714285,0.027172173125834403,805.3
 you need to restart your computer ,you need to restart your computer ,0.0,0.03012086258453577,747.0
 they arrived earlier than expected ,they arrived earlier than expected ,0.0,0.031907088828809334,773.7
