transcription,reference,wer,rtf,cpu
 concord returned to its place amidst the tents ,concord returned to its place amidst the tents,0.0,7.745641376424619,597.3
 the english forwarded to the french baskets of flowers of which they had made a plentiful provision to greet the arrival of the young princess the french in return invited the english to a supper which was to be given the next day ,the english forwarded to the french baskets of flowers of which they had made a plentiful provision to greet the arrival of the young princess the french in return invited the english to a supper which was to be given the next day,0.0,3.0874625911612084,765.0
 congratulations were poured in upon the princess everywhere during her journey ,congratulations were poured in upon the princess everywhere during her journey,0.0,3.6937956549041897,776.1
 from the respect paid her on all sides she seemed like a queen and from the adoration with which she was treated by two or three she appeared an object of worship the queen mother gave the french the most affectionate reception france was her native country and she had suffered too much unhappiness in england for england to have made her forget france ,from the respect paid her on all sides she seemed like a queen and from the adoration with which she was treated by two or three she appeared an object of worship the queen mother gave the french the most affectionate reception france was her native country and she had suffered too much unhappiness in england for england to have made her forget france,0.0,2.3344952585153664,778.0
 she taught her daughter then by her own affection for it that love for a country where they had both been hospitably received and where a brilliant future opened for them ,she taught her daughter then by her own affection for it that love for a country where they had both been hospitably received and where a brilliant future opened before them,0.03225806451612903,2.7555812175490444,781.6
 the count had thrown himself back on his seat leaning his shoulders against the partition of the tent and remained thus his face buried in his hands with heaving chest and restless limbs ,the count had thrown himself back on his seat leaning his shoulders against the partition of the tent and remained thus his face buried in his hands with heaving chest and restless limbs,0.0,2.4560847180954952,782.3
 this has indeed been a harassing day continued the young man his eyes fixed upon his friend ,this has indeed been a harassing day continued the young man his eyes fixed upon his friend,0.0,4.132081015497191,781.7
 you will be frank with me i always am,you will be frank with me i always am,0.0,5.565071825168431,778.3
 can you imagine why buckingham has been so violent i suspect ,can you imagine why buckingham has been so violent i suspect,0.0,4.393432182702649,767.4
 it is you who are mistaken rao i have read his distress in his eyes in his every gesture and action the whole day ,it is you who are mistaken raoul i have read his distress in his eyes in his every gesture and action the whole day,0.041666666666666664,3.939642454241658,779.1
 i can perceive love clearly enough ,i can perceive love clearly enough,0.0,5.329629341892198,779.6
 i am convinced of what i say said the count ,i am convinced of what i say said the count,0.0,6.2278826658341435,779.8
 it is annoyance then ,it is annoyance then,0.0,8.73576746773474,776.2
 in those very terms i even added more ,in those very terms i even added more,0.0,6.671732704655654,757.4
 but continued rao not interrupted by this movement of his friend heaven be praised the french who are pronounced to be thoughtless and indiscreet reckless even are capable of bringing a calm and sound judgment to bear on matters of such high importance ,but continued raoul not interrupted by this movement of his friend heaven be praised the french who are pronounced to be thoughtless and indiscreet reckless even are capable of bringing a calm and sound judgment to bear on matters of such high importance,0.023255813953488372,2.8152113289278082,772.0
 thus it is that the honor of three is saved our country our masters and our own ,thus it is that the honor of three is saved our country s our master s and our own,0.15789473684210525,3.879489046652863,776.0
 yes i need repose many things have agitated me today both in mind and body when you return tomorrow i shall no longer be the same man ,yes i need repose many things have agitated me to day both in mind and body when you return to morrow i shall no longer be the same man,0.13793103448275862,3.3082791822169697,777.0
 but in this friendly pressure rao could detect the nervous agitation of a great internal conflict ,but in this friendly pressure raoul could detect the nervous agitation of a great internal conflict,0.0625,3.944944329075999,776.8
 the night was clear starlit and splendid the tempest had passed away and the sweet influences of the evening had restored life peace and security everywhere ,the night was clear starlit and splendid the tempest had passed away and the sweet influences of the evening had restored life peace and security everywhere,0.0,3.0589870564039936,779.1
 upon the large square in front of the hotel the shadows of the tents intersected by the golden moonbeams formed as it were a huge mosaic of jet and yellow flagstones ,upon the large square in front of the hotel the shadows of the tents intersected by the golden moonbeams formed as it were a huge mosaic of jet and yellow flagstones,0.0,3.117902305733609,776.6
 braggalon watched for some time the conduct of the two lovers listen to the loud and uncivil slumbers of manakemp who snored as imperiously as though he was wearing his blue and gold instead of his violet suit ,bragelonne watched for some time the conduct of the two lovers listened to the loud and uncivil slumbers of manicamp who snored as imperiously as though he was wearing his blue and gold instead of his violet suit,0.07894736842105263,2.8799402051501803,772.9
 goliath makes another discovery ,goliath makes another discovery,0.0,5.3915536896256375,775.1
 there were certainly no near the solution of their problem ,they were certainly no nearer the solution of their problem,0.2,6.511404663324356,774.0
 the poor little things cried cynthia think of them having been turned to the wall all these years ,the poor little things cried cynthia think of them having been turned to the wall all these years,0.0,5.2385440404466594,767.6
 now what is the sense of it two innocent babies like that ,now what was the sense of it two innocent babies like that,0.08333333333333333,6.492720185565808,773.1
 but joyce had not been listening all at once she put down her candle on the table and faced her companion ,but joyce had not been listening all at once she put down her candle on the table and faced her companion,0.0,4.478595121120049,772.4
 the twin brother did something she didn t like and she turned his picture to the wall ,the twin brother did something she didn t like and she turned his picture to the wall,0.0,4.812283454372251,772.3
 hers happened to be on the same frame too but she evidently didn t care about it ,hers happened to be in the same frame too but she evidently didn t care about that,0.11764705882352941,5.612786343335838,777.1
 now what have you to say cynthia sprague ,now what have you to say cynthia sprague,0.0,7.1917925320618545,776.7
 i thought we were stumped again when i first saw that picture but it s been of some use after all ,i thought we were stumped again when i first saw that picture but it s been of some use after all,0.0,5.46451106940539,775.4
 do you suppose the miniature was a copy of the same thing ,do you suppose the miniature was a copy of the same thing,0.0,6.141333643035217,777.8
 what in the world is it query choice ,what in the world is that queried joyce,0.375,7.442431999405078,771.4
 they worry me terribly and besides i d like to see what this lovely furniture looks like without such quantities of dust all over it good scheme sin ,they worry me terribly and besides i d like to see what this lovely furniture looks like without such quantities of dust all over it good scheme cyn,0.03571428571428571,3.491983114382921,776.8
 we ll come in here this afternoon with old clothes on and have a regular house cleaning ,we ll come in here this afternoon with old clothes on and have a regular house cleaning,0.0,5.062052617139642,771.6
 it can t hurt anything i m sure for we won t disturb things at all ,it can t hurt anything i m sure for we won t disturb things at all,0.0,5.672695966270881,774.0
 this thought however did not enter the heads of the enthusiastic pair ,this thought however did not enter the heads of the enthusiastic pair,0.0,4.719566490690587,777.4
 smuggling the housecleaning paraphernalia into the cellar window unobserved that afternoon proved no easy task for cynthia had added a whisk broom and dustpan to the outfit ,smuggling the house cleaning paraphernalia into the cellar window unobserved that afternoon proved no easy task for cynthia had added a whisk broom and dust pan to the outfit,0.13793103448275862,2.935051754663568,765.7
 the lure proved too much for him and he came sporting after it as friskily as a young kitten much to cynthia s delight when she caught sight of him ,the lure proved too much for him and he came sporting after it as friskily as a young kitten much to cynthia s delight when she caught sight of him,0.0,3.387722432904759,780.4
 oh let him come along she urged i do love to see him about that old house ,oh let him come along she urged i do love to see him about that old house,0.0,4.361889146392315,776.5
 he makes it sort of cozier ,he makes it sort of cozier,0.0,7.821150360820449,782.3
 now let s dust the furniture and pictures ,now let s dust the furniture and pictures,0.0,7.300896783476894,772.9
 yet little as it was it had already made a vast difference in the aspect of the room ,yet little as it was it had already made a vast difference in the aspect of the room,0.0,3.959729986726907,779.0
 surface dust at least had been removed and the fine old furniture gave a hint of its real elegance and polish ,surface dust at least had been removed and the fine old furniture gave a hint of its real elegance and polish,0.0,3.5837857112197304,782.8
 then she suddenly remarked ,then she suddenly remarked,0.0,8.294632818579359,778.1
 and my pocket money is getting low again and you haven t any left as usual ,and my pocket money is getting low again and you haven t any left as usual,0.0,4.6352007954391015,779.1
 they say illumination by candlelight is the prettiest in the world ,they say illumination by candle light is the prettiest in the world,0.16666666666666666,5.369213304401916,783.4
 why it s goliath as usual they both cried peering in,why it s goliath as usual they both cried peering in,0.0,5.236273309559498,781.1
 isn t he the greatest for getting into odd corners ,isn t he the greatest for getting into odd corners,0.0,6.299361147022711,772.4
 forgetting all their weariness they seize their candles and scurry through the house finding on occasional paper tucked away in some odd corner ,forgetting all their weariness they seized their candles and scurried through the house finding an occasional paper tucked away in some odd corner,0.13043478260869565,3.4623172003528087,781.2
 well i m convinced that the boarded up house mystery happened not earlier than april 16 1861 and probably not much later ,well i m convinced that the boarded up house mystery happened not earlier than april sixteenth eighteen sixty one and probably not much later,0.16666666666666666,2.7871884454654743,773.8
 no words were spoken no language was uttered save that of wailing and hissing and that somehow was indistinct as if it existed in fancy and not in reality ,no words were spoken no language was uttered save that of wailing and hissing and that somehow was indistinct as if it existed in fancy and not in reality,0.0,2.557422413110456,780.7
 i heard a noise behind i turned and saw caffer his black eyes shining while in his hand he held a gleaming knife he lifted it above his head as if to strike but i had the strength of ten men and i hurled him from me ,i heard a noise behind i turned and saw kaffar his black eyes shining while in his hand he held a gleaming knife he lifted it above his head as if to strike but i had the strength of ten men and i hurled him from me,0.02127659574468085,2.409435348030769,780.5
 onward said a distant voice ,onward said a distant voice,0.0,4.829815404317743,781.0
 no sound broke the stillness of the night ,no sound broke the stillness of the night,0.0,5.514209657590921,777.3
 the story of its evil influence came back to me and in my bewildered condition i wondered whether there was not some truth in what had been said ,the story of its evil influence came back to me and in my bewildered condition i wondered whether there was not some truth in what had been said,0.0,3.2696684035297214,779.6
 what was that ,what was that,0.0,7.548765834041207,779.7
 what then a human hand large and shapely appeared distinctly on the surface of the pond ,what then a human hand large and shapely appeared distinctly on the surface of the pond,0.0,3.6769336812636433,781.9
 nothing more not even the wrist to which it might be attached ,nothing more not even the wrist to which it might be attached,0.0,4.557873265986316,776.3
 it did not beckon or indeed move at all it was as still as the hand of death ,it did not beckon or indeed move at all it was as still as the hand of death,0.0,4.083915075716354,783.2
 i awoke to consciousness fighting at first it seemed as if i was fighting with a phantom but gradually my opponent became more real to me it was caffer ,i awoke to consciousness fighting at first it seemed as if i was fighting with a phantom but gradually my opponent became more real to me it was kaffar,0.034482758620689655,2.6634312946003673,780.3
 a sound of voices a flash of light ,a sound of voices a flash of light,0.0,4.455440700287303,778.2
 a feeling of freedom and i was awake where ,a feeling of freedom and i was awake where,0.0,4.122020234452917,779.8
 he said another voice which i recognized as voltaire s caffer ,said another voice which i recognized as voltaire s kaffar,0.2,4.965962943858541,781.4
 i had scarcely known what i had been saying or doing up to this time but as he spoke i looked at my hand ,i had scarcely known what i had been saying or doing up to this time but as he spoke i looked at my hand,0.0,3.814684343826242,780.8
 in the light of the moon i saw a knife red with blood and my hand too was also discolored ,in the light of the moon i saw a knife red with blood and my hand too was also discoloured,0.05,3.676350171427656,779.2
 i do not know i am dazed bewildered ,i do not know i am dazed bewildered,0.0,6.43042175763414,763.9
 but that is caffer s knife ,but that is kaffar s knife,0.16666666666666666,8.689986224527711,777.6
 i know he had it this very evening ,i know he had it this very evening,0.0,7.590642342200646,780.2
 i remembered saying have we been together ,i remember saying have we been together,0.14285714285714285,6.202209199247913,775.3
 wallchair picked up something from the ground and looked at it ,voltaire picked up something from the ground and looked at it,0.09090909090909091,5.781155295625946,782.0
 i say you do know what this means and you must tell us ,i say you do know what this means and you must tell us,0.0,5.053436803817749,726.5
 a terrible thought flashed into my mind ,a terrible thought flashed into my mind,0.0,7.792543810467387,697.5
 i had again been acting under the influence of this man s power ,i had again been acting under the influence of this man s power,0.0,6.15068322502523,738.8
 perchance too caffer s death might serve him in good stead ,perchance too kaffar s death might serve him in good stead,0.09090909090909091,4.983392391380537,769.6
 my tongue refused to articulate my power of speech left me ,my tongue refused to articulate my power of speech left me,0.0,4.3020979720767185,773.4
 my position was too terrible ,my position was too terrible,0.0,6.788551383338898,770.6
 my overwrought nerves yielded at last ,my overwrought nerves yielded at last,0.0,6.680704675069669,776.9
 for some time after that i remembered nothing distinctly,for some time after that i remembered nothing distinctly,0.0,5.504127725378259,771.5
 notwithstanding the high resolution of hawkeye he fully comprehended all the difficulties and danger he was about to incur ,notwithstanding the high resolution of hawkeye he fully comprehended all the difficulties and danger he was about to incur,0.0,3.696278363333132,775.0
 in his return to the camp his acute and practiced intellects were intently engaged in devising means to counteract a watchfulness and suspicion on the part of his enemies that he knew were in no degree inferior to his own ,in his return to the camp his acute and practised intellects were intently engaged in devising means to counteract a watchfulness and suspicion on the part of his enemies that he knew were in no degree inferior to his own,0.025,2.9619630822419527,768.5
 in other words while he had implicit faith in the ability of balaam s ass to speak he was somewhat sceptical on the subject of a bear s singing and yet he had been assured of the latter on the testimony of his own exquisite organs ,in other words while he had implicit faith in the ability of balaam s ass to speak he was somewhat skeptical on the subject of a bear s singing and yet he had been assured of the latter on the testimony of his own exquisite organs,0.021739130434782608,3.2059564895826442,776.8
 there was something in his air and manner that betrayed to the scout the utter confusion of the state of his mind ,there was something in his air and manner that betrayed to the scout the utter confusion of the state of his mind,0.0,4.0495916122278715,779.0
 the ingenious hawkeye who recalled the hasty manner in which the other had abandoned his post at the bedside of the sick woman was not without his suspicions concerning the subject of so much solemn deliberation ,the ingenious hawkeye who recalled the hasty manner in which the other had abandoned his post at the bedside of the sick woman was not without his suspicions concerning the subject of so much solemn deliberation,0.0,3.31349380642516,775.0
 the bear shook his shaggy sides and then a well known voice replied ,the bear shook his shaggy sides and then a well known voice replied,0.0,5.115125016732649,774.9
