transcription,reference,wer,rtf,cpu
 båna ser utgörs av stenor och stofft måna ser till lager i kallas skolpen ,månens yta utgörs av stenar och stoft månens yttre lager kallas skorpan,0.75,0.12396064897378287,113.5
 många tillska bakverk har också mandlar hastelnötter och andra nötter på plära kakor passar ofta särskilt bra med en kopstarkkaffe ,många tyska bakverk har också mandlar hasselnötter och andra nötter populära kakor passar ofta särskilt bra med en kopp starkt kaffe,0.3333333333333333,0.020261419024639103,139.1
 en litg över nörstavben var 19 av de skada de poliser ,enligt guvernörsstaben var nitton av de skadade poliser,0.875,0.01400167815351256,181.5
 bossar avgår från den districtsemen samarbostationen överflug den hela dagen men de flesta ser hylte dem som är på väng mot öster och jäckar buntang går mellan halvhus och halvwater ,bussar avgår från den distriktsgemensamma busstationen över floden hela dagen men de flesta särskilt de som är på väg mot öster och jakar bumthang går mellan 6 30 och 7 30,0.4838709677419355,0.016412179936807623,132.3
 australiens michael goll är slutade som elva i herarnastag in dess superge den check ska konkurrenten aldrig gå i jäljnek slutade som nummer 16 i herarnast superge ,australiens mitchell gourley slutade som elva i herrarnas stående super g den tjeckiska konkurrenten oldrich jelinek slutade som nummer sexton i herrarnas super g,0.7083333333333334,0.014097223606712915,138.2
 vandalliserar inte platsen genom att måla eller skapa grafiti på strukturer ,vandalisera inte platsen genom att måla eller skrapa graffiti på strukturer,0.2727272727272727,0.018283738030327693,158.3
 det andra nomineringen är inkluderar besta film reskursar filmkons costumes design film reddyschering organolmetik produktionsdesign judredyschering judmeksning organolmanus ,de andra nomineringarna inkluderar bästa film regissör filmkonst kostymdesign filmredigering originalmusik produktionsdesign ljudredigering ljudmixning och originalmanus,0.9375,0.022667421484893223,125.0
 i norrbesök också fantastiska sanktory of our lady of fatima helge dunn en plats världsbörröm för uppenborrelser of maria ,i norr besök också fantastiska sanctuary of our lady of fatima helgedom en plats världsberömd för uppenbarelser av maria,0.42105263157894735,0.02028590213402389,180.1
 därför var blir spännande en trugen följslagare för många människor när den kom ut ,därför var blyertspennan en trogen följeslagare för många människor när den kom ut,0.3076923076923077,0.01737307757139206,157.6
 jankärl då förkjälla förlorna det kontrollen av sig en bil och avslutade loppet strax efter starten ,giancarlo fisichella förlorade kontrollen över sin bil och avslutade loppet strax efter starten,0.6153846153846154,0.020371498288335024,155.0
 resinare rekommenderar starkt att vara medvet om risken för hårtvärd som påverkar deras områder efter som det kan påverka resplanen ,resenärer rekommenderas starkt att vara medvetna om risken för hårt väder som påverkar deras område eftersom det kan påverka resplanerna,0.45,0.02377324940381941,235.3
 han så att nedhärningarna skulle baseras på tjenas ekonomiska styrika och har vi inte några siffror för då ,han sa att nedskärningarna skulle baseras på kinas ekonomiska styrka och gav inte några siffror för dem,0.4117647058823529,0.017894995518219776,149.5
 ehele die gewöne da habe ich ein wornicht an den skala der polinenseh ,enligt guvernörsstaben var nitton av de skadade poliser,1.625,0.017846436892154715,162.7
 men med simplasering är höga tropikerna bara några fågrader norr om i kvartom måste du hantera både hette alltid och stark sol när hymlene klar mer sällan , men med sin placering i höga tropikerna bara några få grader norr om ekvatorn måste du hantera både hetta alltid och stark sol när himlen är klar mer sällan ,0.3448275862068966,0.01334642181484482,134.1
 den amerikanska hinser en gärsk åren bedömda att sex tums rängskulle kunna få det tidigare skada för demningen att brista ,den amerikanska ingenjörskåren bedömde att 6 tums regn skulle kunna få de tidigare skadade fördämningarna att brista,0.7058823529411765,0.025184195117068695,140.3
 detta sediment var nu även för att skapa sandre och ständer som fungerar som naturliga miljöer för att ju i liv ,detta sediment var nödvändigt för att skapa sandrev och stränder som fungerade som naturliga miljöer för djurliv,0.5294117647058824,0.02275382479031881,149.0
 förionsbampen gönna sig på principen att kraftiga energi för att åsta kommer en kärna med många plotoner i nationer ,fissionsbomben grundar sig på principen att det krävs energi för att åstadkomma en kärna med många protoner och neutroner,0.47368421052631576,0.0333974341384503,134.3
 bra en korren släkte så småning mellan 2335 på kvällen ,brandkåren släckte så småningom elden vid 23 35 på kvällen,0.8,0.02366254204197934,178.2
 uso gymnastik och uso kan samma mål att göra gymnastiken och andra sporter så säkra som möjligt så att idrotare ska kunna följa sina drömar i en trygg positiv och stärkande miljö ,usa gymnastics och usoc har samma mål att göra gymnastiken och andra sporter så säkra som möjligt så att idrottare ska kunna följa sina drömmar i en trygg positiv och stärkande miljö,0.1875,0.01724235159601811,128.8
 alla delta har ju samhället av en transportsystem i princip alla klagar över transportsystem ,alla deltar i samhället och använder transportsystem i princip alla klagar över transportsystem,0.38461538461538464,0.020079018692376233,176.4
 en bomb explodera det utan för generalgiv och närens kontor ,en bomb exploderade utanför generalguvernörens kontor,1.1666666666666667,0.02639847889281156,174.8
 ävenom av älskar förtnipad med science fiction är det mycket viktig grejen inom datavetenskapen som in begriper maskiner svetene inlärning och intelligens ,även om ai är starkt förknippat med science fiction är det en mycket viktig gren inom datavetenskapen som inbegriper maskiners beteende inlärning och intelligens,0.5,0.018459980466724497,135.9
 hämna var skåder plats för örkänte läge år 189 när sjukväpp från tyskland usa storbitan i en vägrade landna hamnen ,hamnen var skådeplats för ett ökänt dödläge år 1889 när sju skepp från tyskland usa och storbritannien vägrade lämna hamnen,0.65,0.021911666924724307,140.1
 den första av dessa sjottiotarekommunationer är ett nytt diplomatiskt initiativ började ta sina slutet av det här året för att säkrar i rakskren som mot förändliga interventioner och att återrättablera diplomatiska relationer med dessa grannar ,den första av dess 78 rekommendationer är att ett nytt diplomatiskt initiativ bör tas innan slutet av det här året för att säkra iraks gränser mot fientliga interventioner och att återetablera diplomatiska relationer med dess grannar,0.3888888888888889,0.023475199034719757,140.4
 populäras bortar inkluderar fortbol basket vollribol vattenpol och fäckning rugb cykel isokki och rullskritsko hokki och formelet ,populära sporter inkluderar fotboll basket volleyboll vattenpolo fäktning rugby cykel ishockey rullskridskohockey och formel 1,0.9333333333333333,0.018519313528559914,132.8
 med kundalini yoga väx kundalini energin och plysnings energin genom yogaställningar anningsövningar mantra och visualiseringar ,med kundaliniyoga väcks kundalini energin upplysningsenergi genom yogaställningar andningsövningar mantran och visualiseringar,0.6666666666666666,0.013442800109819622,149.2
 prof pamela ferguson vid dundis universitet konstaterar att journalister väljer ett farlig linje om det publicerar bilder etc om misstänkte , professor pamela ferguson vid dundees universitet konstaterar att journalister väljer en farlig linje om de publicerar bilder etc av misstänkta ,0.3,0.016972864115679706,147.5
 fleras stora tv färm är installerade på olika platser i rum för att folk inte skulle kunna se sig man in ,flera stora tv skärmar installerades på olika platser i rom för att folket skulle kunna se ceremonin,0.5882352941176471,0.03038586461945047,262.0
 till exempel så är det vanligaste formatet för stilbilder i världen traktio fem milimeter vilket var den dominerande filmstoliken vi slutet av den analoga filmens era ,till exempel så är det vanligaste formatet för stillbilder i världen 35 mm vilket var den dominerande filmstorleken vid slutet av den analoga filmens era,0.24,0.01706494801286338,140.3
 mångs slutet av medeltiden började vesta europa utvecklas i negens stil en av tiden största utvecklingen till följd av kostogen var att folk började använda knappar för att västa kläder ,mot slutet av medeltiden började västeuropa utveckla sin egen stil en av tidens största utvecklingar till följd av korstågen var att folk började använda knappar för att fästa kläder,0.3448275862068966,0.020978734356716343,129.7
 det flastar byggnade när vi komplexet utkämtar byggs om flattiatulisteren bättre idé om vi löser ut i olgenon ,de flesta byggnaderna vid komplexets utkant har byggts om för att ge turister en bättre idé om hur de såg ut i original,0.7391304347826086,0.026386278169649138,149.5
 seyenlerden bir ises bu piramidine o güm uluyika piramidine bir öplüste ,scenerna visas på pyramiderna och de olika pyramiderna blir upplysta,1.1,0.018789795623428522,140.9
 utöver unstagens eventemang i tävla decarpaner då i två individuella lopp i den mest skapet ,utöver onsdagens evenemang tävlade carpanedo i två individuella lopp vid mästerskapet,0.9090909090909091,0.017489514224124588,152.2
 gissa pratarna ligger gissa nekroopolis i den är juptiska dödenstal i noll och flera pyramide varav den stora pyramiden är största flerar mindrygra månument flera tämpel och den stora svinksan , gizaplatån eller giza necropolis i den egyptiska dödens dal innehåller flera pyramider varav den stora pyramiden är den största flera mindre gravmonument flera tempel och den stora sfinxen ,0.6428571428571429,0.025410609394980115,123.6
 det är alla kommer i kring börjar vi inte bli förgående över våra erna förfärde löser sitt prottimproblem börjar vi få samma sätt som skimpanser på samman och gör det dag , när allt kommer omkring bör vi inte bli förvånade om våra egna förfäder löste sitt proteinproblem på ungefär samma sätt som chimpanser på savannen gör i dag ,0.7037037037037037,0.02949364483356476,134.3
 pyramidernas jus och jus så är en av de mest intressanta sakerna för barn på området ,pyramidernas ljud och ljusshow är en av de mest intressanta sakerna för barn på området,0.2,0.01498911831829999,150.5
 lämpliga användning av bloggar kan ge eleverna möjlighet att bli mer analytiska kritiska genom att aktivt svara på innan ett material kan eleverna definierar sina positioner i relation till vad andra skivet samtredigare för sitt egna perspektiv på specifika frågor år av veck 202 , lämplig användning av bloggar kan ge eleverna möjlighet att bli mer analytiska och kritiska genom att aktivt svara på internetmaterial kan eleverna definiera sina positioner i relation till vad andra har skrivit samt redogöra för sina egna perspektiv på specifika frågor oravec 2002 ,0.3488372093023256,0.020685495997366066,121.3
 fru kirch när tillkända gav sin intension att kandidera till ett president på den argentinskatiaten samma plästerhonstartra den sin kampanj till senaten år 2005 som medlem i provvitts delegationen från böjnos iris ,fru kirchner tillkännagav sin intention att kandidera till president på den argentinska teatern samma plats där hon startade sin kampanj till senaten år 2005 som medlem i provinsdelegationen från buenos aires,0.5161290322580645,0.017672205624515065,126.1
 enligt forskare behöver universitetet bildar ut två föreningar och exustallet som kan blockera njulfunktionen när det gör det i agerar med varandra ,enligt forskare vid universitetet bildar de två föreningarna kristaller som kan blockera njurfunktionen när de reagerar med varandra,0.6111111111111112,0.025547339842956394,134.3
 ändas mutationer i fortplantningssäljer kan nedar vad s till barn med de mutationer på annars alla kan nog försöka sälja dörd eller cancer ,endast mutationer i fortplantningsceller kan nedärvas till barn medan mutationer på andra ställen kan orsaka cell död eller cancer,0.6842105263157895,0.03197614963238056,236.8
 han tillade att de dock inte började förväntas att ta på sig skyldigheter som går bort de deras utvecklingsnivå ansvar och förmågor , han tillade att de dock inte borde förväntas att ta på sig skyldigheter som går bortom deras utvecklingsnivå ansvar och förmågor ,0.14285714285714285,0.01804215885768427,133.9
 sundar barns har antagits på ginesk och sveriges lista den del av skoggen som ligger på i det stediturio kallas sundar barns national park ,sundarbans har antagits på unescos världsarvslista den del av skogen som ligger på indiskt territorium kallas sundarbans national park,0.631578947368421,0.018534023745530318,160.7
 den är att det kérade också allting som kom ner i vattnet även en gigantisk din usa har ju som tirox och ingen match för den ,den attackerade också allting som kom ner i vattnet även en gigantisk dinosaurie som t rex var ingen match för den,0.5238095238095238,0.027453348294371814,137.5
 en då tar minligheterna stråt ljud alla skyldare och var mycket uppmärksam på säkerhetsfarningen ,ändå ta myndigheternas råd lyd alla skyltar och var mycket uppmärksam på säkerhetsvarningar,0.6153846153846154,0.031201854878644728,150.6
 trafikflade studiet av hur individuella faror och får honra sig mellan två punkter och hur det inte ragerar med varandra ,trafikflöde är studiet av hur individuella förare och fordon rör sig mellan två punkter och hur de interagerar med varandra,0.4,0.0293473978549386,230.7
 även om detta ofta bara är en felaktig stereotyp är det bästa sådär att klara sig i paris fokfarande att uppföra sig på bästa sätt och bete sig som någon som är bjön eller väl och fostrad ni kommer göra det betydligt enklare att ha sig runt , även om detta ofta bara är en felaktig stereotyp är det bästa sättet att klara sig i paris fortfarande att uppföra sig på bästa sätt och bete sig som någon som är bien élevé väluppfostrad det kommer göra det betydligt enklare att ta sig runt ,0.2,0.020372807010402526,124.8
 han sa att nedfärdningarna skulle basera specinas ekonomi ska styrka och ha mig till några siffror för den ,han sa att nedskärningarna skulle baseras på kinas ekonomiska styrka och gav inte några siffror för dem,0.5294117647058824,0.0204507918918834,162.0
 vissa människor trodde att han hade rätt men många trodde motsatsen att sorgsystemet rör sig runt jorden inklusive solen och så det andra färnorna ,vissa människor trodde att han hade rätt men många trodde motsatsen att solsystemet rörde sig runt jorden inklusive solen och också de andra stjärnorna,0.20833333333333334,0.021597044808523997,141.3
 varserlarna så fysjela språk är katalanska och spanska ungefär hälften för redrar att tola katalanska en övervilldjende majoritet förstår det och så gott som alla kan spanska ,barcelonas officiella språk är katalanska och spanska ungefär hälften föredrar att tala katalanska en överväldigande majoritet förstår det och så gott som alla kan spanska,0.28,0.014492411598516481,133.5
 underaliserar inte platsen genom att måla eller skrappa i den fittet på strukturen ,vandalisera inte platsen genom att måla eller skrapa graffiti på strukturer,0.5454545454545454,0.028370916843414307,154.4
 trafikflöder studiet har för individuella förare och fordonrösen mellan 2 punkter och för de interagera med varandra ,trafikflöde är studiet av hur individuella förare och fordon rör sig mellan två punkter och hur de interagerar med varandra,0.5,0.018084677965832158,146.0
 den officiella fallklans valutande fallklanspundet fkp var svärde mot svare värdet från en blittisk pund gbp ,den officiella falklands valutan är falklandspundet fkp vars värde motsvarar värdet för ett brittiskt pund gbp,0.6875,0.031873793669149914,213.7
 jätteverkar ha de istiserats först för om kring tjultusen år sedan i zagros bergen i iran ,getter verkar ha domesticerats först för omkring 10 000 år sedan i zagrosbergen i iran,0.6,0.017448803957770855,151.9
 romantiken innehåller stort element av det terminism med urspöms för fattare som går att det fiste och släger ,romantiken innehöll ett stort element av determinism med ursprung hos författare som goethe fichte och schlegel,0.75,0.021749889878798317,163.2
 som ett resultat att få fiskartor och otterutats två andra utrottingshotade inklusivart en humpback chapp gilla sy far ,som ett resultat har två fiskarter utrotats och två andra är utrotningshotade inklusive arten humpback chub gila cypha,0.7222222222222222,0.020620903897943518,144.3
 άρι σωτέλουμε σύννει πολλά βετενες κάπου λίγα φρόγουρο είκρωση βέψει κονογή αξεπτυράδες ,aristoteles syn på alla vetenskapliga frågor inklusive psykologi accepterades,1.3333333333333333,0.03055480061745157,130.0
 du kan också ha en schymol om att konsultera andra ger i regeringar än din egen men deras rådar utformade för sina egena invånare ,du kan också ha önskemål om att konsultera andra regeringar än din egen men deras råd är utformade för sina egna invånare,0.3181818181818182,0.02036504512473967,133.0
 mer traditionella kyrkor håller offta en påsknadsmässa på lördagskvällen under påskälgen vid midnadsbruiter sedan församningen upp för att fira kristi uppståndelse ,mer traditionella kyrkor håller ofta en påsknattsmässa på lördagskvällen under påskhelgen vid midnatt bryter sedan församlingen upp för att fira kristi uppståndelse,0.2727272727272727,0.02106545586013279,205.1
 man kan bara undra vad det blir av tangent vordet när något nere kommer ,man kan bara undra vad det blir av tangentbordet när något nyare kommer,0.23076923076923078,0.017502346659094337,170.6
 flera stora teva skärmar installeras på olika platser i rom för att folk skulle kunna se sig demonin ,flera stora tv skärmar installerades på olika platser i rom för att folket skulle kunna se ceremonin,0.29411764705882354,0.028207884148252965,166.6
 fluttonas jobb har traditionellt varit att säkerställa dit land upp rätt håller förmågen att förflytta ett folk och gods och samtidigt störa fiendens förmåga att förflytta folk och gods ,flottornas jobb har traditionellt varit att säkerställa att ditt land upprätthåller förmågan att förflytta ert folk och gods och samtidigt störa fiendens förmåga att förflytta folk och gods,0.2857142857142857,0.020029656486406144,127.3
 plitva i skören av nationalpark är bevuxen med tätskog vi vill sakligen med bok grann och ädergrann och har den blandning av allt om mederhavslägeta hon ,plitvicesjöarnas nationalpark är bevuxen med tät skog huvudsaklingen med bok gran och ädelgran och har en blandning av alp och medelhavsvegetation,0.7142857142857143,0.017776278688697054,136.4
 tärmen sa far i popularkbruk av serie så rövlande för att serefantastiska frikanska villda juren särskilt på savanden ,termen safari i populärt bruk avser resor över landet för att se de fantastiska afrikanska vilda djuren särskilt på savannen,0.8,0.02278947248691466,133.9
 sedan har sunskjön grundades fämta när jag tror att det skulle vara på alla goa i lyckas på hålla mycket av sin in hem ska kräckta arvida antitetet ,sedan asunción grundades 1537 har paraguay lyckats behålla mycket av sin inhemska karaktär och identitet,1.5333333333333334,0.02619524147515723,137.4
 i norr besök också fantastiska sankture av våra lediga och fatima helgidom en plats världsprund för att pemberga oss av maria ,i norr besök också fantastiska sanctuary of our lady of fatima helgedom en plats världsberömd för uppenbarelser av maria,0.5263157894736842,0.02138869567487225,142.3
 sedan visas på piramiderna och de olika piramiderna blir uppplista ,scenerna visas på pyramiderna och de olika pyramiderna blir upplysta,0.4,0.016518667632458257,152.9
 samma varschövudstad heter aspia staden ligger på en uppholo och har en folkmängd strax under 40 000 ,samoas huvudstad heter apia staden ligger på ön upolu och har en folkmängd strax under 40 000,0.29411764705882354,0.014413773328408428,169.6
 de andra nomineringen har inkluderat bästa filmer och i sör film konst kostjumdesjärn filmredegering originalmysik produkonsdesjärn judredegering judmiktsning och originalmanes ,de andra nomineringarna inkluderar bästa film regissör filmkonst kostymdesign filmredigering originalmusik produktionsdesign ljudredigering ljudmixning och originalmanus,1.0,0.020194921964480556,122.3
 sen rälset kan två beteende framträdande föräfer börjar leda sina tidiga i lika rennena ändå nåt spektrum med försöker käferna förbi en i jänget , generellt sett kan två beteenden framträda när chefer börjar leda sina tidigare gelikar i den ena änden av spektrumet försöker chefen att förbli en i gänget ,0.6923076923076923,0.022618462439297007,127.9
