transcription,reference,wer,rtf,cpu
 concord returned to its place amidst the tents,concord returned to its place amidst the tents,0.0,0.07508069744463824,346.2
 the english forwarded to the french baskets of flowers of which they had made a plentiful provision to greet the arrival of the young princess the french in return invited the english to a supper which was to be given the next day,the english forwarded to the french baskets of flowers of which they had made a plentiful provision to greet the arrival of the young princess the french in return invited the english to a supper which was to be given the next day,0.0,0.02130836929294472,323.5
 congratulations were poured in upon the princess everywhere during her journey,congratulations were poured in upon the princess everywhere during her journey,0.0,0.10045824952386505,186.3
 from the respect paid her on all sides she seemed like a queen and from the adoration with which she was treated by two or three she appeared an object of worship the queen mother gave the french the most affectionate reception france was her native country and she had suffered too much unhappiness in england for england to have made her forget france,from the respect paid her on all sides she seemed like a queen and from the adoration with which she was treated by two or three she appeared an object of worship the queen mother gave the french the most affectionate reception france was her native country and she had suffered too much unhappiness in england for england to have made her forget france,0.0,0.03011800842481495,152.4
 she taught her daughter then by her own affection for it that love for a country where they had both been hospitably received and where a brilliant future opened for them,she taught her daughter then by her own affection for it that love for a country where they had both been hospitably received and where a brilliant future opened before them,0.03225806451612903,0.04625794470606484,191.5
 the count had thrown himself back on his seat leaning his shoulders against the partition of the tent and remained thus his face buried in his hands with heaving chest and restless limbs,the count had thrown himself back on his seat leaning his shoulders against the partition of the tent and remained thus his face buried in his hands with heaving chest and restless limbs,0.0,0.045472564668278564,165.5
 this has indeed been a harassing day continued the young man his eyes fixed upon his friend,this has indeed been a harassing day continued the young man his eyes fixed upon his friend,0.0,0.09735788035596539,170.4
 you will be frank with me i always am ,you will be frank with me i always am,0.0,0.18315667660168033,151.6
 can you imagine why buckingham has been so violent i suspect,can you imagine why buckingham has been so violent i suspect,0.0,0.12781114289254852,161.9
 it is you who are mistaken ra i have read his distress in his eyes in his every gesture and action the whole day ,it is you who are mistaken raoul i have read his distress in his eyes in his every gesture and action the whole day,0.041666666666666664,0.08213343201102791,158.9
 i can perceive love clearly enough ,i can perceive love clearly enough,0.0,0.18575187569984297,170.4
 i am convinced of what i say said the count,i am convinced of what i say said the count,0.0,0.18527623446707808,162.2
 it is annoyance then ,it is annoyance then,0.0,0.3098521035971101,159.8
 in those very terms i even added more ,in those very terms i even added more,0.0,0.1986819870617925,164.4
 but continued raoul not interrupted by this movement of his friend heaven be praised the french who are pronounced to be thoughtless and indiscreet reckless even are capable of bringing a calm and sound judgment to bear on matters of such high importance,but continued raoul not interrupted by this movement of his friend heaven be praised the french who are pronounced to be thoughtless and indiscreet reckless even are capable of bringing a calm and sound judgment to bear on matters of such high importance,0.0,0.03875937144716675,153.2
 thus it is that the honor of three is saved our country our masters and our own,thus it is that the honor of three is saved our country s our master s and our own,0.15789473684210525,0.08652595143333125,172.1
 yes i need repose many things have agitated me today both in mind and body when you return to morrow i shall no longer be the same man,yes i need repose many things have agitated me to day both in mind and body when you return to morrow i shall no longer be the same man,0.06896551724137931,0.062082698210679584,162.5
 but in this friendly pressure raoul could detect the nervous agitation of a great internal conflict,but in this friendly pressure raoul could detect the nervous agitation of a great internal conflict,0.0,0.09192743084647438,171.3
 the night was clear starlit and splendid the tempest had passed away and the sweet influences of the evening had restored life peace and security everywhere,the night was clear starlit and splendid the tempest had passed away and the sweet influences of the evening had restored life peace and security everywhere,0.0,0.056689233277044726,158.3
 upon the large square in front of the hotel the shadows of the tents intersected by the golden moon beams formed as it were a huge mosaic of jet and yellow flagstones,upon the large square in front of the hotel the shadows of the tents intersected by the golden moonbeams formed as it were a huge mosaic of jet and yellow flagstones,0.06451612903225806,0.05203201127124861,163.4
