transcription,reference,wer,rtf,cpu
 hello ,hello ,0.0,0.0431377578664709,774.6
 can you hear me ,can you hear me ,0.0,0.02900399561003437,802.8
 i need your help right now ,i need your help right now ,0.0,0.02835729847783628,768.5
 turn off the kitchen lights ,turn off the kitchen lights ,0.0,0.02676231520516532,789.3
 she went to the store yesterday ,she went to the store yesterday ,0.0,0.032775302728017174,802.9
 what time is the meeting ,what time is the meeting ,0.0,0.026435785360269616,755.9
 he doesn t know the answer ,he doesn t know the answer ,0.0,0.029442184849789266,780.8
 please speak more clearly ,please speak more clearly ,0.0,0.03292503356933594,791.9
 i m on my way home ,i m on my way home ,0.0,0.02963516447279188,789.3
 that was an amazing performance ,that was an amazing performance ,0.0,0.029472696701152212,776.5
 where are my keys ,where are my keys ,0.0,0.03492345412572225,790.0
 do you remember his name ,do you remember his name ,0.0,0.028874358134483222,764.7
 i forgot to send the email ,i forgot to send the email ,0.0,0.03169255597250802,768.3
 let s meet after lunch ,let s meet after lunch ,0.0,0.02874207140794441,794.0
 this isn t what i expected ,this isn t what i expected ,0.0,0.024530647685692745,784.2
 call me when you get there ,call me when you get there ,0.0,0.027111785052573844,785.2
 don t open the window yet ,don t open the window yet ,0.0,0.030119306459201602,786.4
 why is the sky so red ,why is the sky so red ,0.0,0.02481181637134427,779.4
 i ll be there in five minutes ,i ll be there in five minutes ,0.0,0.03622839273500048,789.3
 who left the lights on ,who left the lights on ,0.0,0.02883028339695286,787.2
 that sounds like a great idea ,that sounds like a great idea ,0.0,0.035865218551070596,797.7
 i love this kind of music ,i love this kind of music ,0.0,0.035872062047322587,709.0
 she forgot her umbrella again ,she forgot her umbrella again ,0.0,0.025167478529434628,711.8
 please bring me a glass of water ,please bring me a glass of water ,0.0,0.029376187881866057,775.4
 the power went out last night ,the power went out last night ,0.0,0.030104292939040836,760.7
 are you sure about that ,are you sure about that ,0.0,0.0329715735984571,794.6
 don t forget to lock the door ,don t forget to lock the door ,0.0,0.029994832708480513,793.9
 i need to charge my phone ,i need to charge my phone ,0.0,0.027853625637667998,807.2
 let s take a break for now ,let s take a break for now ,0.0,0.033356167200043446,780.9
