transcription,reference,wer,rtf,cpu
 hello ,hello ,0.0,0.11206578325342248,132.3
 can you hear me ,can you hear me ,0.0,0.1337726285138468,120.8
 i need your help right now ,i need your help right now ,0.0,0.12834538584170135,121.5
 turn off the kitchen lights ,turn off the kitchen lights ,0.0,0.13421705790928432,191.7
 she went to the store yesterday ,she went to the store yesterday ,0.0,0.14663507541020712,122.3
 what time is the meeting ,what time is the meeting ,0.0,0.24473250329077662,112.9
 he doesn t know the answer ,he doesn t know the answer ,0.0,0.12679476487009148,127.7
 please speak more clearly ,please speak more clearly ,0.0,0.11612882614135742,120.6
 i m on my way home ,i m on my way home ,0.0,0.12705017019201206,119.6
 that was an amazing performance ,that was an amazing performance ,0.0,0.11136083794920236,117.6
 where are my keys ,where are my keys ,0.0,0.12021064758300781,124.9
 do you remember his name ,do you remember his name ,0.0,0.11877586592489213,119.5
 i forgot to send the email ,i forgot to send the email ,0.0,0.13817063399723598,119.0
 let s meet after lunch ,let s meet after lunch ,0.0,0.11953569170254379,121.8
 this isn t what i expected ,this isn t what i expected ,0.0,0.12345688897858625,181.0
 call me when you get there ,call me when you get there ,0.0,0.14315312855864223,222.6
 don t open the window yet ,don t open the window yet ,0.0,0.14724102545910933,117.7
 why is the sky so red ,why is the sky so red ,0.0,0.111238395466524,120.5
 i ll be there in five minutes ,i ll be there in five minutes ,0.0,0.16372420571067117,116.2
 who left the lights on ,who left the lights on ,0.0,0.10821746813284384,125.0
 that sounds like a great idea ,that sounds like a great idea ,0.0,0.12361853211014358,116.9
 i love this kind of music ,i love this kind of music ,0.0,0.1499228405229973,118.8
 she forgot her umbrella again ,she forgot her umbrella again ,0.0,0.08651504303489983,122.8
 please bring me a glass of water ,please bring me a glass of water ,0.0,0.1259044393316492,118.7
 the power went out last night ,the power went out last night ,0.0,0.12795775141937055,176.1
 are you sure about that ,are you sure about that ,0.0,0.11896834228978012,121.1
 don t forget to lock the door ,don t forget to lock the door ,0.0,0.12550666822609327,115.9
 i need to charge my phone ,i need to charge my phone ,0.0,0.11947688522872392,120.1
 let s take a break for now ,let s take a break for now ,0.0,0.1470027946111724,117.9
 where did you put my book ,where did you put my book ,0.0,0.13761435236249653,116.9
 he s never late for work ,he s never late for work ,0.0,0.12734400407048582,120.0
 we should probably get going ,we should probably get going ,0.0,0.13031210781128938,120.6
 this box is too heavy ,this box is too heavy ,0.0,0.11051580823701004,121.8
 can you help me move this ,can you help me move this ,0.0,0.14893774475370133,120.0
 i found your missing glove ,i found your missing glove ,0.0,0.14170462027528233,196.5
 keep the change thank you ,keep the change thank you ,0.0,0.13300948070757315,119.7
 i haven t eaten all day ,i haven t eaten all day ,0.0,0.15557971569376253,121.0
 let me explain what happened ,let me explain what happened ,0.0,0.12629107227475625,121.7
 you won t believe what i saw ,you won t believe what i saw ,0.0,0.13414177581341596,119.8
 the package has not yet arrived ,the package has not yet arrived ,0.0,0.09907745045317701,125.5
 please stay calm and focused ,please stay calm and focused ,0.0,0.09824304019703585,122.8
 i ll meet you outside the cafe ,i ll meet you outside the café ,0.14285714285714285,0.11693774899349936,119.2
 you need to restart your computer ,you need to restart your computer ,0.0,0.13500014129950075,184.0
 they arrived earlier than expected ,they arrived earlier than expected ,0.0,0.12396140532060103,122.3
 this coffee tastes really bitter ,this coffee tastes really bitter ,0.0,0.13462728705287966,122.9
 the dog barked all night long ,the dog barked all night long ,0.0,0.09086036004161384,114.8
 i accidentally deleted the file ,i accidentally deleted the file ,0.0,0.10562893710558927,137.9
 let s try something different today ,let s try something different today ,0.0,0.15617157961871173,118.3
 have you ever been to japan ,have you ever been to japan ,0.0,0.194399029600854,118.6
 this app keeps crashing on me ,this app keeps crashing on me ,0.0,0.10526560875306647,120.3
 don t be afraid to ask questions ,don t be afraid to ask questions ,0.0,0.11625289916992188,121.0
 what did he say to you ,what did he say to you ,0.0,0.14319275987559352,123.5
 my shoes are completely soaked ,my shoes are completely soaked ,0.0,0.12223949432373046,124.4
 he can run faster than me ,he can run faster than me ,0.0,0.14699580239467933,131.2
 i m not ready for that yet ,i m not ready for that yet ,0.0,0.16933801846626478,121.2
 do you want to come along ,do you want to come along ,0.0,0.14507083569542836,119.8
 that wasn t part of the plan ,that wasn t part of the plan ,0.0,0.146959001018155,123.5
 i need to cancel my appointment ,i need to cancel my appointment ,0.0,0.13535363333565847,120.3
