transcription,reference,wer,rtf,cpu
 månas yta utgörs av stenar och stoft månas yttre lager kallas skorpan ,månens yta utgörs av stenar och stoft månens yttre lager kallas skorpan,0.16666666666666666,5.895998618668981,682.3
 många tyska bakverk har också mandlar hasselnötter och andra nötter populära kakor passar ofta särskilt bra med en koppstark kaffe ,många tyska bakverk har också mandlar hasselnötter och andra nötter populära kakor passar ofta särskilt bra med en kopp starkt kaffe,0.09523809523809523,2.9404601020992085,778.3
 enligt guvernörstaben var 19 av de skadade poliser ,enligt guvernörsstaben var nitton av de skadade poliser,0.25,2.6390255073418367,769.5
 busar avgår från den distriktsgemensamma busstationen över floden hela dagen med de flesta särskilt de som är på väg mot öster och jackar och bomtang går mellan halv sju och halv åtta ,bussar avgår från den distriktsgemensamma busstationen över floden hela dagen men de flesta särskilt de som är på väg mot öster och jakar bumthang går mellan 6 30 och 7 30,0.2903225806451613,2.3472569228480102,777.7
 australiens mitchell goley slutade som elva i herarnas dagende super g den tjeckiska konkurrenten aldrich jelinek slutade som nummer 16 i herarnas super g ,australiens mitchell gourley slutade som elva i herrarnas stående super g den tjeckiska konkurrenten oldrich jelinek slutade som nummer sexton i herrarnas super g,0.25,2.233217275925796,777.9
 vandalisera inte platsen genom att måla eller skapa grafitipp och strukturer ,vandalisera inte platsen genom att måla eller skrapa graffiti på strukturer,0.2727272727272727,2.635259999169244,775.8
 de andra nomineringarna inkluderar bästa film recherchör filmkonst kostymdesign filmredigering originalmusik produktionsdesign ljudredigering ljudmixning originalmanus ,de andra nomineringarna inkluderar bästa film regissör filmkonst kostymdesign filmredigering originalmusik produktionsdesign ljudredigering ljudmixning och originalmanus,0.125,3.5095740414265566,776.1
 i norr besök också fantastiska sanctuary of our lady of fatima helgedon en plats världsberömd för uppenbarelser av maria ,i norr besök också fantastiska sanctuary of our lady of fatima helgedom en plats världsberömd för uppenbarelser av maria,0.05263157894736842,2.8293057065302656,773.1
 därför var blivet spännande en trogen följeslagare för många människor när den kom ut ,därför var blyertspennan en trogen följeslagare för många människor när den kom ut,0.15384615384615385,3.4236657743652663,777.6
 giancarlo fischella förlorade kontrollen över sin bil och avslutade loppet strax efter starten ,giancarlo fisichella förlorade kontrollen över sin bil och avslutade loppet strax efter starten,0.07692307692307693,3.295924454121976,769.8
 resenärer rekommenderar starkt att vara medvetna om risken för hårt värde som påverkar deras område eftersom det kan påverka resplanen ,resenärer rekommenderas starkt att vara medvetna om risken för hårt väder som påverkar deras område eftersom det kan påverka resplanerna,0.15,3.5482771823861006,776.9
 han sa att nedskärningarna skulle baseras på kinas ekonomiska styrka och gav inte några siffror för dem ,han sa att nedskärningarna skulle baseras på kinas ekonomiska styrka och gav inte några siffror för dem,0.0,3.302317501133324,771.6
 enligt guvernörstaben var 19 av de skadade poliser ,enligt guvernörsstaben var nitton av de skadade poliser,0.25,2.8278688589731855,774.1
 men med sin placering i höga tropikerna bara några få grader norr om ekvatum måste du hantera både hetta alltid och stark sol när himlen är klar mer sällan , men med sin placering i höga tropikerna bara några få grader norr om ekvatorn måste du hantera både hetta alltid och stark sol när himlen är klar mer sällan ,0.034482758620689655,2.3573581322666683,774.4
 den amerikanska ingenjörskåren bedömde att 6 tums regn skulle kunna få den tidigare skadade fördämningen att brista ,den amerikanska ingenjörskåren bedömde att 6 tums regn skulle kunna få de tidigare skadade fördämningarna att brista,0.11764705882352941,4.066527527904278,770.3
 detta sediment var nödvändigt för att skapa sandrevoständer som fungerade som naturliga miljöer för djurliv ,detta sediment var nödvändigt för att skapa sandrev och stränder som fungerade som naturliga miljöer för djurliv,0.17647058823529413,4.0894970297813416,770.9
 fusionsbomben grundar sig på principen att det krävs energi för att åstadkomma en kärna med många protoner och neutroner ,fissionsbomben grundar sig på principen att det krävs energi för att åstadkomma en kärna med många protoner och neutroner,0.05263157894736842,4.582480389196999,781.1
 blankorn släktas hos måning och mälden vid 23 35 på kvällen ,brandkåren släckte så småningom elden vid 23 35 på kvällen,0.6,4.74945863087972,772.2
 usa gymnastics och usoc har samma mål att göra gymnastiken och andra sporter så säkra som möjligt så att idrottare ska kunna följa sina drömmar i en trygg positiv och stärkande miljö ,usa gymnastics och usoc har samma mål att göra gymnastiken och andra sporter så säkra som möjligt så att idrottare ska kunna följa sina drömmar i en trygg positiv och stärkande miljö,0.0,2.6038826798363557,778.4
 alla deltar i samhället och använder transportsystem i princip alla klagar över transportsystem ,alla deltar i samhället och använder transportsystem i princip alla klagar över transportsystem,0.0,4.2869922287937765,777.5
 en bomb exploderade utanför generalgurnarens kontor ,en bomb exploderade utanför generalguvernörens kontor,0.16666666666666666,5.090972572042231,773.0
 även om al är starkt förknippad med science fiction är det en mycket viktig gren inom datavetenskapen som inbegriper maskiners beteende inlärning och intelligens ,även om ai är starkt förknippat med science fiction är det en mycket viktig gren inom datavetenskapen som inbegriper maskiners beteende inlärning och intelligens,0.08333333333333333,2.896665559757424,778.7
 hamnen var skådeplats för ökänd dödläge år 1889 när sju skepp från tyskland usa och storbritannien vägrade lämna hamnen ,hamnen var skådeplats för ett ökänt dödläge år 1889 när sju skepp från tyskland usa och storbritannien vägrade lämna hamnen,0.1,3.774988358737501,777.8
 den första av dessa 78 rekommendationer är att ett nytt diplomatiskt initiativ bör ta sina slutet av det här året för att säkra iraks gränser mot fientliga interventioner och att åter retablera diplomatiska relationer med dessa grannar ,den första av dess 78 rekommendationer är att ett nytt diplomatiskt initiativ bör tas innan slutet av det här året för att säkra iraks gränser mot fientliga interventioner och att återetablera diplomatiska relationer med dess grannar,0.16666666666666666,3.158991437341542,776.5
 populara sporter inkluderar fotboll basket volleyball vattenpolo fäktning rugby cykel ishockey rullskritskohockey och formel 1 ,populära sporter inkluderar fotboll basket volleyboll vattenpolo fäktning rugby cykel ishockey rullskridskohockey och formel 1,0.2,2.531198739688868,780.7
 med kundalini yoga växer kundalini energin upplysningsenergi genom yogaställningar andningsövningar mantran och visualiseringar ,med kundaliniyoga väcks kundalini energin upplysningsenergi genom yogaställningar andningsövningar mantran och visualiseringar,0.25,2.488071110115542,781.7
 professor pamela ferguson vid dundee s universitet konstaterar att journalister väljer ett farlig linje om de publicerar bilder etc av misstänkta , professor pamela ferguson vid dundees universitet konstaterar att journalister väljer en farlig linje om de publicerar bilder etc av misstänkta ,0.15,3.171410516456321,779.7
 flera stora tv skärmar installerades på olika platser i rum för att folket skulle kunna se sermonin ,flera stora tv skärmar installerades på olika platser i rom för att folket skulle kunna se ceremonin,0.11764705882352941,3.9513247822402815,778.2
 till exempel så är det vanligaste formatet för stillbilder i världen 35mm vilket var den dominerande filmstorleken vid slutet av den analoga filmens era ,till exempel så är det vanligaste formatet för stillbilder i världen 35 mm vilket var den dominerande filmstorleken vid slutet av den analoga filmens era,0.08,2.5531655118085337,778.7
 mot slutet av medeltiden började väst i europa utveckla sin egen stil en av tidens största utvecklingar till följd av korstågen var att folk började använda knappar för att fästa kläder ,mot slutet av medeltiden började västeuropa utveckla sin egen stil en av tidens största utvecklingar till följd av korstågen var att folk började använda knappar för att fästa kläder,0.10344827586206896,3.282743473585132,780.3
 det flesta byggnaderna vid komplexet utkantar byx om för att ge turister en bättre idé om hur det såg ut i original ,de flesta byggnaderna vid komplexets utkant har byggts om för att ge turister en bättre idé om hur de såg ut i original,0.2608695652173913,3.5439040478285366,778.4
 scenerna visas på pyramiderna och de olika pyramiderna blir upplysta ,scenerna visas på pyramiderna och de olika pyramiderna blir upplysta,0.0,2.7175111606203277,779.4
 ytöver onsdagens evenemang tävlade carpanedo i två individuella lopp vid mesterskapet ,utöver onsdagens evenemang tävlade carpanedo i två individuella lopp vid mästerskapet,0.18181818181818182,2.9670404997827573,778.3
 giza platon eller giza necropolis i den egyptiska dödansdal innehåller flera pyramider varav den stora pyramiden är den största flera mindre gravmonument flera tempel och den stora sphinxen , gizaplatån eller giza necropolis i den egyptiska dödens dal innehåller flera pyramider varav den stora pyramiden är den största flera mindre gravmonument flera tempel och den stora sfinxen ,0.17857142857142858,3.221657992478443,781.6
