transcription,reference,wer,rtf,cpu
 månas yta utgörs av stenar och stoft månas yttre lager kallas skorpan ,månens yta utgörs av stenar och stoft månens yttre lager kallas skorpan,0.16666666666666666,0.24536239604155224,116.8
 många tyska bakverk har också mandlar hasselnötter och andra nötter populära kakor passar ofta särskilt bra med en koppstark kaffe ,många tyska bakverk har också mandlar hasselnötter och andra nötter populära kakor passar ofta särskilt bra med en kopp starkt kaffe,0.09523809523809523,0.0927751426219194,107.1
 enligt guvernörstaben var 19 av de skadade poliser ,enligt guvernörsstaben var nitton av de skadade poliser,0.25,0.06938303150416573,113.2
 busar avgår från den distriktsgemensamma busstationen över floden hela dagen med de flesta särskilt de som är på väg mot öster och jackar och bomtang går mellan halv sju och halv åtta ,bussar avgår från den distriktsgemensamma busstationen över floden hela dagen men de flesta särskilt de som är på väg mot öster och jakar bumthang går mellan 6 30 och 7 30,0.2903225806451613,0.07649516302441794,105.8
 australiens mitchell goley slutade som elva i herarnas dagende super g den tjeckiska konkurrenten aldrich jelinek slutade som nummer 16 i herarnas super g ,australiens mitchell gourley slutade som elva i herrarnas stående super g den tjeckiska konkurrenten oldrich jelinek slutade som nummer sexton i herrarnas super g,0.25,0.07179995812928879,116.1
 vandalisera inte platsen genom att måla eller skapa grafitipp och strukturer ,vandalisera inte platsen genom att måla eller skrapa graffiti på strukturer,0.2727272727272727,0.0766464074452718,110.2
 de andra nomineringarna inkluderar bästa film recherchör filmkonst kostymdesign filmredigering originalmusik produktionsdesign ljudredigering ljudmixning originalmanus ,de andra nomineringarna inkluderar bästa film regissör filmkonst kostymdesign filmredigering originalmusik produktionsdesign ljudredigering ljudmixning och originalmanus,0.125,0.10842495369461347,105.2
 i norr besök också fantastiska sanctuary of our lady of fatima helgedon en plats världsberömd för uppenbarelser av maria ,i norr besök också fantastiska sanctuary of our lady of fatima helgedom en plats världsberömd för uppenbarelser av maria,0.05263157894736842,0.08929453876678821,106.8
 därför var blivet spännande en trogen följeslagare för många människor när den kom ut ,därför var blyertspennan en trogen följeslagare för många människor när den kom ut,0.15384615384615385,0.08847337837020557,120.7
 giancarlo fischella förlorade kontrollen över sin bil och avslutade loppet strax efter starten ,giancarlo fisichella förlorade kontrollen över sin bil och avslutade loppet strax efter starten,0.07692307692307693,0.08797503269470489,110.1
