transcription,reference,wer,rtf,cpu
 hello ,hello ,0.0,0.07536080148484971,498.4
 can you hear me ,can you hear me ,0.0,0.06238175189401221,537.1
 i need your help right now ,i need your help right now ,0.0,0.05853115648463153,514.4
 turn off the kitchen lights ,turn off the kitchen lights ,0.0,0.05990207195281983,507.3
 she went to the store yesterday ,she went to the store yesterday ,0.0,0.074824591477712,479.4
 what time is the meeting ,what time is the meeting ,0.0,0.06026154631501311,488.7
 he doesn t know the answer ,he doesn t know the answer ,0.0,0.06442374752876454,485.0
 please speak more clearly ,please speak more clearly ,0.0,0.06743535995483399,504.8
 i m on my way home ,i m on my way home ,0.0,0.05969798123395001,521.9
 that was an amazing performance ,that was an amazing performance ,0.0,0.05539319659239494,509.6
 where are my keys ,where are my keys ,0.0,0.06693214178085327,517.2
 do you remember his name ,do you remember his name ,0.0,0.060629666741214575,523.6
 i forgot to send the email ,i forgot to send the email ,0.0,0.06823156561170306,440.1
 let s meet after lunch ,let s meet after lunch ,0.0,0.07982342990476693,374.3
 this isn t what i expected ,this isn t what i expected ,0.0,0.06992929386642743,364.5
 call me when you get there ,call me when you get there ,0.0,0.0743633263731656,382.5
 don t open the window yet ,don t open the window yet ,0.0,0.08632029135396162,378.9
 why is the sky so red ,why is the sky so red ,0.0,0.0706107787836611,361.3
 i ll be there in five minutes ,i ll be there in five minutes ,0.0,0.09149421345103871,370.7
 who left the lights on ,who left the lights on ,0.0,0.07294303662068136,370.9
 that sounds like a great idea ,that sounds like a great idea ,0.0,0.08154127332899305,381.9
 i love this kind of music ,i love this kind of music ,0.0,0.08340008331067635,377.4
 she forgot her umbrella again ,she forgot her umbrella again ,0.0,0.06022879531263639,352.7
 please bring me a glass of water ,please bring me a glass of water ,0.0,0.07185440558891791,361.8
 the power went out last night ,the power went out last night ,0.0,0.07365468322046545,368.9
 are you sure about that ,are you sure about that ,0.0,0.0810393781372995,374.3
 don t forget to lock the door ,don t forget to lock the door ,0.0,0.0792698657259028,376.0
 i need to charge my phone ,i need to charge my phone ,0.0,0.07634296283855305,339.2
 let s take a break for now ,let s take a break for now ,0.0,0.08460827699796421,382.0
 where did you put my book ,where did you put my book ,0.0,0.07877622331891741,385.7
 he s never late for work ,he s never late for work ,0.0,0.08302062522364026,358.9
 we should probably get going ,we should probably get going ,0.0,0.08984479037198154,377.5
 this box is too heavy ,this box is too heavy ,0.0,0.07663661035998115,382.8
 can you help me move this ,can you help me move this ,0.0,0.09781909840447561,365.5
 i found your missing glove ,i found your missing glove ,0.0,0.08069563629035663,387.0
 keep the change thank you ,keep the change thank you ,0.0,0.08427491693785696,382.4
 i haven t eaten all day ,i haven t eaten all day ,0.0,0.0995517870701781,392.2
 let me explain what happened ,let me explain what happened ,0.0,0.08478211605642724,385.8
 you won t believe what i saw ,you won t believe what i saw ,0.0,0.08154837754521056,371.8
 the package has not yet arrived ,the package has not yet arrived ,0.0,0.06478559336013343,379.4
