transcription,reference,wer,rtf,cpu
 hello ,hello ,0.0,0.06534810419435853,589.3
 can you hear me ,can you hear me ,0.0,0.058739767299862355,570.7
 i need your help right now ,i need your help right now ,0.0,0.05748764328334643,530.4
 turn off the kitchen lights ,turn off the kitchen lights ,0.0,0.053695866039821086,559.7
 she went to the store yesterday ,she went to the store yesterday ,0.0,0.06551990906397502,528.7
 what time is the meeting ,what time is the meeting ,0.0,0.051946156508439076,553.2
 he doesn t know the answer ,he doesn t know the answer ,0.0,0.06994340652810004,441.4
 please speak more clearly ,please speak more clearly ,0.0,0.05979719161987305,562.7
 i m on my way home ,i m on my way home ,0.0,0.05822729181360315,541.6
 that was an amazing performance ,that was an amazing performance ,0.0,0.05349160840847348,509.0
 where are my keys ,where are my keys ,0.0,0.06282538175582886,558.2
 do you remember his name ,do you remember his name ,0.0,0.05737240634747405,521.0
 i forgot to send the email ,i forgot to send the email ,0.0,0.06833834307534355,460.4
 let s meet after lunch ,let s meet after lunch ,0.0,0.0564428407754471,562.6
 this isn t what i expected ,this isn t what i expected ,0.0,0.049680134035506335,526.0
 call me when you get there ,call me when you get there ,0.0,0.053848224143459376,541.3
 don t open the window yet ,don t open the window yet ,0.0,0.06182644310898668,529.1
 why is the sky so red ,why is the sky so red ,0.0,0.0510361459520128,532.1
 i ll be there in five minutes ,i ll be there in five minutes ,0.0,0.0928540860325837,369.7
 who left the lights on ,who left the lights on ,0.0,0.051250006701495196,541.2
 that sounds like a great idea ,that sounds like a great idea ,0.0,0.05778886653758861,507.0
 i love this kind of music ,i love this kind of music ,0.0,0.06015896797180176,523.3
 she forgot her umbrella again ,she forgot her umbrella again ,0.0,0.04266893397496399,557.1
 please bring me a glass of water ,please bring me a glass of water ,0.0,0.05500943629772632,502.3
 the power went out last night ,the power went out last night ,0.0,0.05180630462848587,505.5
 are you sure about that ,are you sure about that ,0.0,0.05696045629905932,552.8
 don t forget to lock the door ,don t forget to lock the door ,0.0,0.05681480921752064,518.7
 i need to charge my phone ,i need to charge my phone ,0.0,0.053510132369461595,549.5
 let s take a break for now ,let s take a break for now ,0.0,0.062308161277470624,512.5
 where did you put my book ,where did you put my book ,0.0,0.05680348191942488,535.2
 he s never late for work ,he s never late for work ,0.0,0.059524383253723605,520.0
 we should probably get going ,we should probably get going ,0.0,0.060592998157848015,559.9
 this box is too heavy ,this box is too heavy ,0.0,0.05280305599344188,549.2
 can you help me move this ,can you help me move this ,0.0,0.06869563034602573,533.6
 i found your missing glove ,i found your missing glove ,0.0,0.05650789217841356,559.7
 keep the change thank you ,keep the change thank you ,0.0,0.06293365449616403,500.2
 i haven t eaten all day ,i haven t eaten all day ,0.0,0.07256892842983981,531.6
 let me explain what happened ,let me explain what happened ,0.0,0.05804319081344004,570.5
