transcription,reference,wer,rtf,cpu
 mona s utger is of stenor and stuff mona s yttrylager is called scorpan ,månens yta utgörs av stenar och stoft månens yttre lager kallas skorpan,1.1666666666666667,0.08932720455858442,200.3
 many tyska bakwerk have also mandlar hasselnutters and other nutter popular cackers are often especially good with a cup stark coffee ,många tyska bakverk har också mandlar hasselnötter och andra nötter populära kakor passar ofta särskilt bra med en kopp starkt kaffe,0.9047619047619048,0.023980170534996546,320.0
 enlid gubernars taben were nineteen of the scadded police ,enligt guvernörsstaben var nitton av de skadade poliser,1.125,0.046705479783136494,238.0
 buses are from the district s gemenzammance oustation over flooden with the most especially those who are on the uster and jackar bumtang go between half s seven and half eight ,bussar avgår från den distriktsgemensamma busstationen över floden hela dagen men de flesta särskilt de som är på väg mot öster och jakar bumthang går mellan 6 30 och 7 30,1.0,0.03735252158351676,165.8
 australia s mitchell golly slutted as 11 in herrann s day in the super g the czechoska concurrent aldrich jellinek slutted as number 16 in herrarnas super g ,australiens mitchell gourley slutade som elva i herrarnas stående super g den tjeckiska konkurrenten oldrich jelinek slutade som nummer sexton i herrarnas super g,0.9166666666666666,0.022417785477464213,282.3
 vandaliser not the platsen by to mola or scapa graffiti on structures ,vandalisera inte platsen genom att måla eller skrapa graffiti på strukturer,0.9090909090909091,0.056961112552218966,193.2
 the other nominations include best film regiscerer filmcons costim design film rediceration original music production design ludrederigering yud mixing original manus ,de andra nomineringarna inkluderar bästa film regissör filmkonst kostymdesign filmredigering originalmusik produktionsdesign ljudredigering ljudmixning och originalmanus,1.25,0.04458697337024616,181.7
 in nor also fantastical sanctuary of our lady of fatima helgedom a place world s berumed for upenbarrels of maria ,i norr besök också fantastiska sanctuary of our lady of fatima helgedom en plats världsberömd för uppenbarelser av maria,0.6842105263157895,0.042191370209651205,200.5
 therefore what will be a strugan a fulgeslager for many people when it came out ,därför var blyertspennan en trogen följeslagare för många människor när den kom ut,1.1538461538461537,0.03932639956474304,324.7
 giancarlo fichella forlora fisiella forlora the control over his car and off slutated the loppet straight after start ,giancarlo fisichella förlorade kontrollen över sin bil och avslutade loppet strax efter starten,1.2307692307692308,0.052847357483597486,226.0
 resenaires recommended to be aware of the risk for hort waird that can be affected their areas it can also it can t it can t it can t even if you know you know you know you know you know you,resenärer rekommenderas starkt att vara medvetna om risken för hårt väder som påverkar deras område eftersom det kan påverka resplanerna,2.1,0.07092835586195047,165.8
 he said that netschairning would be based on china s economic styrka and gave not many siffro for them ,han sa att nedskärningarna skulle baseras på kinas ekonomiska styrka och gav inte några siffror för dem,1.0588235294117647,0.06398578994294517,172.0
 according gubernator s taben were 19 of the scadded police ,enligt guvernörsstaben var nitton av de skadade poliser,1.25,0.05883439151561203,201.3
 but with its placering in the high tropics just a few grader nor o equatum must you handle both hetta always and stark solar when the i m clear you re clear you re clear you re clear you re, men med sin placering i höga tropikerna bara några få grader norr om ekvatorn måste du hantera både hetta alltid och stark sol när himlen är klar mer sällan ,1.2413793103448276,0.04440728905841691,161.1
