transcription,reference,wer,rtf,cpu
 concorde returned to its place amidst the tents ,concord returned to its place amidst the tents,0.125,0.7544950139675604,623.1
 the english forwarded to the french baskets of flowers of which they had made a plentiful provision to greet the arrival of the young princess the french in return invited the english to a supper which was to be given the next day ,the english forwarded to the french baskets of flowers of which they had made a plentiful provision to greet the arrival of the young princess the french in return invited the english to a supper which was to be given the next day,0.0,0.3632309315284233,777.3
 congratulations we re poured in upon the princess everywhere during her journey ,congratulations were poured in upon the princess everywhere during her journey,0.18181818181818182,0.439140310334922,774.5
 from the respect paid her on all sides she seemed like a queen and from the adoration with which she was treated by two or three she appeared an object of worship the queen mother gave the french the most affectionate reception france was her native country and she had suffered too much unhappiness in england for england to have made her forget france ,from the respect paid her on all sides she seemed like a queen and from the adoration with which she was treated by two or three she appeared an object of worship the queen mother gave the french the most affectionate reception france was her native country and she had suffered too much unhappiness in england for england to have made her forget france,0.0,0.2883224969970651,779.1
 she taught her daughter then by her own affection for it that love for a country where they had both been hospitably received and where a brilliant future opened for them ,she taught her daughter then by her own affection for it that love for a country where they had both been hospitably received and where a brilliant future opened before them,0.03225806451612903,0.3540818851779502,777.2
 the count had thrown himself back on his seat leaning his shoulders against the partition of the tent and remained thus his face buried in his hands with heaving chest and restless limbs ,the count had thrown himself back on his seat leaning his shoulders against the partition of the tent and remained thus his face buried in his hands with heaving chest and restless limbs,0.0,0.3173631556490634,775.9
 this has indeed been a harassing day continued the young man his eyes fixed upon his friend ,this has indeed been a harassing day continued the young man his eyes fixed upon his friend,0.0,0.4638796586256761,775.4
 you will be frank with me i always am ,you will be frank with me i always am,0.0,0.5741303502884026,774.0
 can you imagine why buckingham has been so violent i suspect ,can you imagine why buckingham has been so violent i suspect,0.0,0.4690388527036087,776.0
 it is you who are mistaken rao i have read his distress in his eyes in his every gesture and action the whole day ,it is you who are mistaken raoul i have read his distress in his eyes in his every gesture and action the whole day,0.041666666666666664,0.4285219933960464,781.7
 i can perceive love clearly enough ,i can perceive love clearly enough,0.0,0.527841530286107,776.6
 i am convinced of what i say said the count ,i am convinced of what i say said the count,0.0,0.6325161326472561,773.3
 it is annoyance then ,it is annoyance then,0.0,0.8342604047244357,775.2
 in those very terms i even added more ,in those very terms i even added more,0.0,0.6394414674668085,774.4
 but continued row not interrupted by this movement of his friend heaven be praised the french who are pronounced to be thoughtless and indiscreet reckless even are capable of bringing a calm and sound judgment to bear on matters of such high importance ,but continued raoul not interrupted by this movement of his friend heaven be praised the french who are pronounced to be thoughtless and indiscreet reckless even are capable of bringing a calm and sound judgment to bear on matters of such high importance,0.023255813953488372,0.30802350995659544,771.8
 thus it is that the honor of three is saved our country our masters and our own ,thus it is that the honor of three is saved our country s our master s and our own,0.15789473684210525,0.4792512771104197,768.3
 yes i need repose many things have agitated me today both in mind and body when you return tomorrow i shall no longer be the same man ,yes i need repose many things have agitated me to day both in mind and body when you return to morrow i shall no longer be the same man,0.13793103448275862,0.39858503813036544,770.0
