transcription,reference,wer,rtf,cpu
 concord returned to its place amidst the tents ,concord returned to its place amidst the tents,0.0,0.1340257288215844,174.7
 the english forwarded to the french baskets of flowers of which they had made a plentiful provision to greet the arrival of the young princess the french in return invited the english to a supper which was to be given the next day ,the english forwarded to the french baskets of flowers of which they had made a plentiful provision to greet the arrival of the young princess the french in return invited the english to a supper which was to be given the next day,0.0,0.08968576186570636,105.8
 congratulations were poured in upon the princess everywhere during her journey ,congratulations were poured in upon the princess everywhere during her journey,0.0,0.09014409572923954,114.9
 from the respect paid her on all sides she seemed like a queen and from the adoration with which she was treated by two or three she appeared an object of worship the queen mother gave the french the most affectionate reception france was her native country and she had suffered too much unhappiness in england for england to have made her forget france ,from the respect paid her on all sides she seemed like a queen and from the adoration with which she was treated by two or three she appeared an object of worship the queen mother gave the french the most affectionate reception france was her native country and she had suffered too much unhappiness in england for england to have made her forget france,0.0,0.08068125620692067,104.2
 she taught her daughter then by her own affection for it that love for a country where they had both been hospitably received and where a brilliant future opened for them ,she taught her daughter then by her own affection for it that love for a country where they had both been hospitably received and where a brilliant future opened before them,0.03225806451612903,0.0943770626256006,109.2
 the count had thrown himself back on his seat leaning his shoulders against the partition of the tent and remained thus his face buried in his hands with heaving chest and restless limbs ,the count had thrown himself back on his seat leaning his shoulders against the partition of the tent and remained thus his face buried in his hands with heaving chest and restless limbs,0.0,0.0773129492182862,109.1
 this has indeed been a harassing day continued the young man his eyes fixed upon his friend ,this has indeed been a harassing day continued the young man his eyes fixed upon his friend,0.0,0.11787805801782854,111.7
 you will be frank with me i always am,you will be frank with me i always am,0.0,0.1385818239790282,117.6
 can you imagine why buckingham has been so violent i suspect ,can you imagine why buckingham has been so violent i suspect,0.0,0.10140956133261494,115.4
 it is you who are mistaken rao i have read his distress in his eyes in his every gesture and action the whole day ,it is you who are mistaken raoul i have read his distress in his eyes in his every gesture and action the whole day,0.041666666666666664,0.11391433385702279,108.6
 i can perceive love clearly enough ,i can perceive love clearly enough,0.0,0.11615525360358801,122.0
 i am convinced of what i say said the count ,i am convinced of what i say said the count,0.0,0.14401377646576072,117.4
 it is annoyance then ,it is annoyance then,0.0,0.16784999788421945,122.9
 in those very terms i even added more ,in those very terms i even added more,0.0,0.15057519990570692,176.3
 but continued rao not interrupted by this movement of his friend heaven be praised the french who are pronounced to be thoughtless and indiscreet reckless even are capable of bringing a calm and sound judgment to bear on matters of such high importance ,but continued raoul not interrupted by this movement of his friend heaven be praised the french who are pronounced to be thoughtless and indiscreet reckless even are capable of bringing a calm and sound judgment to bear on matters of such high importance,0.023255813953488372,0.08230465608084853,105.4
 thus it is that the honor of three is saved our country our masters and our own ,thus it is that the honor of three is saved our country s our master s and our own,0.15789473684210525,0.10232660090288025,110.3
 yes i need repose many things have agitated me today both in mind and body when you return tomorrow i shall no longer be the same man ,yes i need repose many things have agitated me to day both in mind and body when you return to morrow i shall no longer be the same man,0.13793103448275862,0.09271311748045656,107.7
 but in this friendly pressure rao could detect the nervous agitation of a great internal conflict ,but in this friendly pressure raoul could detect the nervous agitation of a great internal conflict,0.0625,0.09958573750087193,117.4
 the night was clear starlit and splendid the tempest had passed away and the sweet influences of the evening had restored life peace and security everywhere ,the night was clear starlit and splendid the tempest had passed away and the sweet influences of the evening had restored life peace and security everywhere,0.0,0.08337636660029775,108.8
 upon the large square in front of the hotel the shadows of the tents intersected by the golden moonbeams formed as it were a huge mosaic of jet and yellow flagstones ,upon the large square in front of the hotel the shadows of the tents intersected by the golden moonbeams formed as it were a huge mosaic of jet and yellow flagstones,0.0,0.09244831942708878,106.8
 braggalon watched for some time the conduct of the two lovers listen to the loud and uncivil slumbers of manakemp who snored as imperiously as though he was wearing his blue and gold instead of his violet suit ,bragelonne watched for some time the conduct of the two lovers listened to the loud and uncivil slumbers of manicamp who snored as imperiously as though he was wearing his blue and gold instead of his violet suit,0.07894736842105263,0.09099743432468838,105.3
 goliath makes another discovery ,goliath makes another discovery,0.0,0.13209421772602176,177.8
 there were certainly no near the solution of their problem ,they were certainly no nearer the solution of their problem,0.2,0.14214418828487396,116.6
 the poor little things cried cynthia think of them having been turned to the wall all these years ,the poor little things cried cynthia think of them having been turned to the wall all these years,0.0,0.14732209898585039,163.6
 now what is the sense of it two innocent babies like that ,now what was the sense of it two innocent babies like that,0.08333333333333333,0.14896878815824208,113.1
 but joyce had not been listening all at once she put down her candle on the table and faced her companion ,but joyce had not been listening all at once she put down her candle on the table and faced her companion,0.0,0.12276730886319788,127.2
 the twin brother did something she didn t like and she turned his picture to the wall ,the twin brother did something she didn t like and she turned his picture to the wall,0.0,0.12021775042051829,120.6
 hers happened to be on the same frame too but she evidently didn t care about it ,hers happened to be in the same frame too but she evidently didn t care about that,0.11764705882352941,0.15136411561976645,111.3
 now what have you to say cynthia sprague ,now what have you to say cynthia sprague,0.0,0.17182395813312937,115.6
 i thought we were stumped again when i first saw that picture but it s been of some use after all ,i thought we were stumped again when i first saw that picture but it s been of some use after all,0.0,0.1408074378047638,108.2
 do you suppose the miniature was a copy of the same thing ,do you suppose the miniature was a copy of the same thing,0.0,0.14182376441451422,116.0
 what in the world is it query choice ,what in the world is that queried joyce,0.375,0.16395053012663546,115.7
 they worry me terribly and besides i d like to see what this lovely furniture looks like without such quantities of dust all over it good scheme sin ,they worry me terribly and besides i d like to see what this lovely furniture looks like without such quantities of dust all over it good scheme cyn,0.03571428571428571,0.09790963424748672,108.3
 we ll come in here this afternoon with old clothes on and have a regular house cleaning ,we ll come in here this afternoon with old clothes on and have a regular house cleaning,0.0,0.12741708601839943,111.3
 it can t hurt anything i m sure for we won t disturb things at all ,it can t hurt anything i m sure for we won t disturb things at all,0.0,0.1511075909267873,110.7
 this thought however did not enter the heads of the enthusiastic pair ,this thought however did not enter the heads of the enthusiastic pair,0.0,0.11762991800146588,113.5
