transcription,reference,wer,rtf,cpu
 concord returned to its place amidst the tents ,concord returned to its place amidst the tents,0.0,0.056327528688264815,451.5
 the english forwarded to the french baskets of flowers of which they had made a plentiful provision to greet the arrival of the young princess the french in return invited the english to a supper which was to be given the next day ,the english forwarded to the french baskets of flowers of which they had made a plentiful provision to greet the arrival of the young princess the french in return invited the english to a supper which was to be given the next day,0.0,0.03373352211682365,244.0
 congratulations were poured in upon the princess everywhere during her journey ,congratulations were poured in upon the princess everywhere during her journey,0.0,0.03993579997352106,444.0
 from the respect paid her on all sides she seemed like a queen and from the adoration with which she was treated by two or three she appeared an object of worship the queen mother gave the french the most affectionate reception france was her native country and she had suffered too much unhappiness in england for england to have made her forget france ,from the respect paid her on all sides she seemed like a queen and from the adoration with which she was treated by two or three she appeared an object of worship the queen mother gave the french the most affectionate reception france was her native country and she had suffered too much unhappiness in england for england to have made her forget france,0.0,0.03055087389568645,195.2
 she taught her daughter then by her own affection for it that love for a country where they had both been hospitably received and where a brilliant future opened for them ,she taught her daughter then by her own affection for it that love for a country where they had both been hospitably received and where a brilliant future opened before them,0.03225806451612903,0.030655199405137522,303.8
 the count had thrown himself back on his seat leaning his shoulders against the partition of the tent and remained thus his face buried in his hands with heaving chest and restless limbs ,the count had thrown himself back on his seat leaning his shoulders against the partition of the tent and remained thus his face buried in his hands with heaving chest and restless limbs,0.0,0.02875626993034386,280.2
 this has indeed been a harassing day continued the young man his eyes fixed upon his friend ,this has indeed been a harassing day continued the young man his eyes fixed upon his friend,0.0,0.04522743388118907,355.5
 you will be frank with me i always am,you will be frank with me i always am,0.0,0.05908041158592719,439.6
 can you imagine why buckingham has been so violent i suspect ,can you imagine why buckingham has been so violent i suspect,0.0,0.05001702901587093,384.7
 it is you who are mistaken rao i have read his distress in his eyes in his every gesture and action the whole day ,it is you who are mistaken raoul i have read his distress in his eyes in his every gesture and action the whole day,0.041666666666666664,0.04358475024883564,302.8
 i can perceive love clearly enough ,i can perceive love clearly enough,0.0,0.07045233662085242,407.3
 i am convinced of what i say said the count ,i am convinced of what i say said the count,0.0,0.06522080148329758,418.4
 it is annoyance then ,it is annoyance then,0.0,0.09440417142258477,486.6
 in those very terms i even added more ,in those very terms i even added more,0.0,0.06484563658837558,446.4
 but continued rao not interrupted by this movement of his friend heaven be praised the french who are pronounced to be thoughtless and indiscreet reckless even are capable of bringing a calm and sound judgment to bear on matters of such high importance ,but continued raoul not interrupted by this movement of his friend heaven be praised the french who are pronounced to be thoughtless and indiscreet reckless even are capable of bringing a calm and sound judgment to bear on matters of such high importance,0.023255813953488372,0.029918331997977866,216.4
 thus it is that the honor of three is saved our country our masters and our own ,thus it is that the honor of three is saved our country s our master s and our own,0.15789473684210525,0.03973069983216289,371.1
 yes i need repose many things have agitated me today both in mind and body when you return tomorrow i shall no longer be the same man ,yes i need repose many things have agitated me to day both in mind and body when you return to morrow i shall no longer be the same man,0.13793103448275862,0.035235123579584235,294.9
 but in this friendly pressure rao could detect the nervous agitation of a great internal conflict ,but in this friendly pressure raoul could detect the nervous agitation of a great internal conflict,0.0625,0.04379280975886753,348.8
 the night was clear starlit and splendid the tempest had passed away and the sweet influences of the evening had restored life peace and security everywhere ,the night was clear starlit and splendid the tempest had passed away and the sweet influences of the evening had restored life peace and security everywhere,0.0,0.028744965764133053,318.8
 upon the large square in front of the hotel the shadows of the tents intersected by the golden moonbeams formed as it were a huge mosaic of jet and yellow flagstones ,upon the large square in front of the hotel the shadows of the tents intersected by the golden moonbeams formed as it were a huge mosaic of jet and yellow flagstones,0.0,0.031014169932567233,282.6
 braggalon watched for some time the conduct of the two lovers listen to the loud and uncivil slumbers of manakemp who snored as imperiously as though he was wearing his blue and gold instead of his violet suit ,bragelonne watched for some time the conduct of the two lovers listened to the loud and uncivil slumbers of manicamp who snored as imperiously as though he was wearing his blue and gold instead of his violet suit,0.07894736842105263,0.03685454527537028,231.9
 goliath makes another discovery ,goliath makes another discovery,0.0,0.06264915151044358,464.9
 there were certainly no near the solution of their problem ,they were certainly no nearer the solution of their problem,0.2,0.059101954102516174,460.4
 the poor little things cried cynthia think of them having been turned to the wall all these years ,the poor little things cried cynthia think of them having been turned to the wall all these years,0.0,0.05540148817377983,315.1
 now what is the sense of it two innocent babies like that ,now what was the sense of it two innocent babies like that,0.08333333333333333,0.06635734918726777,396.6
 but joyce had not been listening all at once she put down her candle on the table and faced her companion ,but joyce had not been listening all at once she put down her candle on the table and faced her companion,0.0,0.045581794366603944,342.8
 the twin brother did something she didn t like and she turned his picture to the wall ,the twin brother did something she didn t like and she turned his picture to the wall,0.0,0.0445425096074306,397.2
 hers happened to be on the same frame too but she evidently didn t care about it ,hers happened to be in the same frame too but she evidently didn t care about that,0.11764705882352941,0.05441702041026585,384.0
 now what have you to say cynthia sprague ,now what have you to say cynthia sprague,0.0,0.07067445322131434,446.9
 i thought we were stumped again when i first saw that picture but it s been of some use after all ,i thought we were stumped again when i first saw that picture but it s been of some use after all,0.0,0.050039070666468594,358.7
 do you suppose the miniature was a copy of the same thing ,do you suppose the miniature was a copy of the same thing,0.0,0.05889057938047793,444.3
 what in the world is it query choice ,what in the world is that queried joyce,0.375,0.07130062713055806,454.1
 they worry me terribly and besides i d like to see what this lovely furniture looks like without such quantities of dust all over it good scheme sin ,they worry me terribly and besides i d like to see what this lovely furniture looks like without such quantities of dust all over it good scheme cyn,0.03571428571428571,0.03678672241442131,297.3
 we ll come in here this afternoon with old clothes on and have a regular house cleaning ,we ll come in here this afternoon with old clothes on and have a regular house cleaning,0.0,0.054536290890932336,366.6
 it can t hurt anything i m sure for we won t disturb things at all ,it can t hurt anything i m sure for we won t disturb things at all,0.0,0.05726055539581973,369.4
 this thought however did not enter the heads of the enthusiastic pair ,this thought however did not enter the heads of the enthusiastic pair,0.0,0.04496680477918205,424.4
 smuggling the housecleaning paraphernalia into the cellar window unobserved that afternoon proved no easy task for cynthia had added a whisk broom and dustpan to the outfit ,smuggling the house cleaning paraphernalia into the cellar window unobserved that afternoon proved no easy task for cynthia had added a whisk broom and dust pan to the outfit,0.13793103448275862,0.025667696410443985,317.4
 the lure proved too much for him and he came sporting after it as friskily as a young kitten much to cynthia s delight when she caught sight of him ,the lure proved too much for him and he came sporting after it as friskily as a young kitten much to cynthia s delight when she caught sight of him,0.0,0.036550746671147216,300.3
 oh let him come along she urged i do love to see him about that old house ,oh let him come along she urged i do love to see him about that old house,0.0,0.049412757323541834,351.9
 he makes it sort of cozier ,he makes it sort of cozier,0.0,0.09145201923691224,444.9
 now let s dust the furniture and pictures ,now let s dust the furniture and pictures,0.0,0.07569257495472731,451.9
 yet little as it was it had already made a vast difference in the aspect of the room ,yet little as it was it had already made a vast difference in the aspect of the room,0.0,0.038262312127216785,385.2
 surface dust at least had been removed and the fine old furniture gave a hint of its real elegance and polish ,surface dust at least had been removed and the fine old furniture gave a hint of its real elegance and polish,0.0,0.03619074092115535,360.9
 then she suddenly remarked ,then she suddenly remarked,0.0,0.09572185123816014,485.6
 and my pocket money is getting low again and you have it any left as usual ,and my pocket money is getting low again and you haven t any left as usual,0.125,0.04836760845380961,388.2
 they say illumination by candlelight is the prettiest in the world ,they say illumination by candle light is the prettiest in the world,0.16666666666666666,0.05608081817626953,405.4
 why it s goliath as usual they both cried peering in,why it s goliath as usual they both cried peering in,0.0,0.05039948861575821,429.0
 isn t he the greatest for getting into odd corners ,isn t he the greatest for getting into odd corners,0.0,0.061632246020547385,458.0
 forgetting all their weariness they seize their candles and scurry through the house finding on occasional paper tucked away in some odd corner ,forgetting all their weariness they seized their candles and scurried through the house finding an occasional paper tucked away in some odd corner,0.13043478260869565,0.03326135217927243,345.6
 well i m convinced that the boarded up house mystery happened not earlier than april 16th 1861 and probably not much later ,well i m convinced that the boarded up house mystery happened not earlier than april sixteenth eighteen sixty one and probably not much later,0.16666666666666666,0.02932425390315961,331.8
 no words were spoken no language was uttered save that of wailing and hissing and that somehow was indistinct as if it existed in fancy and not in reality ,no words were spoken no language was uttered save that of wailing and hissing and that somehow was indistinct as if it existed in fancy and not in reality,0.0,0.02633660927721122,294.7
 i heard a noise behind i turned and saw caffer his black eyes shining while in his hand he held a gleaming knife he lifted it above his head as if to strike but it had the strength of ten men and i hurled him from me ,i heard a noise behind i turned and saw kaffar his black eyes shining while in his hand he held a gleaming knife he lifted it above his head as if to strike but i had the strength of ten men and i hurled him from me,0.0425531914893617,0.03459826516600585,215.0
 onward said a distant voice ,onward said a distant voice,0.0,0.05559762559391546,479.6
 no sound broke the stillness of the night ,no sound broke the stillness of the night,0.0,0.059033525550853866,458.1
 the story of its evil influence came back to me and in my bewildered condition i wondered whether there was not some truth in what had been said ,the story of its evil influence came back to me and in my bewildered condition i wondered whether there was not some truth in what had been said,0.0,0.03349209929111113,306.3
 what was that ,what was that,0.0,0.08769915452016615,522.0
 what then a human hand large and shapely appeared distinctly on the surface of the pond ,what then a human hand large and shapely appeared distinctly on the surface of the pond,0.0,0.037302164470448214,374.8
 nothing more not even the wrist to which it might be attached ,nothing more not even the wrist to which it might be attached,0.0,0.04601489500764582,438.5
 it did not beckon or indeed move at all it was as still as the hand of death ,it did not beckon or indeed move at all it was as still as the hand of death,0.0,0.04234018648684665,370.8
 i awoke to consciousness fighting at first it seemed as if i was fighting with a phantom but gradually my opponent became more real to me it was caffer ,i awoke to consciousness fighting at first it seemed as if i was fighting with a phantom but gradually my opponent became more real to me it was kaffar,0.034482758620689655,0.026442059069636262,321.2
 a sound of voices a flash of light ,a sound of voices a flash of light,0.0,0.048823773161528784,470.4
