transcription,reference,wer,rtf,cpu
hello ,hello ,0.0,8.224034750903094,421.6
can you hear me ,can you hear me ,0.0,3.3079516230605717,787.5
i need your help right now ,i need your help right now ,0.0,3.181268857873005,787.9
turn off the kitchen lights ,turn off the kitchen lights ,0.0,3.339307137898037,786.1
she went to the store yesterday ,she went to the store yesterday ,0.0,3.9362930258115134,784.8
what time is the meeting ,what time is the meeting ,0.0,3.111329362108991,788.9
he doesn t know the answer ,he doesn t know the answer ,0.0,3.7086173107749536,779.3
please speak more clearly ,please speak more clearly ,0.0,3.5569712638854982,789.0
i m on my way home ,i m on my way home ,0.0,3.3992440612227828,776.9
that was an amazing performance ,that was an amazing performance ,0.0,3.1845070371691815,785.1
where are my keys ,where are my keys ,0.0,3.788920044898987,788.1
do you remember his name ,do you remember his name ,0.0,3.3875578375005007,786.9
i forgot to send the email ,i forgot to send the email ,0.0,3.427785294396537,784.6
let s meet after lunch ,let s meet after lunch ,0.0,3.3695679102370986,780.3
this isn t what i expected ,this isn t what i expected ,0.0,2.7403503843823316,789.9
call me when you get there ,call me when you get there ,0.0,3.122150979629935,788.7
don t open the window yet ,don t open the window yet ,0.0,3.7006137877937375,787.5
why is the sky so red ,why is the sky so red ,0.0,2.9342176088320664,790.0
i ll be there in five minutes ,i ll be there in five minutes ,0.0,3.9014889189034454,788.4
who left the lights on ,who left the lights on ,0.0,3.1795996266442375,781.4
that sounds like a great idea ,that sounds like a great idea ,0.0,3.288842925318965,787.4
i love this kind of music ,i love this kind of music ,0.0,3.442720481843659,787.2
she forgot her umbrella again ,she forgot her umbrella again ,0.0,2.534133029383654,786.6
please bring me a glass of water ,please bring me a glass of water ,0.0,2.9003918945015252,790.2
the power went out last night ,the power went out last night ,0.0,3.166096336794215,787.4
are you sure about that ,are you sure about that ,0.0,3.486026958985762,789.2
don t forget to lock the door ,don t forget to lock the door ,0.0,3.4376152863739233,783.0
i need to charge my phone ,i need to charge my phone ,0.0,3.1658926210203373,787.4
let s take a break for now ,let s take a break for now ,0.0,3.5587366171709194,787.7
where did you put my book ,where did you put my book ,0.0,3.143957512719291,787.7
he s never late for work ,he s never late for work ,0.0,3.437604885974913,788.3
we should probably get going ,we should probably get going ,0.0,3.8089515749088005,788.7
this box is too heavy ,this box is too heavy ,0.0,3.1263117954648774,789.5
can you help me move this ,can you help me move this ,0.0,4.393505411488669,779.5
i found your missing glove ,i found your missing glove ,0.0,3.425978538685275,790.0
keep the change thank you ,keep the change thank you ,0.0,3.354553020361698,789.2
i haven t eaten all day ,i haven t eaten all day ,0.0,4.179405072413453,787.6
let me explain what happened ,let me explain what happened ,0.0,3.436620028938834,788.5
you won t believe what i saw ,you won t believe what i saw ,0.0,3.2159747868558783,790.1
the package has not yet arrived ,the package has not yet arrived ,0.0,2.7441750616716916,785.3
please stay calm and focused ,please stay calm and focused ,0.0,2.840897896710564,784.1
i ll meet you outside the cafe ,i ll meet you outside the café ,0.14285714285714285,2.9244103763676894,790.1
you need to restart your computer ,you need to restart your computer ,0.0,3.288227603549049,780.2
they arrived earlier than expected ,they arrived earlier than expected ,0.0,3.3736848469936485,788.8
this coffee tastes really bitter ,this coffee tastes really bitter ,0.0,3.5545265379030844,790.3
the dog barked all night long ,the dog barked all night long ,0.0,2.2090902825667396,786.8
i accidentally deleted the file ,i accidentally deleted the file ,0.0,2.7768907667715337,788.2
let s try something different today ,let s try something different today ,0.0,4.3240130484641135,783.4
have you ever been to japan ,have you ever been to japan ,0.0,4.6874984806659175,786.6
this app keeps crashing on me ,this app keeps crashing on me ,0.0,2.790644585368145,787.2
don t be afraid to ask questions ,don t be afraid to ask questions ,0.0,2.864980074315289,789.6
what did he say to you ,what did he say to you ,0.0,3.787002995096404,787.5
my shoes are completely soaked ,my shoes are completely soaked ,0.0,3.509175968170166,788.8
he can run faster than me ,he can run faster than me ,0.0,3.5383237189933903,789.2
i m not ready for that yet ,i m not ready for that yet ,0.0,4.13486967738877,782.0
do you want to come along ,do you want to come along ,0.0,3.7988223261752374,788.0
that wasn t part of the plan ,that wasn t part of the plan ,0.0,3.59119426819586,789.6
i need to cancel my appointment ,i need to cancel my appointment ,0.0,3.6533456000070723,786.5
who s coming to the party tonight ,who s coming to the party tonight ,0.0,3.8335299882732454,789.3
the train is running late again ,the train is running late again ,0.0,3.8636364378370676,789.6
we forgot to buy toilet paper ,we forgot to buy toilet paper ,0.0,3.8731305763639257,788.8
is that your final decision ,is that your final decision ,0.0,3.4852441567093577,783.4
she teaches english on the weekends ,she teaches english on the weekends ,0.0,3.097971859905455,787.6
they re building a new park nearby ,they re building a new park nearby ,0.0,3.112611235404501,787.6
i think we missed the exit ,i think we missed the exit ,0.0,3.3739043199099026,788.8
what s your favorite kind of food ,what s your favorite kind of food ,0.0,2.7691949838362397,789.9
i just cleaned the entire house ,i just cleaned the entire house ,0.0,3.5589845741496364,778.6
can you repeat that slowly ,can you repeat that slowly ,0.0,3.2019834682859223,784.5
i ll call you back later ,i ll call you back later ,0.0,3.8600168308290113,784.5
don t make the same mistake twice ,don t make the same mistake twice ,0.0,3.629923629760742,786.8
he plays guitar in a band ,he plays guitar in a band ,0.0,3.337631434419729,787.0
this book is really interesting ,this book is really interesting ,0.0,3.2674972827617936,790.6
we met on a rainy day ,we met on a rainy day ,0.0,4.172827289217994,788.2
how many languages do you speak ,how many languages do you speak ,0.0,2.688596705476681,787.2
the water is too cold to swim ,the water is too cold to swim ,0.0,3.9332323724573306,789.9
she left without saying goodbye ,she left without saying goodbye ,0.0,3.697140855113352,783.1
try turning it off and on again ,try turning it off and on again ,0.0,3.141764346385162,788.2
this is my favorite movie ever ,this is my favorite movie ever ,0.0,3.0670467217763266,788.4
i hope it doesn t ring tomorrow ,i hope it doesn t rain tomorrow ,0.14285714285714285,4.054129952969759,786.5
he forgot his password again ,he forgot his password again ,0.0,3.1199345095404265,786.8
the kids are playing outside now ,the kids are playing outside now ,0.0,3.4325155593056715,787.7
why are you whispering like that ,why are you whispering like that ,0.0,3.093178953443255,787.9
my hands are freezing cold ,my hands are freezing cold ,0.0,3.350561941173715,781.6
i m going to need more time ,i m going to need more time ,0.0,3.711406861321401,789.2
let s keep this between us ,let s keep this between us ,0.0,2.9350812743310217,789.4
he won t answer his phone today ,he won t answer his phone today ,0.0,3.4417630105778794,785.6
that s a very good question ,that s a very good question ,0.0,3.7259001072829334,789.3
please don t make me do that ,please don t make me do that ,0.0,3.7957246104876203,786.4
i ll text you the address later ,i ll text you the address later ,0.0,3.623065398289607,785.1
can you lower your voice please ,can you lower your voice please ,0.0,3.0674993991851807,784.7
let s walk instead of driving ,let s walk instead of driving ,0.0,3.1066960096359253,789.3
i have to leave in 10 minutes ,i have to leave in ten minutes ,0.14285714285714285,2.9923939401177084,783.9
that joke wasn t very funny ,that joke wasn t very funny ,0.0,3.255155301631841,788.6
my laptop just shut down unexpectedly ,my laptop just shut down unexpectedly ,0.0,2.711162245346725,789.2
how do i fix this issue ,how do i fix this issue ,0.0,3.6697567470612067,787.3
it happened without any warning ,it happened without any warning ,0.0,3.672820580105822,789.4
i love walking in the rain ,i love walking in the rain ,0.0,3.9566855785275297,782.9
why did you cancel the meeting ,why did you cancel the meeting ,0.0,3.4607007349137784,786.9
that really caught me off guard ,that really caught me off guard ,0.0,3.362933855790358,789.9
 could you open the window please ,could you open the window please ,0.0,3.345369746666828,789.8
we ve got a long way to go ,we ve got a long way to go ,0.0,3.009747056400075,785.9
tell me more about your project ,tell me more about your project ,0.0,3.310822388705085,786.1
i m not sure what you mean ,i m not sure what you mean ,0.0,3.8753658010248557,789.5
