transcription,reference,wer,rtf,cpu
 hello ,hello ,0.0,2.642637049710309,621.2
 can you hear me ,can you hear me ,0.0,1.925886991455799,777.3
 i need your help right now ,i need your help right now ,0.0,1.8201395221378494,780.5
 turn off the kitchen lights ,turn off the kitchen lights ,0.0,1.82636490889958,778.1
 she went to the store yesterday ,she went to the store yesterday ,0.0,2.2256867090861006,778.3
 what time is the meeting ,what time is the meeting ,0.0,2.032403178981968,764.9
 he doesn t know the answer ,he doesn t know the answer ,0.0,1.974806391206899,780.3
 please speak more clearly ,please speak more clearly ,0.0,2.010508823394775,780.2
 i m on my way home ,i m on my way home ,0.0,2.0315725715072066,775.4
 that was an amazing performance ,that was an amazing performance ,0.0,1.8061875496934725,777.4
 where are my keys ,where are my keys ,0.0,2.1504496534665427,777.2
 do you remember his name ,do you remember his name ,0.0,1.9529120245976233,778.8
 i forgot to send the email ,i forgot to send the email ,0.0,1.9903167656489782,779.9
 let s meet after lunch ,let s meet after lunch ,0.0,1.8943428993225095,781.5
 this isn t what i expected ,this isn t what i expected ,0.0,1.690814180194207,776.9
 call me when you get there ,call me when you get there ,0.0,1.8822879823919845,778.7
 don t open the window yet ,don t open the window yet ,0.0,2.1119279185618,774.3
 why is the sky so red ,why is the sky so red ,0.0,1.8514202311148051,772.0
 i ll be there in five minutes ,i ll be there in five minutes ,0.0,2.296423517968044,779.2
 who left the lights on ,who left the lights on ,0.0,1.7803689918002568,778.4
 that sounds like a great idea ,that sounds like a great idea ,0.0,2.040090384306731,773.0
 i love this kind of music ,i love this kind of music ,0.0,1.994139046380014,780.9
 she forgot her umbrella again ,she forgot her umbrella again ,0.0,1.38932206777221,781.3
 please bring me a glass of water ,please bring me a glass of water ,0.0,1.8541642597743442,779.4
 the power went out last night ,the power went out last night ,0.0,1.7425226059970476,778.6
 are you sure about that ,are you sure about that ,0.0,2.0262476169701777,776.6
 don t forget to lock the door ,don t forget to lock the door ,0.0,1.9143737799732399,778.8
 i need to charge my phone ,i need to charge my phone ,0.0,1.8308150184738052,781.6
 let s take a break for now ,let s take a break for now ,0.0,2.202954724079042,769.4
 where did you put my book ,where did you put my book ,0.0,1.9868636982781547,776.6
 he s never late for work ,he s never late for work ,0.0,2.189601468675919,771.9
 we should probably get going ,we should probably get going ,0.0,2.1183905522685404,781.4
 this box is too heavy ,this box is too heavy ,0.0,1.761758985190556,778.8
 can you help me move this ,can you help me move this ,0.0,2.3905825402055467,780.8
 i found your missing glove ,i found your missing glove ,0.0,1.9895593026526888,773.0
 keep the change thank you ,keep the change thank you ,0.0,2.1294257857582783,776.9
 i haven t eaten all day ,i haven t eaten all day ,0.0,2.3950734269728353,779.2
 let me explain what happened ,let me explain what happened ,0.0,1.9448968369191086,781.4
 you won t believe what i saw ,you won t believe what i saw ,0.0,1.9359482465869318,780.2
 the package has not yet arrived ,the package has not yet arrived ,0.0,1.4990064519396902,781.5
 please stay calm and focused ,please stay calm and focused ,0.0,1.7036547380335192,767.3
 i ll meet you outside the cafe ,i ll meet you outside the café ,0.14285714285714285,1.6756813737410532,781.9
 you need to restart your computer ,you need to restart your computer ,0.0,1.7963166139563735,779.5
 they arrived earlier than expected ,they arrived earlier than expected ,0.0,1.9182124824234932,779.4
 this coffee tastes really bitter ,this coffee tastes really bitter ,0.0,2.0392566673026598,781.2
 the dog barked all night long ,the dog barked all night long ,0.0,1.5589318004264652,772.7
 i accidentally deleted the file ,i accidentally deleted the file ,0.0,1.7045161392115338,779.3
 let s try something different today ,let s try something different today ,0.0,2.370144225455619,781.6
 have you ever been to japan ,have you ever been to japan ,0.0,2.602175520915611,779.7
 this app keeps crashing on me ,this app keeps crashing on me ,0.0,1.5516898000096702,781.7
 don t be afraid to ask questions ,don t be afraid to ask questions ,0.0,1.9190411941677916,775.3
 what did he say to you ,what did he say to you ,0.0,2.2794353550878066,774.1
 my shoes are completely soaked ,my shoes are completely soaked ,0.0,2.128980827331543,773.4
 he can run faster than me ,he can run faster than me ,0.0,2.09753972585084,781.1
 i m not ready for that yet ,i m not ready for that yet ,0.0,2.4459944831000437,779.7
 do you want to come along ,do you want to come along ,0.0,2.31659947815588,775.5
 that wasn t part of the plan ,that wasn t part of the plan ,0.0,2.167033956896874,779.7
