transcription,reference,wer,rtf,cpu
 mona s utger is of stenor and stuff mona s yttrylager is called scorpan ,månens yta utgörs av stenar och stoft månens yttre lager kallas skorpan,1.1666666666666667,0.41240880058871376,127.6
 many tyska bakwerk have also mandlar hasselnutters and other nutter popular cack or passers often sarsquely good with a cup stark coffee ,många tyska bakverk har också mandlar hasselnötter och andra nötter populära kakor passar ofta särskilt bra med en kopp starkt kaffe,0.9523809523809523,0.018393452365260358,370.5
 enlid guverneurstaben was 19 of the scadded police ,enligt guvernörsstaben var nitton av de skadade poliser,1.0,0.02563941305962162,396.2
 buses are from the district s general station over the flood the whole day with the most especially those who are on the way to the uster and jackar bumtang go between half s seven and half eight ,bussar avgår från den distriktsgemensamma busstationen över floden hela dagen men de flesta särskilt de som är på väg mot öster och jakar bumthang går mellan 6 30 och 7 30,1.2258064516129032,0.026360554669899918,222.9
 australia s mitchell gawley slutted as 11 in herrann s day in the super g the czechoska concurrent aldrich jellinac slutted as number 16 in herreras super g ,australiens mitchell gourley slutade som elva i herrarnas stående super g den tjeckiska konkurrenten oldrich jelinek slutade som nummer sexton i herrarnas super g,0.9583333333333334,0.015846583675003977,353.4
 vandalize not the platsen by making or to make graffiti on structures ,vandalisera inte platsen genom att måla eller skrapa graffiti på strukturer,0.9090909090909091,0.026770724190606013,369.8
 the other nominations include best film regiscerer filmcons costim design film rediscering original music production design ludrederigering yud mixing original manus ,de andra nomineringarna inkluderar bästa film regissör filmkonst kostymdesign filmredigering originalmusik produktionsdesign ljudredigering ljudmixning och originalmanus,1.25,0.021086717551609253,343.4
 in nor besought also fantastical sanctuary of our lady of fatima helgedom a place world s berent for upenbaraes of maria,i norr besök också fantastiska sanctuary of our lady of fatima helgedom en plats världsberömd för uppenbarelser av maria,0.6842105263157895,0.01884750268154872,378.8
 therefore what will you a trogan fulgeslager for many men when it came out i m,därför var blyertspennan en trogen följeslagare för många människor när den kom ut,1.2307692307692308,0.03743090977271398,323.8
 giancarlo fisiella forlora the control of his carlain over his carlop the last after start ,giancarlo fisichella förlorade kontrollen över sin bil och avslutade loppet strax efter starten,1.0769230769230769,0.02632286097552325,385.4
 resenaires recommended to be aware of the risk for hort waird that can be able to their own because it can be the rest plan ,resenärer rekommenderas starkt att vara medvetna om risken för hårt väder som påverkar deras område eftersom det kan påverka resplanerna,1.25,0.029956077105277763,292.9
 he said that netschairning would be based on china s economic styrka and gave not many siffro for them ,han sa att nedskärningarna skulle baseras på kinas ekonomiska styrka och gav inte några siffror för dem,1.0588235294117647,0.025632264267685067,363.0
 according gubernator the governor s taben was 19 of the the police police police police police police,enligt guvernörsstaben var nitton av de skadade poliser,2.125,0.04921840584796408,252.9
 but with its placering in the high tropics just a few grader nor o equatum must you handle both hetta always and a stark sol when the i m clear more cell more cell i m, men med sin placering i höga tropikerna bara några få grader norr om ekvatorn måste du hantera både hetta alltid och stark sol när himlen är klar mer sällan ,1.0689655172413792,0.02706035748210058,228.1
 the american engineer s corps bedombed that six tumns rain could get the tidigarer the further to brist ,den amerikanska ingenjörskåren bedömde att 6 tums regn skulle kunna få de tidigare skadade fördämningarna att brista,1.0588235294117647,0.034285490820297644,344.5
 this sediment was needed for the natural environment for the deer in life ,detta sediment var nödvändigt för att skapa sandrev och stränder som fungerade som naturliga miljöer för djurliv,0.9411764705882353,0.024314038455486298,450.4
 the fissioned on the principle of the craft energy for to to establish a cairn with many protons and neutrons ,fissionsbomben grundar sig på principen att det krävs energi för att åstadkomma en kärna med många protoner och neutroner,1.0526315789473684,0.03357704947976505,388.3
 blankoran slacked so smooten on the end we re 23 35 on the the night ,brandkåren släckte så småningom elden vid 23 35 på kvällen,1.3,0.04726631599560118,356.6
 usa gymnastics and usok have the same mowl to do gymnastics and other sports as safe as much so that idrotters can follow their dreams in a tryg positive and sterkand the milieu,usa gymnastics och usoc har samma mål att göra gymnastiken och andra sporter så säkra som möjligt så att idrottare ska kunna följa sina drömmar i en trygg positiv och stärkande miljö,0.96875,0.014042639903884997,384.6
 all the people are in the transport system i m,alla deltar i samhället och använder transportsystem i princip alla klagar över transportsystem,1.0,0.04344825391416196,360.7
 a bomb exploded out of general gubernator s contort ,en bomb exploderade utanför generalguvernörens kontor,1.3333333333333333,0.04518105272661176,432.4
 even if al is stark flipped with science fiction is a very important gren in data wetonscapers that inbegriper machines in larning and intelligence ,även om ai är starkt förknippat med science fiction är det en mycket viktig gren inom datavetenskapen som inbegriper maskiners beteende inlärning och intelligens,0.875,0.025546603498205672,294.6
 hamann was skodeplast for e lager in 1889 when seven shepp from the u s s sturbritania wagered to leave the hammen ,hamnen var skådeplats för ett ökänt dödläge år 1889 när sju skepp från tyskland usa och storbritannien vägrade lämna hamnen,1.1,0.024174205608406926,393.7
 the first of these 78 recommendations are a new diplomatic initiative should take its end up the end of this year of this year old for to secure iraq s grinses against fiently interventions and to re etabler diplomatic relations with these granners ,den första av dess 78 rekommendationer är att ett nytt diplomatiskt initiativ bör tas innan slutet av det här året för att säkra iraks gränser mot fientliga interventioner och att återetablera diplomatiska relationer med dess grannar,1.1666666666666667,0.02024187872061145,319.2
 popular sports include football basket volleyball water polo fecting rugby cycle ice hockey rural scrisco hockey and formula one ,populära sporter inkluderar fotboll basket volleyboll vattenpolo fäktning rugby cykel ishockey rullskridskohockey och formel 1,1.1333333333333333,0.015892561371741224,384.9
 with kundalini yoga wakes kundalini energy uplysmenergy genuelseneration in yoga and innings and mantraser and visualizingerings ,med kundaliniyoga väcks kundalini energin upplysningsenergi genom yogaställningar andningsövningar mantran och visualiseringar,1.25,0.024527797371532784,292.0
 professor pamela ferguson at dundee s university constaterer that journalists are a farleg line if you publishes pictures of misdentat , professor pamela ferguson vid dundees universitet konstaterar att journalister väljer en farlig linje om de publicerar bilder etc av misstänkta ,0.85,0.023533083774425364,370.2
 plenty scarmer installed at different places in rome for that the people could can see ceremony ,flera stora tv skärmar installerades på olika platser i rom för att folket skulle kunna se ceremonin,1.0,0.033221077116986665,419.3
 to example so is the most formatet for still bilder in the world thirty five millimeters which was the dominionerating film storlake at the end of the analogue film s era,till exempel så är det vanligaste formatet för stillbilder i världen 35 mm vilket var den dominerande filmstorleken vid slutet av den analoga filmens era,1.16,0.019733266554016998,341.9
 motelsutat of medeltiden began west europe to develop its own of the time s sturdings to follow of the cross toges was that folk began to use the clappar for to festa cladler,mot slutet av medeltiden började västeuropa utveckla sin egen stil en av tidens största utvecklingar till följd av korstågen var att folk började använda knappar för att fästa kläder,1.103448275862069,0.016440729037605545,406.9
