transcription,reference,wer,rtf,cpu
 månans yta utgörs av sten och ståft månans yttre lager kallas skorpan ,månens yta utgörs av stenar och stoft månens yttre lager kallas skorpan,0.3333333333333333,0.0504525171385871,340.9
 många tyska bakverk har också mandlar hasselnötter och andra nötter populära kakor passar ofta särskilt bra med en kopp stark kaffe ,många tyska bakverk har också mandlar hasselnötter och andra nötter populära kakor passar ofta särskilt bra med en kopp starkt kaffe,0.047619047619047616,0.028730614084593008,283.4
 enligt guvernörstaben var 19 av de skadade poliser ,enligt guvernörsstaben var nitton av de skadade poliser,0.25,0.026162810947584072,420.7
 busar avgår från den distriktsgemensamma busstationen över floden hela dagen med de flesta särskilt de som är på väg mot öster och jackar bontang går mellan halv sju och halv åtta ,bussar avgår från den distriktsgemensamma busstationen över floden hela dagen men de flesta särskilt de som är på väg mot öster och jakar bumthang går mellan 6 30 och 7 30,0.25806451612903225,0.021870729153749175,266.3
 australiens mitchell goley slutade som 11 i herarnas dagende super g den tjeckiska konkurrenten aldrich jelinek slutade som nummer 16 i herarnas super g ,australiens mitchell gourley slutade som elva i herrarnas stående super g den tjeckiska konkurrenten oldrich jelinek slutade som nummer sexton i herrarnas super g,0.2916666666666667,0.02185278855391082,295.3
 vandalisera inte platsen genom att måla eller skapa grafitipp och strukturer ,vandalisera inte platsen genom att måla eller skrapa graffiti på strukturer,0.2727272727272727,0.025032440821329754,399.9
 de andra nomineringarna inkluderar bästa film rechercheur filmkonst kostymdesign filmredigering originalmusik produktionsdesign ljudredigering ljudmixning originalmanus ,de andra nomineringarna inkluderar bästa film regissör filmkonst kostymdesign filmredigering originalmusik produktionsdesign ljudredigering ljudmixning och originalmanus,0.125,0.031286721709389356,269.0
 i norr besök också fantastiska sanctuary of our lady of fatima helgedon en plats världsberömd för uppenbarelser av maria ,i norr besök också fantastiska sanctuary of our lady of fatima helgedom en plats världsberömd för uppenbarelser av maria,0.05263157894736842,0.025643460193083653,317.2
 därför var blivet spännande en trogen följeslagare för många människor när den kom ut ,därför var blyertspennan en trogen följeslagare för många människor när den kom ut,0.15384615384615385,0.03325079257289569,376.3
 giancarlo ficiela förlorade kontrollen över sin bil och avslutade loppet strax efter starten ,giancarlo fisichella förlorade kontrollen över sin bil och avslutade loppet strax efter starten,0.07692307692307693,0.028494564262596334,371.8
