transcription,reference,wer,rtf,cpu
 månads ytterligare utgörs av sten och röstaft månads ytterligare kallas skorpan ,månens yta utgörs av stenar och stoft månens yttre lager kallas skorpan,0.5833333333333334,2.1657458196083708,680.4
 många tyska bakverk har också mandlar haselnötter och andra nötter populära kakor passar ofta särskilt bra med en koppstarkt kaffe ,många tyska bakverk har också mandlar hasselnötter och andra nötter populära kakor passar ofta särskilt bra med en kopp starkt kaffe,0.14285714285714285,1.0896517264078107,775.1
 enligt guvernörstaben var 19 av de skadade poliser ,enligt guvernörsstaben var nitton av de skadade poliser,0.25,0.8492261027368371,779.1
 bussar avgår från den distriktiemensamma bostationen över floden hela dagen med de flesta särskilt de som är på väg mot öster och jakkar bombtang går mellan halv sju och halv åtal ,bussar avgår från den distriktsgemensamma busstationen över floden hela dagen men de flesta särskilt de som är på väg mot öster och jakar bumthang går mellan 6 30 och 7 30,0.2903225806451613,0.9748515376338253,745.3
 australiens mitchell golley slutade som 11 i herrarnas dagande super g den tjeckiska konkurrentern aldrig gäll i neck slutade som nummer 16 i herrarnas super g ,australiens mitchell gourley slutade som elva i herrarnas stående super g den tjeckiska konkurrenten oldrich jelinek slutade som nummer sexton i herrarnas super g,0.375,0.9538549866409487,761.2
 vandaliserar inte platsen genom att måla eller skapa grafit i poststrukturer ,vandalisera inte platsen genom att måla eller skrapa graffiti på strukturer,0.45454545454545453,0.8934756914774576,776.3
 det andra nomineringarna inkluderar bästa film med recherkör filmkonst kostymdesign filmredagering originalmusik produktionsdesign ljudredagering ljudmixning original manus ,de andra nomineringarna inkluderar bästa film regissör filmkonst kostymdesign filmredigering originalmusik produktionsdesign ljudredigering ljudmixning och originalmanus,0.4375,1.203533650944068,780.8
 i norr besök också fantastiska sanctuary of our lady of fatima helgedom en plats världsberömd för uppenbarelser av maria ,i norr besök också fantastiska sanctuary of our lady of fatima helgedom en plats världsberömd för uppenbarelser av maria,0.0,0.9645269482487667,772.8
 därför var blyersbindan en trogen följeslagare för många människor när den kom ut ,därför var blyertspennan en trogen följeslagare för många människor när den kom ut,0.07692307692307693,1.1101384026308856,779.1
 giancarlo fischella förlorade kontrollen över sin bil och avslutade loppet strax efter starten ,giancarlo fisichella förlorade kontrollen över sin bil och avslutade loppet strax efter starten,0.07692307692307693,1.042367799862011,778.0
 resonärer rekommenderades starkt att vara medvetna om risken för hårt värde som påverkade deras område eftersom det kan påverka resplanen ,resenärer rekommenderas starkt att vara medvetna om risken för hårt väder som påverkar deras område eftersom det kan påverka resplanerna,0.25,1.2540402899358083,768.0
 han sa att nedskärningarna skulle baseras på chinas ekonomiska styrka och gav inte några siffror för dem ,han sa att nedskärningarna skulle baseras på kinas ekonomiska styrka och gav inte några siffror för dem,0.058823529411764705,1.0569811886192388,777.9
 enligt guvernörs tabeln var 19 av dem skadade poliser ,enligt guvernörsstaben var nitton av de skadade poliser,0.5,0.8459780239252653,777.3
 men med sin placering i höga tropikerna bara några få grader norr och mequatum måste du hantera både hetta alltid och stark sol när himlen är klar mer sällan , men med sin placering i höga tropikerna bara några få grader norr om ekvatorn måste du hantera både hetta alltid och stark sol när himlen är klar mer sällan ,0.06896551724137931,0.7914355331913685,779.2
 den amerikanska ingenjörskåren bedömde att sexthumsräng skulle kunna få det tidigare skadade fördämningen att brista ,den amerikanska ingenjörskåren bedömde att 6 tums regn skulle kunna få de tidigare skadade fördämningarna att brista,0.29411764705882354,1.3465018167983005,776.8
 detta sediment var nödvändigt för att skapas andra evoständor som fungerade som naturliga miljöer för djur i liv ,detta sediment var nödvändigt för att skapa sandrev och stränder som fungerade som naturliga miljöer för djurliv,0.4117647058823529,1.4297464552025,775.7
 fissionsbomben grundar sig på principen att krävs energi för att åstadkomma en kärn med många protoner och nektroner ,fissionsbomben grundar sig på principen att det krävs energi för att åstadkomma en kärna med många protoner och neutroner,0.15789473684210525,1.6329328886935024,768.7
 brancoren släcktes och småning och melden vid 23 35 på kvällen ,brandkåren släckte så småningom elden vid 23 35 på kvällen,0.6,1.612535234083209,716.3
 usa gymnastik och usoc har samma mål att göra gymnastiken och andra sporter så säkra som möjligt så att idrottare ska kunna följa sina drömmar i en trygg positiv och stärkande miljö ,usa gymnastics och usoc har samma mål att göra gymnastiken och andra sporter så säkra som möjligt så att idrottare ska kunna följa sina drömmar i en trygg positiv och stärkande miljö,0.03125,1.1715096392505746,680.5
 alla deltar i samhället och använder transportsystem i princip alla klagar över transportsystem ,alla deltar i samhället och använder transportsystem i princip alla klagar över transportsystem,0.0,1.6255660089178117,730.9
 en bomb exploderade utanför generalguvernörens kontor ,en bomb exploderade utanför generalguvernörens kontor,0.0,1.56248504655403,772.1
