transcription,reference,wer,rtf,cpu
 concord returned to its place amidst the tents ,concord returned to its place amidst the tents,0.0,0.3787121657128001,642.4
 the english forwarded to the french baskets of flowers of which they had made a plantable provision to greet the arrival of the young princess the french in return invited the english to a supper which was to be given the next day ,the english forwarded to the french baskets of flowers of which they had made a plentiful provision to greet the arrival of the young princess the french in return invited the english to a supper which was to be given the next day,0.023255813953488372,0.17629385413520157,782.1
 congratulations report in upon the princess everywhere during her journey ,congratulations were poured in upon the princess everywhere during her journey,0.18181818181818182,0.2041514477326502,777.1
 from the respect paid her on all sides she seemed like a queen and from the adoration with which she was treated by two or three she appeared in object of worship the queen mother gave the french the most affectionate reception france was her native country and she has suffered too much unhappiness in england for england to have made her forget france ,from the respect paid her on all sides she seemed like a queen and from the adoration with which she was treated by two or three she appeared an object of worship the queen mother gave the french the most affectionate reception france was her native country and she had suffered too much unhappiness in england for england to have made her forget france,0.03125,0.15371143881813948,784.7
 she taught her daughter then by her own affection for it that love for a country where they had both been hospitably received and where a brilliant future opened for them ,she taught her daughter then by her own affection for it that love for a country where they had both been hospitably received and where a brilliant future opened before them,0.03225806451612903,0.18712951756687227,778.7
 the count had thrown himself back on his seat leaning his shoulders against the partition of the tent and remained thus his face buried in his hands with heaving chest and restless limbs ,the count had thrown himself back on his seat leaning his shoulders against the partition of the tent and remained thus his face buried in his hands with heaving chest and restless limbs,0.0,0.1608771393726662,779.8
 this has indeed been a harassing day continued the young man his eyes fixed upon his friend ,this has indeed been a harassing day continued the young man his eyes fixed upon his friend,0.0,0.2519034116696089,774.9
 you will be frank with me i always am,you will be frank with me i always am,0.0,0.2824537354896511,774.7
 can you imagine why buckingham has been so violent i suspect,can you imagine why buckingham has been so violent i suspect,0.0,0.2311517701502753,776.4
 it is you who are mistaken rao i have read his distress in his eyes in his every gesture and action the whole day ,it is you who are mistaken raoul i have read his distress in his eyes in his every gesture and action the whole day,0.041666666666666664,0.24496840906667183,775.3
 i can perceive love clearly enough ,i can perceive love clearly enough,0.0,0.2837980009578598,772.6
 i am convinced of what i say said the count ,i am convinced of what i say said the count,0.0,0.3345778290654572,767.6
 it is annoyance then ,it is annoyance then,0.0,0.4460047200783012,773.7
 in those very terms i even had it more ,in those very terms i even added more,0.25,0.36770170237742317,736.6
