transcription,reference,wer,rtf,cpu
 concord returned to its place amidst the tents ,concord returned to its place amidst the tents,0.0,0.028675667059404535,169.5
 the english forwarded to the french baskets of flowers of which they had made a plantable provision to greet the arrival of the young princess the french in return invited the english to a supper which was to be given the next day ,the english forwarded to the french baskets of flowers of which they had made a plentiful provision to greet the arrival of the young princess the french in return invited the english to a supper which was to be given the next day,0.023255813953488372,0.02074851721577569,206.8
 congratulations report in upon the princess everywhere during her journey ,congratulations were poured in upon the princess everywhere during her journey,0.18181818181818182,0.0159267406558516,187.9
 from the respect paid her on all sides she seemed like a queen and from the adoration with which she was treated by two or three she appeared in object of worship the queen mother gave the french the most affectionate reception france was her native country and she has suffered too much unhappiness in england for england to have made her forget france ,from the respect paid her on all sides she seemed like a queen and from the adoration with which she was treated by two or three she appeared an object of worship the queen mother gave the french the most affectionate reception france was her native country and she had suffered too much unhappiness in england for england to have made her forget france,0.03125,0.016060035013472498,122.9
 she taught her daughter then by her own affection for it that love for a country where they had both been hospitably received and where a brilliant future opened for them ,she taught her daughter then by her own affection for it that love for a country where they had both been hospitably received and where a brilliant future opened before them,0.03225806451612903,0.015815716763723505,148.7
 the count had thrown himself back on his seat leaning his shoulders against the partition of the tent and remained thus his face buried in his hands with heaving chest and restless limbs ,the count had thrown himself back on his seat leaning his shoulders against the partition of the tent and remained thus his face buried in his hands with heaving chest and restless limbs,0.0,0.01327848361980589,149.0
 this has indeed been a harassing day continued the young man his eyes fixed upon his friend ,this has indeed been a harassing day continued the young man his eyes fixed upon his friend,0.0,0.018627134143796742,165.5
 you will be frank with me i always am,you will be frank with me i always am,0.0,0.03487247507316854,389.9
 can you imagine why buckingham has been so violent i suspect,can you imagine why buckingham has been so violent i suspect,0.0,0.017684629593772448,189.5
 it is you who are mistaken rao i have read his distress in his eyes in his every gesture and action the whole day ,it is you who are mistaken raoul i have read his distress in his eyes in his every gesture and action the whole day,0.041666666666666664,0.020226213958237198,156.5
 i can perceive love clearly enough ,i can perceive love clearly enough,0.0,0.025297821648234787,209.0
 i am convinced of what i say said the count ,i am convinced of what i say said the count,0.0,0.030748683708561046,183.6
 it is annoyance then ,it is annoyance then,0.0,0.04407659019391561,269.6
 in those very terms i even had it more ,in those very terms i even added more,0.25,0.02723851171480555,200.2
