transcription,reference,wer,rtf,cpu
 concorde returned to its place amidst the tents ,concord returned to its place amidst the tents,0.125,0.032774017812862204,708.7
 the english voted to the french baskets of flowers of which they had made a plentiful provision to greet the arrival of the young princess the french in return invited the english to a supper which was to be given the next day ,the english forwarded to the french baskets of flowers of which they had made a plentiful provision to greet the arrival of the young princess the french in return invited the english to a supper which was to be given the next day,0.023255813953488372,0.021384696759322825,306.0
 congratulations were poured in upon the princess everywhere during her journey ,congratulations were poured in upon the princess everywhere during her journey,0.0,0.02071181340004081,741.6
 from the respect paid her on all sides she seemed like a queen and from the adoration with which she was treated by two or three she appeared an object of worship the queen mother gave the french the most affectionate reception france was her native country and she had suffered too much unhappiness in england for england to have made her forget france ,from the respect paid her on all sides she seemed like a queen and from the adoration with which she was treated by two or three she appeared an object of worship the queen mother gave the french the most affectionate reception france was her native country and she had suffered too much unhappiness in england for england to have made her forget france,0.0,0.015153032041480554,297.4
 she taught her daughter then by her own affection for it that love for a country where they had both been hospitably received and where a brilliant future opened for them ,she taught her daughter then by her own affection for it that love for a country where they had both been hospitably received and where a brilliant future opened before them,0.03225806451612903,0.01624555971306802,485.0
 the count had thrown himself back on his seat leaning his shoulders against the partition of the tent and remained thus his face buried in his hands with heaving chest and restless limbs ,the count had thrown himself back on his seat leaning his shoulders against the partition of the tent and remained thus his face buried in his hands with heaving chest and restless limbs,0.0,0.016803382740194675,412.0
 this has indeed been a harassing day continued the young man his eyes fixed upon his friend ,this has indeed been a harassing day continued the young man his eyes fixed upon his friend,0.0,0.02071132007827107,661.2
 you will be frank with me i always am,you will be frank with me i always am,0.0,0.035614485474553405,602.3
 can you imagine why buckingham has been so violent i suspect ,can you imagine why buckingham has been so violent i suspect,0.0,0.02909503884948284,561.0
 it is you who are mistaken raul i have read his distress in his eyes in his every gesture and action the whole day ,it is you who are mistaken raoul i have read his distress in his eyes in his every gesture and action the whole day,0.041666666666666664,0.02407588801541171,491.3
 i can perceive love clearly enough ,i can perceive love clearly enough,0.0,0.02891793478851067,787.8
 i am convinced of what i say said the count ,i am convinced of what i say said the count,0.0,0.02952039894736802,796.6
 it is annoyance then ,it is annoyance then,0.0,0.04212045177970965,772.6
 in those very terms i even added more ,in those very terms i even added more,0.0,0.030776351487555472,797.5
 but continued rao not interrupted by this movement of his friend heaven be praised the french who are pronounced to be thoughtless and indiscreet reckless even are capable of bringing a calm and sound judgment to bear on matters of such high importance ,but continued raoul not interrupted by this movement of his friend heaven be praised the french who are pronounced to be thoughtless and indiscreet reckless even are capable of bringing a calm and sound judgment to bear on matters of such high importance,0.023255813953488372,0.014517341260389024,397.1
 thus it is that the honor of three is saved our country our masters and our own ,thus it is that the honor of three is saved our country s our master s and our own,0.15789473684210525,0.02137628094903354,587.5
 yes i need repose many things have agitated me today both in mind and body when you return tomorrow i shall no longer be the same man ,yes i need repose many things have agitated me to day both in mind and body when you return to morrow i shall no longer be the same man,0.13793103448275862,0.019888156542347123,432.2
 but in this friendly pressure raoul could detect the nervous agitation of a great internal conflict ,but in this friendly pressure raoul could detect the nervous agitation of a great internal conflict,0.0,0.021010559874695616,634.5
 the night was clear starlit and splendid the tempest had passed away and the sweet influences of the evening had restored life peace and security everywhere ,the night was clear starlit and splendid the tempest had passed away and the sweet influences of the evening had restored life peace and security everywhere,0.0,0.015680355456667183,502.1
 upon the large square in front of the hotel the shadows of the tents intersected by the golden moon beams formed as it were a huge mosaic of jet and yellow flagstones ,upon the large square in front of the hotel the shadows of the tents intersected by the golden moonbeams formed as it were a huge mosaic of jet and yellow flagstones,0.06451612903225806,0.016986244728205122,445.3
 bragalon watched for some time the conduct of the two lovers listen to the loud and uncivil slumbers of manna kemp who snored as imperiously as though he was wearing his blue and gold instead of his violet suit ,bragelonne watched for some time the conduct of the two lovers listened to the loud and uncivil slumbers of manicamp who snored as imperiously as though he was wearing his blue and gold instead of his violet suit,0.10526315789473684,0.015691005521350436,398.7
 goliath makes another discovery ,goliath makes another discovery,0.0,0.02775152852712584,788.4
 there were certainly no near the solution of their problem ,they were certainly no nearer the solution of their problem,0.2,0.03018811345100403,788.7
 the poor little things cried cynthia think of them having been turned to the wall all these years ,the poor little things cried cynthia think of them having been turned to the wall all these years,0.0,0.02448455892878471,603.1
 now what is the sense of it two innocent babies like that ,now what was the sense of it two innocent babies like that,0.08333333333333333,0.03915762795655379,604.4
 but joyce had not been listening all at once she put down her candle on the table and faced her companion ,but joyce had not been listening all at once she put down her candle on the table and faced her companion,0.0,0.021231620292353436,613.7
 the twin brother did something she didn t like and she turned his picture to the wall,the twin brother did something she didn t like and she turned his picture to the wall,0.0,0.02181882773042317,729.9
 hers happened to be on the same frame too but she evidently didn t care about it ,hers happened to be in the same frame too but she evidently didn t care about that,0.11764705882352941,0.027954484744773033,635.4
 now what have you to say cynthia sprague ,now what have you to say cynthia sprague,0.0,0.035454364533120016,771.8
 i thought we were stumped again when i first saw that picture but it s been of some use after all ,i thought we were stumped again when i first saw that picture but it s been of some use after all,0.0,0.025286577936538508,611.1
 do you suppose the miniature was a copy of the same thing ,do you suppose the miniature was a copy of the same thing,0.0,0.0347058328412878,669.8
 what in the world is it query choice ,what in the world is that queried joyce,0.375,0.03616189424876387,782.7
 they were in me terribly and besides i d like to see what this lovely furniture looks like without such quantities of dust all over it good scheme sin ,they worry me terribly and besides i d like to see what this lovely furniture looks like without such quantities of dust all over it good scheme cyn,0.10714285714285714,0.02121306084967279,454.5
 we ll come in here this afternoon with old clothes on and have a regular house cleaning ,we ll come in here this afternoon with old clothes on and have a regular house cleaning,0.0,0.026644134111742455,654.2
 it can t hurt anything i m sure for we won t disturb things at all ,it can t hurt anything i m sure for we won t disturb things at all,0.0,0.026718000086342418,687.9
 this thought however did not enter the heads of the enthusiastic pair ,this thought however did not enter the heads of the enthusiastic pair,0.0,0.023730932655981033,697.4
 smuggling the house cleaning paraphernalia into the cellar window unobserved that afternoon proved no easy task for cynthia had added a whisk broom and dustpan to the outfit ,smuggling the house cleaning paraphernalia into the cellar window unobserved that afternoon proved no easy task for cynthia had added a whisk broom and dust pan to the outfit,0.06896551724137931,0.01456156126773439,454.4
 the lure proved too much for him and he came sporting after it as friscally as a young kitten much to cynthia s delight when she caught sight of him ,the lure proved too much for him and he came sporting after it as friskily as a young kitten much to cynthia s delight when she caught sight of him,0.03333333333333333,0.019599328152450902,488.2
 oh let him come along she urged i do love to see him about that old house ,oh let him come along she urged i do love to see him about that old house,0.0,0.029807258225192423,515.2
 he makes it sort of cozier ,he makes it sort of cozier,0.0,0.04312914108561578,759.9
 now let s dust the furniture in pictures ,now let s dust the furniture and pictures,0.125,0.039999508163304005,777.9
 yet little as it was it had already made a vast difference in the aspect of the room ,yet little as it was it had already made a vast difference in the aspect of the room,0.0,0.020300162187759024,640.8
 surface dust at least had been removed and the fine old furniture gave a hint of its real elegance and polish ,surface dust at least had been removed and the fine old furniture gave a hint of its real elegance and polish,0.0,0.018116764921788694,608.7
 then she suddenly remarked,then she suddenly remarked,0.0,0.04444071988631679,797.3
 and my pocket money is getting low again and you have it any left as usual ,and my pocket money is getting low again and you haven t any left as usual,0.125,0.02315019823841213,704.6
 they say illumination by candlelight is the prettiest in the world ,they say illumination by candle light is the prettiest in the world,0.16666666666666666,0.026252004835340712,735.0
 why it s goliath as usual they both cried peering in ,why it s goliath as usual they both cried peering in,0.0,0.03271988294656994,616.5
 isn t he the greatest for getting into odd corners ,isn t he the greatest for getting into odd corners,0.0,0.032198950769062755,746.2
 forgetting all their weariness they seize their candles and scurry through the house finding on occasional paper tucked away in some odd corner ,forgetting all their weariness they seized their candles and scurried through the house finding an occasional paper tucked away in some odd corner,0.13043478260869565,0.019273965505763727,541.0
 well i m convinced that the boarded up house mystery happened not earlier than april 16th 1861 and probably not much later ,well i m convinced that the boarded up house mystery happened not earlier than april sixteenth eighteen sixty one and probably not much later,0.16666666666666666,0.018133332457723497,475.4
 no words were spoken no language was uttered save that of wailing and hissing and that somehow was indistinct as if it existed in fancy and not in reality ,no words were spoken no language was uttered save that of wailing and hissing and that somehow was indistinct as if it existed in fancy and not in reality,0.0,0.015011218316151034,460.3
 i heard a noise behind i turned and saw kaffir his black eyes shining while in his hand he held a gleaming knife he lifted it above his head as if to strike but i had the strength of ten men and i hurled him from me ,i heard a noise behind i turned and saw kaffar his black eyes shining while in his hand he held a gleaming knife he lifted it above his head as if to strike but i had the strength of ten men and i hurled him from me,0.02127659574468085,0.016816970720473855,333.5
 onward said a distant voice ,onward said a distant voice,0.0,0.02799286604288306,780.0
 no sound broke the stillness of the night ,no sound broke the stillness of the night,0.0,0.029087066650390625,763.1
 the story of its evil influence came back to me and in my bewildered condition i wondered whether there was not some truth in what had been said ,the story of its evil influence came back to me and in my bewildered condition i wondered whether there was not some truth in what had been said,0.0,0.01851799099016389,497.6
 what was that ,what was that,0.0,0.0440300660356674,664.6
 what then a human hand large and shapely appeared distinctly on the surface of the pond ,what then a human hand large and shapely appeared distinctly on the surface of the pond,0.0,0.019551164963666132,557.3
 nothing more not even the risk to which it might be attached ,nothing more not even the wrist to which it might be attached,0.08333333333333333,0.023696184977633025,765.2
 it did not beckon or indeed move at all it was as still as the hand of death ,it did not beckon or indeed move at all it was as still as the hand of death,0.0,0.021923562891713655,611.0
 i awoke to consciousness fighting at first it seemed as if i was fighting with a phantom but gradually my opponent became more real to me it was kaffir ,i awoke to consciousness fighting at first it seemed as if i was fighting with a phantom but gradually my opponent became more real to me it was kaffar,0.034482758620689655,0.019942290377130717,384.3
 a sound of voices a flash of light ,a sound of voices a flash of light,0.0,0.030385966095806256,687.8
 a feeling of freedom and i was awake where ,a feeling of freedom and i was awake where,0.0,0.028318039914394945,609.4
 he said another voice which i recognized as vultures caffer ,said another voice which i recognized as voltaire s kaffar,0.4,0.03022367206168767,620.7
 i had scarcely known what i had been saying or doing up to this time but as he spoke i looked at my hand ,i had scarcely known what i had been saying or doing up to this time but as he spoke i looked at my hand,0.0,0.021775672053314314,495.8
 in the light of the moon i saw a knife red with blood and my hand too was also discolored ,in the light of the moon i saw a knife red with blood and my hand too was also discoloured,0.05,0.018443720221680344,600.9
 i do not know i am dazed bewildered ,i do not know i am dazed bewildered,0.0,0.03542874517773176,591.0
 but that is kaffer s knife ,but that is kaffar s knife,0.16666666666666666,0.04292649251443368,799.9
 i know he had it this very evening ,i know he had it this very evening,0.0,0.04231746380145734,799.3
 i remembered saying have we been together ,i remember saying have we been together,0.14285714285714285,0.0324791201959291,758.2
 the wheelchair picked up something from the ground and looked at it ,voltaire picked up something from the ground and looked at it,0.18181818181818182,0.02952362658709464,803.2
 i say you do know what this means and you must tell us ,i say you do know what this means and you must tell us,0.0,0.023413610458374024,684.4
 a terrible thought flashed into my mind ,a terrible thought flashed into my mind,0.0,0.027659142664236615,786.2
 i had again been acting under the influence of this man s power ,i had again been acting under the influence of this man s power,0.0,0.024832503586870187,762.0
 per chance too caffer s death might serve him in good stead ,perchance too kaffar s death might serve him in good stead,0.2727272727272727,0.021730743142697073,707.6
 my tongue refused to articulate my power of speech left me ,my tongue refused to articulate my power of speech left me,0.0,0.018913250158328822,786.7
 my position was too terrible ,my position was too terrible,0.0,0.030061944200116188,790.5
 my overwrought nerves yielded at last ,my overwrought nerves yielded at last,0.0,0.027853802936833077,772.0
 for some time after that i remembered nothing distinctly ,for some time after that i remembered nothing distinctly,0.0,0.024408489078670353,788.8
 notwithstanding the high resolution of hawkeye he fully comprehended all the difficulties and danger he was about to incur ,notwithstanding the high resolution of hawkeye he fully comprehended all the difficulties and danger he was about to incur,0.0,0.01853451123264997,586.1
 in his return to the camp his acute and practiced intellects were intently engaged in devising means to counteract a watchfulness and suspicion on the part of his enemies that he knew were in no degree inferior to his own ,in his return to the camp his acute and practised intellects were intently engaged in devising means to counteract a watchfulness and suspicion on the part of his enemies that he knew were in no degree inferior to his own,0.025,0.01783069025702597,371.3
 in other words while he had implicit faith in the ability of balem s ass to speak he was somewhat skeptical on the subject of a bear s singing and yet he had been assured of the latter on the testimony of his own exquisite organs ,in other words while he had implicit faith in the ability of balaam s ass to speak he was somewhat skeptical on the subject of a bear s singing and yet he had been assured of the latter on the testimony of his own exquisite organs,0.021739130434782608,0.019157393521844878,353.8
 there was something in his air and manner that betrayed to the scout the utter confusion of the state of his mind,there was something in his air and manner that betrayed to the scout the utter confusion of the state of his mind,0.0,0.025277073267630953,485.2
 the ingenious hawkeye who recalled the hasty manner in which the other had abandoned his post at the bedside of the sick woman was not without his suspicions concerning the subject of so much solemn deliberation ,the ingenious hawkeye who recalled the hasty manner in which the other had abandoned his post at the bedside of the sick woman was not without his suspicions concerning the subject of so much solemn deliberation,0.0,0.0194113756276266,386.9
